K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   3   1       0   1.0000 02:09:10 -1.64345920437E+05 -1.64345920437E+05  0.00464 -0.00221 -0.16527 -0.16882
2   3   1     100   1.0000 02:09:10 -1.63786933087E+05 -1.63786933087E+05  0.00464 -0.00221 -0.16527 -0.16882
2   3   1     200  21.5000 02:09:10 -1.62225325043E+05 -1.62225325043E+05  0.00464 -0.00221 -0.16527 -0.16882
2   3   1     400  25.7500 02:09:10 -1.62415886422E+05 -1.61887179475E+05 -0.00221  0.00464 -0.16882 -0.16527
2   3   1     800  40.8750 02:09:10 -1.63508832190E+05 -1.61887179475E+05  0.00464 -0.00221 -0.16527 -0.16882
2   3   1    1600  50.0000 03:09:10 -1.62598971759E+05 -1.61887179475E+05 -0.00153  0.00762 -0.18387 -0.07692
2   3   2    3200  42.1552 03:09:10 -1.59969693505E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
2   3   3    6400  29.6640 03:09:10 -1.62580849259E+05 -1.59969693505E+05  0.00373  0.01979 -0.17572 -0.18433
2   3   4    8000   1.6973 04:09:10 -1.60425067687E+05 -1.59969693505E+05 -0.05751  0.24311 -0.15719 -0.75006
2   3 200   11228   0.0000 04:09:10 -1.59969693505E+05 -1.59969693505E+05  0.24311 -0.05751 -0.75006 -0.15719
