K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   3   1       0   1.0000 09:10:10 -1.66067577216E+05 -1.66067577216E+05 -0.00039 -0.00018  0.00540 -0.16711 -0.14865 -0.18692
3   3   1     100   0.9804 09:10:10 -1.65974999870E+05 -1.65974999870E+05 -0.00039 -0.00018  0.00540 -0.16711 -0.14865 -0.18692
3   3   1     200  23.7624 09:10:10 -1.63686838493E+05 -1.63686838493E+05 -0.00018  0.00540 -0.00039 -0.14865 -0.18692 -0.16711
3   3   1     400  23.1343 09:10:10 -1.61463516955E+05 -1.60388191522E+05 -0.00018  0.00540 -0.00039 -0.14865 -0.18692 -0.16711
3   3   1     800  31.9202 09:10:10 -1.64115360161E+05 -1.60343434179E+05 -0.00039 -0.00018  0.00540 -0.16711 -0.14865 -0.18692
3   3   1    1600  42.9463 09:10:10 -1.62492078208E+05 -1.60343434179E+05  0.00540 -0.00018 -0.00039 -0.18692 -0.14865 -0.16711
3   3   2    3200  45.0166 09:10:10 -1.61376502603E+05 -1.60343434179E+05 -0.00336 -0.01853  0.18688 -0.18276 -0.15644 -0.52080
3   3   3    6400  37.1546 10:10:10 -1.62279370427E+05 -1.59879420866E+05 -0.00285  0.26966 -0.01344 -0.15151 -0.75006 -0.18403
3   3   4   12800  37.4250 11:10:10 -1.61231132548E+05 -1.59738789162E+05 -0.01673 -0.00988  0.26943 -0.17773 -0.13301 -0.75006
3   3   4   16000  36.0350 11:10:10 -1.60531174754E+05 -1.59571605681E+05 -0.01264  0.00141  0.27100 -0.13907 -0.22596 -0.75006
3   3   6   25600  19.2444 12:10:10 -1.61576558975E+05 -1.58920194247E+05 -0.02021  0.01352  0.26816 -0.17500 -0.08276 -0.75006
3   3   7   32000  18.3533 13:10:10 -1.59035903616E+05 -1.58920194247E+05 -0.01290 -0.01695  0.27240 -0.16520 -0.14200 -0.75006
3   3  10   48000   6.3516 15:10:10 -1.59404007486E+05 -1.58912581094E+05  0.00308 -0.00515  0.27015 -0.13715 -0.21859 -0.75006
3   3  11   51200   4.7817 15:10:10 -1.59049935801E+05 -1.58912581094E+05 -0.00068  0.00213  0.27069 -0.13024 -0.23886 -0.75006
3   3  13   64000   3.0498 17:10:10 -1.58912581094E+05 -1.58912581094E+05 -0.00145  0.00913  0.27072 -0.12965 -0.25122 -0.75006
3   3  16   80000   2.5945 19:10:10 -1.58929858411E+05 -1.58912581094E+05 -0.00487  0.01828  0.27080 -0.13384 -0.26410 -0.75006
3   3  20  100000   1.6506 21:10:10 -1.58912581094E+05 -1.58912581094E+05 -0.00413  0.01644  0.27076 -0.13178 -0.26190 -0.75006
3   3  21  102400   1.5873 21:10:10 -1.58928625367E+05 -1.58912581094E+05 -0.00108  0.01219  0.27090 -0.13142 -0.25695 -0.75006
3   3  21  103191   1.1000 21:10:10 -1.58912581094E+05 -1.58912581094E+05 -0.00193  0.01368  0.27101 -0.13343 -0.25859 -0.75006
