K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   8   1       0   1.0000 45:14:10 -1.68509260185E+05 -1.68509260185E+05  0.00190 -0.00423 -0.00768 -0.00475 -0.15256 -0.16897 -0.16306 -0.16035
4   8   1     100   1.0000 45:14:10 -1.68217663052E+05 -1.68217663052E+05  0.00190 -0.00475 -0.00423 -0.00768 -0.15256 -0.16035 -0.16897 -0.16306
4   8   1     200  23.5000 45:14:10 -1.62821559451E+05 -1.62821559451E+05  0.00190 -0.00475 -0.00423 -0.00768 -0.15256 -0.16035 -0.16897 -0.16306
4   8   1     400  24.1895 45:14:10 -1.61969440902E+05 -1.61103199248E+05 -0.00475  0.00190 -0.00768 -0.00423 -0.16035 -0.15256 -0.16306 -0.16897
4   8   1     800  36.2047 45:14:10 -1.64030949456E+05 -1.61103199248E+05 -0.00423  0.00190 -0.00768 -0.00475 -0.16897 -0.15256 -0.16306 -0.16035
4   8   1    1600  44.2224 45:14:10 -1.64025028176E+05 -1.60899445674E+05  0.00190 -0.00475 -0.00768 -0.00423 -0.15256 -0.16035 -0.16306 -0.16897
4   8   1    3200  46.5480 45:14:10 -1.62847884270E+05 -1.60899445674E+05 -0.00447 -0.02099  0.03598  0.27494 -0.16638 -0.19048 -0.09857 -0.75006
4   8   3    6400  38.3784 46:14:10 -1.61513192448E+05 -1.60259469342E+05 -0.01160 -0.00202  0.02440  0.27914 -0.03863 -0.15070 -0.25818 -0.75006
4   8   3   12800  35.4062 46:14:10 -1.60551634467E+05 -1.59579314458E+05 -0.00799 -0.01730  0.32678  0.27034 -0.10404 -0.18653 -0.89373 -0.75006
4   8   4   16000  28.1516 47:14:10 -1.60596849209E+05 -1.59140504457E+05 -0.00289  0.00099  0.15097  0.27583 -0.16388 -0.15831 -0.46209 -0.75006
4   8   5   25600  24.3196 48:14:10 -1.59503289012E+05 -1.59020827942E+05 -0.00204 -0.00291  0.18310  0.27404 -0.13377 -0.21079 -0.51330 -0.75006
4   8   6   36000  28.3822 49:14:10 -1.59544521079E+05 -1.59020827942E+05 -0.00724 -0.01262  0.32762  0.27124 -0.11727 -0.17225 -0.89373 -0.75006
4   8   7   51200  13.4599 50:14:10 -1.60603637755E+05 -1.58718385687E+05 -0.00037 -0.00083  0.32708  0.27066 -0.13616 -0.22095 -0.89373 -0.75006
4   8   8   56000   8.4601 51:14:10 -1.59008356977E+05 -1.58718385687E+05 -0.00068  0.00746  0.32685  0.27041 -0.12988 -0.24043 -0.89373 -0.75006
4   8  10   76000   5.8304 53:14:10 -1.58993807656E+05 -1.58718385687E+05 -0.00343  0.01881  0.32663  0.27017 -0.13137 -0.26302 -0.89373 -0.75006
4   8  13  100000   3.1217 55:14:10 -1.58719703860E+05 -1.58718385687E+05 -0.00439  0.01700  0.32674  0.27029 -0.12598 -0.27402 -0.89373 -0.75006
4   8  13  102400   3.1123 55:14:10 -1.58933710468E+05 -1.58718385687E+05  0.00334  0.00771  0.32698  0.27055 -0.13926 -0.23346 -0.89373 -0.75006
4   8  14  106601   2.4000 55:14:10 -1.58718385687E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   8  15  115034   1.8000 56:14:10 -1.58719703860E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   8  15  120000   2.4836 57:14:10 -1.58746230254E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   8  16  124061   1.8000 57:14:10 -1.58855367951E+05 -1.58718385687E+05 -0.00602  0.02534  0.32644  0.26997 -0.13384 -0.26756 -0.89373 -0.75006
4   8  17  132746   1.3000 58:14:10 -1.58735722131E+05 -1.58718385687E+05 -0.00518  0.02208  0.32647  0.26999 -0.13178 -0.26374 -0.89373 -0.75006
4   8  18  141996   2.3000 59:14:10 -1.58719703860E+05 -1.58718385687E+05 -0.00744  0.02860  0.32625  0.26976 -0.13377 -0.27500 -0.89373 -0.75006
4   8  18  144000   2.2121 59:14:10 -1.58718385687E+05 -1.58718385687E+05 -0.00665  0.02493  0.32630  0.26981 -0.13175 -0.27046 -0.89373 -0.75006
4   8 200  149869   0.0000 59:14:10 -1.58718385687E+05 -1.58718385687E+05 -0.00192  0.01636  0.32674  0.27029 -0.13142 -0.25707 -0.89373 -0.75006
