K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   8   1       0   1.0000 17:18:10 -1.69405348839E+05 -1.69405348839E+05 -0.00024  0.00234  0.00635  0.00587 -0.00994 -0.17330 -0.21323 -0.16320 -0.12150 -0.16108
5   8   1     100   2.9126 17:18:10 -1.69026176773E+05 -1.69026176773E+05 -0.00024  0.00234  0.00635  0.00587 -0.00994 -0.17330 -0.21323 -0.16320 -0.12150 -0.16108
5   8   1     200  28.4314 17:18:10 -1.65265107156E+05 -1.65145499816E+05  0.00587  0.00635  0.00234 -0.00994 -0.00024 -0.12150 -0.16320 -0.21323 -0.16108 -0.17330
5   8   1     400  29.4554 17:18:10 -1.62091805009E+05 -1.62091805009E+05  0.00587  0.00234 -0.00024  0.00635 -0.00994 -0.12150 -0.21323 -0.17330 -0.16320 -0.16108
5   8   1     800  35.8209 17:18:10 -1.62468336334E+05 -1.61480327324E+05  0.00234  0.00587  0.00635 -0.00024 -0.00994 -0.21323 -0.12150 -0.16320 -0.17330 -0.16108
5   8   1    1600  41.3965 17:18:10 -1.62557470196E+05 -1.61480327324E+05  0.00635  0.00587  0.00234 -0.00024 -0.00994 -0.16320 -0.12150 -0.21323 -0.17330 -0.16108
5   8   1    3200  46.4732 17:18:10 -1.63704956591E+05 -1.61058530020E+05  0.00234  0.00635 -0.00024  0.00587 -0.00994 -0.21323 -0.16320 -0.17330 -0.12150 -0.16108
5   8   2    6400  46.7381 17:18:10 -1.62904874425E+05 -1.61058530020E+05  0.02380  0.11161  0.00600 -0.02455  0.28403 -0.13385 -0.40506 -0.18701 -0.15600 -0.75006
5   8   3   12800  40.9400 18:18:10 -1.62556062085E+05 -1.60052837742E+05 -0.00714 -0.00192 -0.00460  0.33259  0.27663 -0.16906 -0.08048 -0.15258 -0.89373 -0.75006
5   8   4   16000  32.2557 19:18:10 -1.61702103582E+05 -1.59855801702E+05 -0.01478  0.01514  0.02112  0.33059  0.27446 -0.14952 -0.20739 -0.11925 -0.89373 -0.75006
5   8   5   25600  27.3649 19:18:10 -1.61113653256E+05 -1.59855801702E+05 -0.01108  0.13037  0.32980  0.27361 -0.00075 -0.13848 -0.31798 -0.89373 -0.75006 -0.20126
5   8   6   36000  28.4270 21:18:10 -1.61824833996E+05 -1.59855801702E+05 -0.00926  0.02236  0.33104  0.27495  0.04540 -0.13151 -0.24457 -0.89373 -0.75006 -0.18859
5   8   7   51200  16.4855 22:18:10 -1.60745419440E+05 -1.59336306545E+05  0.03965  0.01426  0.33325  0.27735  0.01871 -0.08116 -0.24383 -0.89373 -0.75006 -0.15832
5   8   7   56000  19.3238 23:18:10 -1.60876909500E+05 -1.59336306545E+05  0.00688  0.02396  0.33373  0.27786 -0.00127 -0.13419 -0.24430 -0.89373 -0.75006 -0.12912
5   8   8   76000  19.7964 25:18:10 -1.61271181964E+05 -1.59250684739E+05  0.01218  0.01774  0.01941  0.33357  0.27769 -0.15490 -0.22932 -0.07663 -0.89373 -0.75006
5   8  10  100000  11.0884 27:18:10 -1.59771314915E+05 -1.59145719728E+05  0.03654  0.01915  0.01713  0.33364  0.27777 -0.09079 -0.24047 -0.16687 -0.89373 -0.75006
5   8  10  102400  10.7322 27:18:10 -1.60056362900E+05 -1.59145719728E+05  0.00867  0.03601  0.02012  0.33381  0.27796 -0.10968 -0.26756 -0.16756 -0.89373 -0.75006
5   8  11  103368   8.3000 27:18:10 -1.59375172752E+05 -1.59145719728E+05  0.00867  0.03601  0.02012  0.33381  0.27796 -0.10968 -0.26756 -0.16756 -0.89373 -0.75006
5   8  12  118150   7.9000 28:18:10 -1.59595957890E+05 -1.59145719728E+05  0.02170  0.02722  0.01419  0.33337  0.27747 -0.08210 -0.26785 -0.15794 -0.89373 -0.75006
5   8  12  120000   7.0869 29:18:10 -1.59543236310E+05 -1.59145719728E+05  0.02227  0.03624  0.01751  0.33397  0.27813 -0.08600 -0.26756 -0.17043 -0.89373 -0.75006
5   8  13  126979   3.2000 29:18:10 -1.59398630823E+05 -1.59145719728E+05  0.03711  0.02669  0.01773  0.33381  0.27795 -0.09121 -0.25707 -0.16066 -0.89373 -0.75006
5   8  14  141153   2.2000 30:18:10 -1.59345766482E+05 -1.59145719728E+05  0.03742  0.02795  0.01704  0.33348  0.27759 -0.08717 -0.25841 -0.17306 -0.89373 -0.75006
5   8  14  144000   3.2496 31:18:10 -1.59317242345E+05 -1.59145719728E+05  0.02510  0.02635  0.01883  0.33357  0.27770 -0.08294 -0.25707 -0.16794 -0.89373 -0.75006
