K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   8   1       0   1.0000 46:23:10 -1.70863902123E+05 -1.70863902123E+05  0.00878  0.00131 -0.00622 -0.00790  0.00462  0.00600 -0.15388 -0.16246 -0.19890 -0.16254 -0.14755 -0.17585
6   8   1     100   2.9412 46:23:10 -1.70444340865E+05 -1.70444340865E+05  0.00878  0.00131 -0.00622 -0.00790  0.00462  0.00600 -0.15388 -0.16246 -0.19890 -0.16254 -0.14755 -0.17585
6   8   1     200  31.1881 46:23:10 -1.68088682056E+05 -1.67885218792E+05  0.00600 -0.00622  0.00878 -0.00790  0.00462  0.00131 -0.17585 -0.19890 -0.15388 -0.16254 -0.14755 -0.16246
6   8   1     400  37.0647 46:23:10 -1.66392744307E+05 -1.64407037000E+05  0.00600  0.00878 -0.00622  0.00462 -0.00790  0.00131 -0.17585 -0.15388 -0.19890 -0.14755 -0.16254 -0.16246
6   8   1     800  44.5137 46:23:10 -1.64874356517E+05 -1.64407037000E+05  0.00462  0.00600 -0.00622 -0.00790  0.00131  0.00878 -0.14755 -0.17585 -0.19890 -0.16254 -0.16246 -0.15388
6   8   1    1600  48.1273 46:23:10 -1.65081237086E+05 -1.63914494559E+05  0.00462  0.00878  0.00600 -0.00622 -0.00790  0.00131 -0.14755 -0.15388 -0.17585 -0.19890 -0.16254 -0.16246
6   8   1    3200  48.2511 46:23:10 -1.65076663174E+05 -1.62749207724E+05  0.00600  0.00462 -0.00622 -0.00790  0.00131  0.00878 -0.17585 -0.14755 -0.19890 -0.16254 -0.16246 -0.15388
6   8   1    6400  49.0003 47:23:10 -1.64354619348E+05 -1.62134849284E+05  0.02085 -0.00167 -0.01938  0.01334  0.20015  0.28199 -0.19391 -0.16674 -0.13596 -0.15184 -0.53584 -0.75006
6   8   3   12800  41.6459 47:23:10 -1.64216685832E+05 -1.62027295181E+05  0.01548  0.33717  0.28160 -0.03387 -0.00525  0.00679 -0.12998 -0.89373 -0.75006 -0.14910 -0.19915 -0.13699
6   8   4   16000  40.6772 48:23:10 -1.68064996285E+05 -1.62027295181E+05  0.01548  0.28160  0.00679 -0.03387  0.33717 -0.00525 -0.12998 -0.75006 -0.13699 -0.14910 -0.89373 -0.19915
6   8   6   25600  34.2059 48:23:10 -1.66054906523E+05 -1.62027295181E+05  0.00106 -0.00709  1.00000  0.32449  1.00000  1.00000 -0.17359 -0.20975  0.00000 -0.89373  0.00000  0.00000
6   8   7   44000  23.3310 50:23:10 -1.62264532867E+05 -1.61381918347E+05  0.00598  0.00513  0.32753  0.27115  0.35312  1.00000 -0.13744 -0.22585 -0.89373 -0.75006 -0.81087  0.00000
6   8   7   51200  20.0986 51:23:10 -1.63331183020E+05 -1.61295773323E+05  0.00606 -0.00570  0.32778  0.27142  0.35336  1.00000 -0.12304 -0.23237 -0.89373 -0.75006 -0.81087  0.00000
6   8   7   60000  19.0656 52:23:10 -1.62862727052E+05 -1.61039234392E+05  0.00278  0.01684  0.33157  0.27553  1.00000 -0.02016 -0.13102 -0.23890 -0.89373 -0.75006  0.00000 -0.03999
6   8   8   80000  13.9142 54:23:10 -1.61624995654E+05 -1.60198333446E+05  0.00695  0.01964  0.02335  0.33485  0.27908  0.36016 -0.14233 -0.20236 -0.25337 -0.89373 -0.75006 -0.81087
6   8  10  102400   9.6644 56:23:10 -1.61048898503E+05 -1.60198333446E+05  0.35828  0.03725  0.13922  0.00647  0.33290  0.27697 -0.81087 -0.27316 -0.26293 -0.13939 -0.89373 -0.75006
6   8  10  104000   9.8171 56:23:10 -1.60479200355E+05 -1.60198333446E+05  0.03876  0.03242  0.14234  0.01487  0.33531  0.27958 -0.09963 -0.25117 -0.26293 -0.16422 -0.89373 -0.75006
6   8  11  119818   5.5000 57:23:10 -1.60868061754E+05 -1.60156877492E+05  0.01296  0.01474  0.13933  0.33298  0.27705  0.35836 -0.13846 -0.23336 -0.26293 -0.89373 -0.75006 -0.81087
6   8  11  124000   6.4904 58:23:10 -1.60368460843E+05 -1.60156877492E+05  0.01296  0.01474  0.13933  0.33298  0.27705  0.35836 -0.13846 -0.23336 -0.26293 -0.89373 -0.75006 -0.81087
6   8  12  140304   5.7000 59:23:10 -1.60381574624E+05 -1.60018554645E+05  0.03943  0.02747  0.01476  0.33310  0.27719  0.35848 -0.08116 -0.26023 -0.16306 -0.89373 -0.75006 -0.81087
6   8  12  144000   4.7858 00:24:10 -1.60334022851E+05 -1.60018554645E+05  0.03685  0.03168  0.01646  0.35846  0.33308  0.27716 -0.08717 -0.26374 -0.17259 -0.81087 -0.89373 -0.75006
6   8  13  159488   3.5000 01:24:10 -1.60334714373E+05 -1.60018554645E+05  0.03833  0.03473  0.01192  0.33306  0.27714  0.35844 -0.08166 -0.27046 -0.16608 -0.89373 -0.75006 -0.81087
6   8  13  164000   4.2520 02:24:10 -1.60295537554E+05 -1.60018554645E+05  0.03083  0.03459  0.01395  0.35822  0.33283  0.27689 -0.08580 -0.26756 -0.17584 -0.81087 -0.89373 -0.75006
6   8  14  179593   4.2000 03:24:10 -1.60242010169E+05 -1.60018554645E+05  0.03685  0.03168  0.01646  0.33308  0.27716  0.35846 -0.08717 -0.26374 -0.17259 -0.89373 -0.75006 -0.81087
6   8  14  184000   3.3573 04:24:10 -1.60231898092E+05 -1.60018554645E+05  0.03685  0.03168  0.01646  0.33308  0.27716  0.35846 -0.08717 -0.26374 -0.17259 -0.89373 -0.75006 -0.81087
6   8  15  188002   2.5000 04:24:10 -1.60198333446E+05 -1.60018554645E+05  0.03991  0.03119  0.02572  0.33521  0.27946  0.07795 -0.08717 -0.25989 -0.18197 -0.89373 -0.75006 -0.23824
6   8  15  204000   2.6894 06:24:10 -1.60231898092E+05 -1.59932687751E+05  0.03678  0.02557  0.02172  0.33304  0.27712  0.35842 -0.08717 -0.25707 -0.17478 -0.89373 -0.75006 -0.81087
