K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   5   1       0   1.0000 56:28:10 -1.72494763324E+05 -1.72494763324E+05  0.00303 -0.01064  0.01389  0.00873 -0.01360 -0.00811  0.00805 -0.16264 -0.10131 -0.19900 -0.15232 -0.25670 -0.15003 -0.14041
7   5   1     100   2.9126 56:28:10 -1.72419575053E+05 -1.72419575053E+05  0.00303 -0.01064  0.01389  0.00873 -0.01360 -0.00811  0.00805 -0.16264 -0.10131 -0.19900 -0.15232 -0.25670 -0.15003 -0.14041
7   5   1     200  31.0345 56:28:10 -1.67807296581E+05 -1.67703450226E+05 -0.01064  0.00873 -0.00811  0.01389  0.00805 -0.01360  0.00303 -0.10131 -0.15232 -0.15003 -0.19900 -0.14041 -0.25670 -0.16264
7   5   1     400  39.2060 56:28:10 -1.63670711200E+05 -1.63287899945E+05 -0.00811  0.00873  0.00805  0.00303  0.01389 -0.01360 -0.01064 -0.15003 -0.15232 -0.14041 -0.16264 -0.19900 -0.25670 -0.10131
7   5   1     800  44.5828 56:28:10 -1.64922694875E+05 -1.63287899945E+05 -0.00811  0.01389  0.00303  0.00873  0.00805 -0.01360 -0.01064 -0.15003 -0.19900 -0.16264 -0.15232 -0.14041 -0.25670 -0.10131
7   5   1    1600  45.4148 56:28:10 -1.63696182877E+05 -1.63287899945E+05  0.00303  0.00873  0.01389 -0.00811 -0.01360 -0.01064  0.00805 -0.16264 -0.15232 -0.19900 -0.15003 -0.25670 -0.10131 -0.14041
7   5   2    3200  45.3739 56:28:10 -1.63463632883E+05 -1.62604654648E+05  0.00805  0.01389  0.00873 -0.00811  0.00303 -0.01360 -0.01064 -0.14041 -0.19900 -0.15232 -0.15003 -0.16264 -0.25670 -0.10131
7   5   5   16000  31.0520 58:28:10 -1.63893534033E+05 -1.62604654648E+05  0.02023 -0.01534  1.00000  0.32550  0.26894  1.00000  1.00000 -0.24964 -0.14057  0.00000 -0.89373 -0.75006  0.00000  0.00000
7   5   5   36000  25.0100 00:29:10 -1.63731627965E+05 -1.62481925262E+05 -0.00606  0.00338  0.32693  0.27050  0.35254  1.00000  1.00000 -0.20128 -0.13664 -0.89373 -0.75006 -0.81087  0.00000  0.00000
7   5   6   56000  17.6893 02:29:10 -1.62470028346E+05 -1.61657808399E+05  0.01533  0.02018  0.00973  0.01091  0.33555  0.27984  0.36083 -0.14623 -0.12562 -0.21101 -0.08471 -0.89373 -0.75006 -0.81087
7   5   7   80000  13.6296 04:29:10 -1.62983274035E+05 -1.61657808399E+05  0.01283  0.00219  0.13881  1.00000  0.33258  0.27662  0.35797 -0.13263 -0.20573 -0.26293  0.00000 -0.89373 -0.75006 -0.81087
7   5   8  100000  10.7083 06:29:10 -1.62051061614E+05 -1.61413723409E+05  0.00586  0.01385  1.00000  0.20963  0.33091  0.27481  0.35637 -0.12292 -0.22931  0.00000 -0.65932 -0.89373 -0.75006 -0.81087
7   5   8  120000  10.7810 08:29:10 -1.63187870856E+05 -1.61413723409E+05  1.00000  0.01851  0.01066  0.13943  0.33306  0.27714  0.35844  0.00000 -0.23630 -0.14364 -0.26293 -0.89373 -0.75006 -0.81087
7   5   9  123621  10.9000 08:29:10 -1.63096859007E+05 -1.61413723409E+05  0.01066  0.01851  1.00000  0.33306  0.27714  0.35844  0.13943 -0.14364 -0.23630  0.00000 -0.89373 -0.75006 -0.81087 -0.26293
7   5  10  137622   7.7000 09:29:10 -1.62354201426E+05 -1.61413723409E+05  0.02582  0.03741 -0.01068  1.00000  0.35799  0.33260  0.27664 -0.17293 -0.26557 -0.12888  0.00000 -0.81087 -0.89373 -0.75006
7   5  10  140000   9.2497 10:29:10 -1.62102777632E+05 -1.61413723409E+05  0.35799  0.03741 -0.01068  0.02582  0.33260  0.27664  1.00000 -0.81087 -0.26557 -0.12888 -0.17293 -0.89373 -0.75006  0.00000
7   5  11  160000   4.9180 12:29:10 -1.61791415633E+05 -1.61413723409E+05  0.01708  0.03503  0.14244  0.04649  0.33539  0.27967  0.36068 -0.17417 -0.26374 -0.26293 -0.08333 -0.89373 -0.75006 -0.81087
7   5  12  175306   2.9000 13:29:10 -1.61756001472E+05 -1.61413723409E+05  0.05527  0.03509  0.14249  0.01992  0.33543  0.27971  0.36072 -0.09251 -0.26374 -0.26293 -0.17259 -0.89373 -0.75006 -0.81087
7   5  12  180000   3.6929 14:29:10 -1.61666178241E+05 -1.61413723409E+05  0.05773  0.03465  0.14209  0.01786  0.33513  0.27938  0.36042 -0.08408 -0.26374 -0.26293 -0.16860 -0.89373 -0.75006 -0.81087
7   5  12  200000   4.0196 16:29:10 -1.61788129461E+05 -1.61234322867E+05  0.05916  0.02260  0.14340  0.02632  0.22040  0.28047  0.36140 -0.08408 -0.24496 -0.26293 -0.17161 -0.58382 -0.75006 -0.81087
7   5  13  202640   2.6000 16:29:10 -1.61728949412E+05 -1.61234322867E+05  0.05527  0.03509  0.01992  0.14249  0.33543  0.27971  0.36072 -0.09251 -0.26374 -0.17259 -0.26293 -0.89373 -0.75006 -0.81087
