Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2   QPop1   QPop2
   1  5.3331E-02    0.361018    0.120661  0.2778 -0.1578  0.5893  0.4107
   2  6.1168E-02    0.039293    0.100781  0.3875 -0.0053  0.8003  0.1997
   3  1.5288E-03    0.020631    0.076018  0.3945  0.0002  0.8150  0.1850
   4  2.1629E-05    0.019616    0.071128  0.3955  0.0024  0.8161  0.1839
   5  2.4963E-07    0.019598    0.070770  0.3958  0.0027  0.8162  0.1838
   6  3.4887E-08    0.019558    0.070756  0.3959  0.0028  0.8162  0.1838
   7  2.2269E-07    0.019416    0.070350  0.3960  0.0029  0.8163  0.1837
   8  3.1523E-08    0.019436    0.070355  0.3961  0.0029  0.8162  0.1838
   9  3.2892E-08    0.019378    0.070348  0.3961  0.0030  0.8163  0.1837
  10  2.5625E-08    0.019376    0.070332  0.3962  0.0030  0.8163  0.1837
