K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   4   1       0   1.0000 21:24:08 -3.01142309289E+05 -3.01142309289E+05 -0.00005 -0.00339 -0.13295 -0.19702
2   4   1     100   1.0000 21:24:08 -3.00589028968E+05 -3.00589028968E+05 -0.00005 -0.00339 -0.13295 -0.19702
2   4   1     200  10.5000 21:24:08 -2.52084129903E+05 -2.52084129903E+05 -0.00005 -0.00339 -0.13295 -0.19702
2   4   1     400   5.5000 21:24:08 -2.46022175551E+05 -2.46022175551E+05 -0.00005 -0.00339 -0.13295 -0.19702
2   4   1     800   2.7500 21:24:08 -2.46022175551E+05 -2.46022175551E+05 -0.00005 -0.00339 -0.13295 -0.19702
2   4   1    1600   5.7500 21:24:08 -2.57004383226E+05 -2.46022175551E+05  0.37961  0.00366 -0.21184 -0.77975
2   4   1    3200  22.1250 22:24:08 -2.89628896241E+05 -2.46022175551E+05  0.14593 -0.11519 -0.16759 -0.21785
2   4   3    6400  46.0784 22:24:08 -2.67778657668E+05 -2.46022175551E+05  0.21458 -0.16867 -0.21095 -0.17737
2   4   5   12800  19.3501 23:24:08 -2.50616704000E+05 -2.46022175551E+05  0.29027 -0.17492 -0.21958 -0.25893
2   4   6   15000  24.6988 23:24:08 -2.57180360707E+05 -2.46022175551E+05  0.26181 -0.17510 -0.20287 -0.23749
2   4   9   25600   1.8558 23:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
2   4 200   28057   0.0000 24:24:08 -2.46022175551E+05 -2.46022175551E+05  0.03750  0.38356 -0.88936 -0.20788
