Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  3.0111E-02    0.232705    0.130280  0.4193 -0.0708  0.3052  0.4115  0.1916  0.3968
   2  1.5450E-03    0.185043    0.149738  0.4468 -0.0577  0.3126  0.4317  0.1808  0.3875
   3  4.2969E-04    0.180246    0.162553  0.4566 -0.0560  0.3152  0.4442  0.1813  0.3744
   4  1.6304E-04    0.182342    0.169102  0.4611 -0.0552  0.3171  0.4531  0.1819  0.3650
   5  8.8750E-05    0.186023    0.172721  0.4633 -0.0546  0.3189  0.4598  0.1822  0.3581
   6  5.4557E-05    0.188986    0.175595  0.4645 -0.0541  0.3204  0.4652  0.1823  0.3525
   7  3.5064E-05    0.191010    0.178171  0.4652 -0.0537  0.3218  0.4695  0.1825  0.3480
   8  2.3828E-05    0.192761    0.180378  0.4656 -0.0534  0.3231  0.4732  0.1826  0.3442
   9  1.6015E-05    0.194068    0.182319  0.4659 -0.0531  0.3242  0.4762  0.1826  0.3412
  10  1.0412E-05    0.195017    0.183972  0.4660 -0.0529  0.3252  0.4787  0.1826  0.3387
  11  6.9138E-06    0.195733    0.185362  0.4661 -0.0527  0.3260  0.4807  0.1827  0.3367
  12  4.6423E-06    0.196285    0.186524  0.4662 -0.0526  0.3268  0.4823  0.1827  0.3350
  13  3.0561E-06    0.196699    0.187493  0.4662 -0.0525  0.3274  0.4837  0.1827  0.3336
  14  1.7250E-06    0.196909    0.188214  0.4661 -0.0524  0.3279  0.4847  0.1827  0.3326
  15  8.9017E-07    0.197069    0.188743  0.4661 -0.0524  0.3283  0.4854  0.1827  0.3318
  16  4.4051E-07    0.197260    0.189058  0.4660 -0.0523  0.3286  0.4860  0.1827  0.3313
  17  2.4814E-07    0.197425    0.189280  0.4660 -0.0523  0.3288  0.4863  0.1828  0.3309
  18  1.7262E-07    0.197560    0.189458  0.4659 -0.0523  0.3290  0.4867  0.1828  0.3306
  19  1.3302E-07    0.197682    0.189598  0.4658 -0.0522  0.3291  0.4869  0.1828  0.3303
  20  1.0749E-07    0.197776    0.189723  0.4658 -0.0522  0.3292  0.4872  0.1828  0.3300
  21  9.0470E-08    0.197831    0.189848  0.4657 -0.0522  0.3293  0.4874  0.1828  0.3298
  22  7.3048E-08    0.197878    0.189952  0.4656 -0.0522  0.3294  0.4876  0.1828  0.3296
  23  5.9690E-08    0.197915    0.190035  0.4655 -0.0522  0.3295  0.4878  0.1828  0.3294
  24  5.0847E-08    0.197927    0.190123  0.4655 -0.0522  0.3295  0.4879  0.1828  0.3293
  25  4.1216E-08    0.197948    0.190180  0.4654 -0.0521  0.3296  0.4881  0.1828  0.3292
  26  3.7478E-08    0.197947    0.190238  0.4653 -0.0521  0.3296  0.4882  0.1828  0.3290
  27  3.3885E-08    0.197935    0.190287  0.4652 -0.0521  0.3296  0.4883  0.1828  0.3289
  28  3.1389E-08    0.197909    0.190337  0.4652 -0.0521  0.3296  0.4884  0.1828  0.3288
  29  2.8313E-08    0.197887    0.190369  0.4651 -0.0521  0.3296  0.4885  0.1828  0.3288
