K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   6   1       0   1.0000 49:46:08 -3.04307802856E+05 -3.04307802856E+05 -0.02793 -0.04013  0.06050 -0.16681 -0.17505 -0.14783
3   6   1     100   3.8462 49:46:08 -3.03280333780E+05 -3.03280333780E+05 -0.02793 -0.04013  0.06050 -0.16681 -0.17505 -0.14783
3   6   1     200  22.9268 49:46:08 -2.76911782548E+05 -2.76192415185E+05 -0.02793 -0.04013  0.06050 -0.16681 -0.17505 -0.14783
3   6   1     400  22.2222 49:46:08 -2.49429707482E+05 -2.49429707482E+05 -0.04013  0.06050 -0.02793 -0.17505 -0.14783 -0.16681
3   6   1     800  18.2771 50:46:08 -2.49934460763E+05 -2.49285580502E+05 -0.04013 -0.02793  0.06050 -0.17505 -0.16681 -0.14783
3   6   1    1600  16.6855 50:46:08 -2.49899245297E+05 -2.49279544726E+05  0.40437  0.06767  0.07245 -0.20788 -0.88893 -0.88948
3   6   1    3200  16.0201 50:46:08 -2.45860611929E+05 -2.44686976481E+05  0.31685  0.38065 -0.04922 -0.29965 -0.17305 -0.88936
3   6   1    5000  18.9491 52:46:08 -2.47938087105E+05 -2.43351288434E+05  0.37831 -0.05629  0.31931 -0.17897 -0.88936 -0.23301
3   6   1    6400  21.1851 52:46:08 -2.47816884684E+05 -2.43333036986E+05  0.33165  0.31480 -0.04709 -0.22400 -0.14115 -0.88936
3   6   2   10000  31.1939 02:47:08 -2.51733601348E+05 -2.43333036986E+05  0.35200  0.29236 -0.04336 -0.22836 -0.17646 -0.88936
3   6   3   12800  25.5656 10:47:08 -2.45725645009E+05 -2.43333036986E+05 -0.04406  0.29073  0.33399 -0.88936 -0.20536 -0.20627
3   6   3   15000  23.9213 11:47:08 -2.49374380775E+05 -2.43333036986E+05  0.40989  0.30927 -0.05106 -0.20759 -0.29354 -0.88936
3   6   3   20000  23.0175 13:47:08 -2.49527693740E+05 -2.42929214701E+05 -0.04707  0.32098  0.34088 -0.88936 -0.10945 -0.25549
