Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4   QPop1   QPop2   QPop3   QPop4
   1  2.3387E-02    0.635841    0.122200  0.2956 -0.2305  0.2157  0.1295  0.2989  0.2140  0.2658  0.2213
   2  1.3845E-02    0.453657    0.223147  0.3842 -0.1319  0.2594  0.2371  0.3596  0.1874  0.3108  0.1422
   3  3.9746E-03    0.363677    0.220533  0.4177 -0.1175  0.2776  0.2765  0.3817  0.1836  0.3126  0.1221
   4  2.1590E-03    0.310355    0.207669  0.4293 -0.1109  0.2885  0.3242  0.3946  0.1794  0.3115  0.1145
   5  1.4366E-03    0.261843    0.199241  0.4378 -0.0983  0.2995  0.3275  0.4100  0.1750  0.3160  0.0990
   6  4.9141E-04    0.227016    0.194299  0.4434 -0.0876  0.3071  0.3099  0.4309  0.1733  0.3183  0.0775
   7  2.1971E-04    0.207456    0.191665  0.4465 -0.0808  0.3123  0.2940  0.4483  0.1727  0.3158  0.0633
   8  1.0700E-04    0.197969    0.192384  0.4476 -0.0778  0.3158  0.2904  0.4609  0.1721  0.3106  0.0563
   9  6.0193E-05    0.194478    0.194779  0.4479 -0.0761  0.3191  0.2910  0.4702  0.1720  0.3047  0.0531
  10  4.5649E-05    0.193203    0.197656  0.4481 -0.0748  0.3225  0.2925  0.4776  0.1721  0.2988  0.0516
  11  3.6097E-05    0.192876    0.200422  0.4481 -0.0738  0.3260  0.2940  0.4838  0.1721  0.2933  0.0508
  12  2.9601E-05    0.192877    0.202930  0.4481 -0.0729  0.3297  0.2953  0.4892  0.1721  0.2883  0.0504
  13  2.4561E-05    0.193134    0.205265  0.4481 -0.0720  0.3335  0.2965  0.4939  0.1721  0.2838  0.0501
  14  2.0636E-05    0.193433    0.207382  0.4481 -0.0713  0.3373  0.2974  0.4981  0.1721  0.2798  0.0499
  15  1.7569E-05    0.193750    0.209217  0.4482 -0.0705  0.3411  0.2983  0.5019  0.1721  0.2762  0.0498
  16  1.5187E-05    0.194212    0.210688  0.4483 -0.0698  0.3449  0.2991  0.5053  0.1721  0.2729  0.0497
  17  1.3313E-05    0.194588    0.211983  0.4483 -0.0692  0.3488  0.2999  0.5085  0.1721  0.2699  0.0496
  18  1.1815E-05    0.194870    0.213140  0.4484 -0.0685  0.3525  0.3005  0.5114  0.1721  0.2670  0.0495
  19  1.0708E-05    0.195110    0.214154  0.4485 -0.0679  0.3563  0.3012  0.5142  0.1721  0.2643  0.0494
  20  9.7039E-06    0.195290    0.215054  0.4486 -0.0674  0.3600  0.3018  0.5169  0.1721  0.2617  0.0494
  21  8.8474E-06    0.195349    0.215900  0.4487 -0.0668  0.3636  0.3023  0.5193  0.1721  0.2593  0.0493
  22  8.0569E-06    0.195376    0.216624  0.4487 -0.0663  0.3672  0.3028  0.5217  0.1721  0.2569  0.0493
  23  7.2997E-06    0.195394    0.217210  0.4488 -0.0658  0.3707  0.3033  0.5240  0.1721  0.2547  0.0492
  24  6.5902E-06    0.195373    0.217701  0.4488 -0.0653  0.3741  0.3038  0.5262  0.1721  0.2526  0.0492
  25  5.9722E-06    0.195318    0.218112  0.4488 -0.0648  0.3774  0.3042  0.5282  0.1721  0.2506  0.0492
  26  5.3592E-06    0.195259    0.218427  0.4488 -0.0644  0.3806  0.3046  0.5302  0.1721  0.2486  0.0492
  27  4.9107E-06    0.195273    0.218592  0.4488 -0.0640  0.3836  0.3050  0.5321  0.1720  0.2468  0.0491
  28  5.6137E-06    0.195587    0.218466  0.4488 -0.0636  0.3866  0.3054  0.5340  0.1720  0.2448  0.0491
  29  1.1090E-05    0.196474    0.218006  0.4488 -0.0632  0.3895  0.3057  0.5362  0.1720  0.2426  0.0491
  30  4.0306E-06    0.196512    0.218050  0.4488 -0.0628  0.3922  0.3060  0.5380  0.1720  0.2409  0.0491
  31  3.3135E-06    0.196453    0.218110  0.4488 -0.0625  0.3948  0.3064  0.5395  0.1720  0.2394  0.0491
  32  2.7564E-06    0.196318    0.218210  0.4487 -0.0622  0.3971  0.3066  0.5409  0.1720  0.2380  0.0491
  33  2.3434E-06    0.196154    0.218314  0.4486 -0.0619  0.3993  0.3069  0.5422  0.1721  0.2367  0.0491
  34  1.8774E-06    0.196070    0.218327  0.4486 -0.0617  0.4013  0.3071  0.5433  0.1721  0.2355  0.0491
  35  1.4897E-06    0.196000    0.218324  0.4485 -0.0615  0.4032  0.3073  0.5444  0.1721  0.2345  0.0491
  36  1.1230E-06    0.195871    0.218370  0.4484 -0.0613  0.4049  0.3075  0.5452  0.1721  0.2337  0.0491
  37  8.7240E-07    0.195785    0.218393  0.4483 -0.0612  0.4064  0.3076  0.5459  0.1721  0.2329  0.0491
  38  6.2102E-07    0.195669    0.218448  0.4482 -0.0611  0.4077  0.3077  0.5465  0.1721  0.2323  0.0491
  39  4.4045E-07    0.195631    0.218459  0.4481 -0.0610  0.4089  0.3078  0.5470  0.1721  0.2318  0.0491
  40  3.9471E-07    0.195425    0.218616  0.4480 -0.0609  0.4100  0.3079  0.5474  0.1722  0.2313  0.0491
  41  2.7773E-07    0.195328    0.218688  0.4479 -0.0609  0.4109  0.3080  0.5478  0.1722  0.2309  0.0491
  42  2.1857E-07    0.195260    0.218737  0.4478 -0.0608  0.4117  0.3080  0.5481  0.1722  0.2306  0.0491
  43  1.9979E-07    0.195153    0.218826  0.4477 -0.0608  0.4125  0.3081  0.5484  0.1723  0.2303  0.0491
  44  1.2542E-07    0.195149    0.218835  0.4476 -0.0608  0.4131  0.3081  0.5486  0.1722  0.2301  0.0491
  45  1.3435E-07    0.195078    0.218910  0.4475 -0.0607  0.4137  0.3082  0.5488  0.1723  0.2298  0.0491
  46  1.1462E-07    0.194985    0.219007  0.4474 -0.0607  0.4142  0.3082  0.5490  0.1723  0.2296  0.0491
  47  8.5370E-08    0.194935    0.219078  0.4473 -0.0607  0.4147  0.3083  0.5491  0.1724  0.2294  0.0491
  48  5.9218E-08    0.194940    0.219107  0.4473 -0.0607  0.4151  0.3083  0.5492  0.1724  0.2293  0.0491
  49  4.7630E-08    0.194958    0.219125  0.4472 -0.0607  0.4155  0.3083  0.5493  0.1724  0.2292  0.0492
  50  6.7001E-08    0.194883    0.219223  0.4471 -0.0607  0.4158  0.3083  0.5494  0.1724  0.2290  0.0492
  51  4.5429E-08    0.194878    0.219260  0.4471 -0.0607  0.4161  0.3084  0.5495  0.1724  0.2289  0.0492
