K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4   7   1       0   1.0000 44:18:09 -3.07598897899E+05 -3.07598897899E+05  0.05174 -0.05052  0.04319 -0.05748 -0.18727 -0.13068 -0.14667 -0.18854
4   7   1     100   0.9804 44:18:09 -3.03804336976E+05 -3.03804336976E+05  0.05174 -0.05052  0.04319 -0.05748 -0.18727 -0.13068 -0.14667 -0.18854
4   7   1     200  34.4828 44:18:09 -2.77343522753E+05 -2.77343522753E+05 -0.05052 -0.05748  0.04319  0.05174 -0.13068 -0.18854 -0.14667 -0.18727
4   7   1     400  36.2283 44:18:09 -2.49304414951E+05 -2.49304414951E+05  0.04319 -0.05052 -0.05748  0.05174 -0.14667 -0.13068 -0.18854 -0.18727
4   7   1     800  34.3711 44:18:09 -2.49578907761E+05 -2.45341465406E+05 -0.05052  0.05174 -0.05748  0.04319 -0.13068 -0.18727 -0.18854 -0.14667
4   7   1    1600  39.3013 44:18:09 -2.49595677323E+05 -2.45341465406E+05 -0.05052  0.05174  0.04319 -0.05748 -0.13068 -0.18727 -0.14667 -0.18854
4   7   1    3200  36.7156 45:18:09 -2.50146110366E+05 -2.44111909632E+05  0.32004  0.39554 -0.10598  0.27980 -0.21229 -0.47348 -0.88936 -0.27149
4   7   1    6400  36.9046 45:18:09 -2.49143101721E+05 -2.43147921443E+05  0.37745  0.25145  0.27984 -0.10214 -0.22931 -0.23950 -0.32746 -0.88936
4   7   2   10000  36.9363 47:18:09 -2.52925818119E+05 -2.43147921443E+05  0.38147  0.29014  0.26364 -0.12602 -0.20509 -0.23224 -0.26682 -0.88936
4   7   2   12800  35.6632 47:18:09 -2.49413479755E+05 -2.43147921443E+05  0.51225  0.41207 -0.13311  0.27404 -0.88116 -0.21764 -0.88936 -0.25582
4   7   4   25000  32.3834 49:18:09 -2.48432375310E+05 -2.42370076162E+05  0.35594  0.24620 -0.09988  0.29879 -0.21909 -0.20004 -0.88936 -0.26075
4   7   4   25600  33.0169 49:18:09 -2.50249958468E+05 -2.42370076162E+05  0.34664  0.28830  0.33749 -0.11616 -0.33183 -0.22513 -0.25108 -0.88936
4   7   5   35000  30.4978 53:18:09 -2.49523593281E+05 -2.42370076162E+05  0.32595 -0.11048  0.40359  0.28628 -0.26195 -0.88936 -0.21922 -0.39642
4   7   6   40000  23.9669 55:18:09 -2.45863941922E+05 -2.42340480757E+05  0.42844  0.34640  0.27875 -0.10106 -0.55353 -0.22527 -0.31951 -0.88936
4   7   7   51200  18.4893 56:18:09 -2.44020371019E+05 -2.41987979276E+05  0.41651  0.27089 -0.12953  0.51379 -0.23369 -0.26968 -0.88936 -0.88116
4   7   7   55000  18.1206 57:18:09 -2.43741658962E+05 -2.41987979276E+05  0.37351  0.29193 -0.09801  0.39989 -0.22704 -0.42151 -0.88936 -0.47348
4   7   8   65000  14.5588 59:18:09 -2.43571851320E+05 -2.41118316870E+05  0.38090  0.25552  0.44804 -0.13615 -0.19949 -0.31783 -0.56809 -0.88936
4   7   9   75000  13.0389 01:19:09 -2.43527708437E+05 -2.40927943042E+05  0.37979  0.27488 -0.10805  0.52303 -0.23191 -0.34358 -0.88936 -0.88116
4   7  10   85000   6.9484 04:19:09 -2.42333355643E+05 -2.40927943042E+05  0.35875  0.25074  0.55552 -0.14274 -0.19261 -0.33183 -0.90638 -0.88936
4   7  11   95000   8.3460 06:19:09 -2.41925421454E+05 -2.40927943042E+05  0.38530  0.27689 -0.10590  0.39558 -0.22042 -0.36562 -0.88936 -0.47348
4   7  12  102400   8.8433 07:19:09 -2.42317730177E+05 -2.40927943042E+05  0.40316  0.27417 -0.10909  0.39384 -0.23953 -0.35258 -0.88936 -0.47348
4   7  12  105000   7.2744 08:19:09 -2.43227984015E+05 -2.40927943042E+05  0.40521  0.27091 -0.11142  0.39256 -0.24136 -0.33380 -0.88936 -0.47348
4   7  13  120000   6.2207 10:19:09 -2.41351181471E+05 -2.40927943042E+05  0.39145  0.28011 -0.10443  0.39638 -0.23093 -0.38188 -0.88936 -0.47348
4   7  14  121834   5.4000 10:19:09 -2.41501708982E+05 -2.40927943042E+05  0.40582  0.27332 -0.11027  0.39319 -0.23984 -0.34788 -0.88936 -0.47348
4   7  15  130000   5.8962 12:19:09 -2.41352245776E+05 -2.40927943042E+05  0.40295  0.27312 -0.10906  0.39385 -0.23943 -0.35029 -0.88936 -0.47348
4   7  15  130498   4.3000 12:19:09 -2.41798334308E+05 -2.40927943042E+05  0.39345  0.27704 -0.10567  0.39571 -0.22945 -0.37342 -0.88936 -0.47348
4   7  16  142663   4.6000 13:19:09 -2.41471636738E+05 -2.40927943042E+05  0.39738  0.27533 -0.10673  0.39512 -0.23157 -0.36740 -0.88936 -0.47348
4   7  16  145000   4.4907 14:19:09 -2.40988578028E+05 -2.40927943042E+05  0.39046  0.28196 -0.10321  0.39705 -0.22806 -0.39594 -0.88936 -0.47348
4   7  17  151423   4.9000 15:19:09 -2.41381114076E+05 -2.40927943042E+05  0.39941  0.27628 -0.10670  0.39514 -0.23719 -0.36761 -0.88936 -0.47348
4   7  17  155000   3.9111 16:19:09 -2.41107149606E+05 -2.40927943042E+05  0.40214  0.27522 -0.10789  0.39449 -0.23920 -0.36084 -0.88936 -0.47348
4   7  18  163698   4.1000 17:19:09 -2.41464289765E+05 -2.40927943042E+05  0.39145  0.28011 -0.10443  0.39638 -0.23093 -0.38188 -0.88936 -0.47348
4   7  18  170000   3.8560 18:19:09 -2.41252836973E+05 -2.40927943042E+05  0.39898  0.27583 -0.10671  0.39514 -0.23637 -0.36674 -0.88936 -0.47348
4   7  19  172444   2.1000 18:19:09 -2.41039787710E+05 -2.40927943042E+05  0.39700  0.27885 -0.10551  0.39579 -0.23646 -0.37672 -0.88936 -0.47348
4   7  20  184747   2.9000 20:19:09 -2.41175492899E+05 -2.40927943042E+05  0.39816  0.27701 -0.10671  0.39514 -0.24164 -0.36181 -0.88936 -0.47348
4   7  20  185000   2.5761 20:19:09 -2.40961588494E+05 -2.40927943042E+05  0.39816  0.27701 -0.10671  0.39514 -0.24164 -0.36181 -0.88936 -0.47348
4   7 200  192780   0.0000 22:19:09 -2.40927943042E+05 -2.40927943042E+05  0.39347  0.27944 -0.10437  0.39641 -0.23312 -0.38267 -0.88936 -0.47348
