Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  2.0351E-02    0.678689    0.127358  0.2921 -0.2134  0.2124  0.1311  0.1849  0.2385  0.1682  0.2355  0.1710  0.1869
   2  9.3671E-03    0.510086    0.248537  0.3726 -0.1667  0.2359  0.2000  0.2770  0.2821  0.1799  0.2727  0.1148  0.1504
   3  5.5696E-03    0.392908    0.234044  0.4105 -0.1583  0.2538  0.2451  0.3752  0.2965  0.1781  0.2838  0.0975  0.1441
   4  3.3055E-03    0.288810    0.229113  0.4275 -0.1478  0.2653  0.2686  0.4363  0.3056  0.1738  0.2948  0.0812  0.1446
   5  5.0815E-04    0.241127    0.229211  0.4353 -0.1407  0.2708  0.2575  0.4519  0.3188  0.1728  0.3033  0.0655  0.1396
   6  1.2068E-04    0.220889    0.226901  0.4386 -0.1377  0.2731  0.2525  0.4527  0.3300  0.1722  0.3068  0.0575  0.1335
   7  4.6525E-05    0.212396    0.225634  0.4404 -0.1360  0.2750  0.2524  0.4510  0.3384  0.1721  0.3074  0.0538  0.1283
   8  2.7524E-05    0.208790    0.224920  0.4416 -0.1346  0.2769  0.2535  0.4494  0.3451  0.1721  0.3066  0.0519  0.1243
   9  1.9242E-05    0.207229    0.224609  0.4425 -0.1335  0.2789  0.2549  0.4483  0.3505  0.1721  0.3052  0.0509  0.1212
  10  1.4414E-05    0.206577    0.224549  0.4433 -0.1324  0.2810  0.2562  0.4475  0.3551  0.1721  0.3036  0.0503  0.1189
  11  1.1309E-05    0.206424    0.224613  0.4438 -0.1315  0.2830  0.2574  0.4470  0.3590  0.1721  0.3019  0.0499  0.1171
  12  3.2140E-05    0.205778    0.223401  0.4446 -0.1301  0.2854  0.2568  0.4464  0.3633  0.1721  0.3005  0.0489  0.1152
  13  1.3548E-05    0.205628    0.222978  0.4452 -0.1292  0.2875  0.2574  0.4460  0.3670  0.1721  0.2988  0.0484  0.1137
  14  8.9921E-06    0.205702    0.222936  0.4456 -0.1284  0.2895  0.2581  0.4457  0.3703  0.1721  0.2970  0.0482  0.1125
  15  7.1837E-06    0.205915    0.223095  0.4459 -0.1277  0.2915  0.2588  0.4456  0.3733  0.1721  0.2951  0.0480  0.1115
  16  6.1398E-06    0.206212    0.223414  0.4461 -0.1271  0.2936  0.2594  0.4455  0.3761  0.1721  0.2933  0.0478  0.1107
  17  5.4081E-06    0.206532    0.223804  0.4464 -0.1266  0.2956  0.2599  0.4455  0.3787  0.1721  0.2915  0.0477  0.1100
  18  4.8789E-06    0.206887    0.224216  0.4465 -0.1261  0.2976  0.2604  0.4455  0.3812  0.1721  0.2897  0.0477  0.1094
  19  4.5266E-06    0.207212    0.224685  0.4467 -0.1256  0.2996  0.2608  0.4455  0.3835  0.1721  0.2879  0.0476  0.1089
  20  4.1712E-06    0.207635    0.225118  0.4468 -0.1252  0.3017  0.2612  0.4455  0.3857  0.1721  0.2862  0.0475  0.1085
  21  3.7375E-06    0.208019    0.225575  0.4470 -0.1248  0.3037  0.2616  0.4456  0.3878  0.1721  0.2846  0.0475  0.1081
  22  3.4579E-06    0.208390    0.226028  0.4471 -0.1244  0.3058  0.2620  0.4456  0.3897  0.1721  0.2830  0.0474  0.1078
  23  3.2561E-06    0.208765    0.226464  0.4472 -0.1240  0.3078  0.2623  0.4457  0.3916  0.1720  0.2814  0.0474  0.1075
  24  3.1082E-06    0.209104    0.226903  0.4473 -0.1236  0.3099  0.2626  0.4458  0.3934  0.1720  0.2799  0.0474  0.1073
  25  2.9711E-06    0.209454    0.227321  0.4474 -0.1233  0.3119  0.2629  0.4459  0.3952  0.1720  0.2783  0.0474  0.1071
  26  2.8707E-06    0.209801    0.227718  0.4474 -0.1230  0.3140  0.2632  0.4460  0.3969  0.1720  0.2768  0.0474  0.1069
  27  2.7239E-06    0.210173    0.228091  0.4475 -0.1226  0.3162  0.2634  0.4461  0.3985  0.1720  0.2753  0.0474  0.1068
  28  2.5610E-06    0.210582    0.228426  0.4476 -0.1223  0.3183  0.2637  0.4462  0.4001  0.1720  0.2739  0.0474  0.1067
  29  2.4540E-06    0.210939    0.228772  0.4476 -0.1220  0.3204  0.2639  0.4463  0.4015  0.1720  0.2724  0.0474  0.1066
  30  2.3079E-06    0.211336    0.229041  0.4477 -0.1217  0.3225  0.2642  0.4464  0.4030  0.1720  0.2711  0.0474  0.1066
  31  2.2418E-06    0.211655    0.229339  0.4477 -0.1214  0.3247  0.2644  0.4465  0.4044  0.1720  0.2697  0.0474  0.1065
  32  2.0453E-06    0.212009    0.229580  0.4478 -0.1211  0.3268  0.2646  0.4466  0.4057  0.1720  0.2684  0.0474  0.1065
