K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   7   1       0   1.0000 58:48:09 -3.09067935488E+05 -3.09067935488E+05 -0.13822 -0.01393 -0.00344 -0.01541  0.16245 -0.14088 -0.15049 -0.15456 -0.17729 -0.20988
5   7   1     100   1.9231 58:48:09 -3.05978839758E+05 -3.05978839758E+05 -0.13822 -0.01393 -0.00344 -0.01541  0.16245 -0.14088 -0.15049 -0.15456 -0.17729 -0.20988
5   7   1     200  31.7073 58:48:09 -2.60997547242E+05 -2.60997547242E+05  0.16245 -0.01541 -0.01393 -0.13822 -0.00344 -0.20988 -0.17729 -0.15049 -0.14088 -0.15456
5   7   1     400  31.8519 58:48:09 -2.55623256170E+05 -2.53500974312E+05 -0.01541  0.16245 -0.01393 -0.13822 -0.00344 -0.17729 -0.20988 -0.15049 -0.14088 -0.15456
5   7   1     800  33.9130 58:48:09 -2.51051676899E+05 -2.49802365993E+05  0.16245 -0.01541 -0.00344 -0.13822 -0.01393 -0.20988 -0.17729 -0.15456 -0.14088 -0.15049
5   7   1    1600  30.7788 58:48:09 -2.47027138896E+05 -2.46515843772E+05  0.16245 -0.01541 -0.00344 -0.13822 -0.01393 -0.20988 -0.17729 -0.15456 -0.14088 -0.15049
5   7   1    3200  28.8612 59:48:09 -2.48518273967E+05 -2.45094561948E+05  0.16245 -0.01541 -0.00344 -0.13822 -0.01393 -0.20988 -0.17729 -0.15456 -0.14088 -0.15049
5   7   1    5000  28.2318 00:49:09 -2.47352260871E+05 -2.45094561948E+05  0.40996  0.35356  0.00557 -0.00635  0.48269 -0.23936 -0.35175 -0.88545 -0.90240 -0.55353
5   7   1    6400  28.3216 01:49:09 -2.48518557340E+05 -2.45094561948E+05  0.40996  0.35356  0.00557 -0.00635  0.48269 -0.23936 -0.35175 -0.88545 -0.90240 -0.55353
5   7   1   10000  28.9455 02:49:09 -2.48153198425E+05 -2.45094561948E+05  0.46436  0.34221 -0.01527 -0.00791  0.44717 -0.23124 -0.28176 -0.83302 -0.92921 -0.47348
5   7   1   12800  28.9106 02:49:09 -2.49397649160E+05 -2.44688802091E+05  0.46436  0.34221  0.44717 -0.01527 -0.00791 -0.23124 -0.28176 -0.47348 -0.83302 -0.92921
5   7   2   15000  25.2981 04:49:09 -2.47283484155E+05 -2.44688802091E+05  0.41929  0.34853  0.00404 -0.00213  0.38664 -0.24190 -0.37000 -0.92607 -0.86527 -0.20859
5   7   2   25000  26.6691 07:49:09 -2.49108498187E+05 -2.44688802091E+05  0.39871  0.45903  0.44730  0.01310  0.00569 -0.25211 -0.47348 -0.54381 -0.90987 -0.85851
5   7   2   25600  26.7454 07:49:09 -2.47473577241E+05 -2.44688802091E+05  0.39871  0.44730  0.01310  0.00569  0.45903 -0.25211 -0.54381 -0.90987 -0.85851 -0.47348
5   7   3   30000   8.2649 10:49:09 -2.42087080054E+05 -2.41411830163E+05  0.37283  0.22403  0.53972 -0.18337  0.35324 -0.22406 -0.33431 -0.90638 -0.88936 -0.47348
5   7   3   35000   8.3915 12:49:09 -2.42618018289E+05 -2.41411830163E+05  0.36963  0.22600  0.54073 -0.18077  0.35466 -0.21446 -0.35755 -0.90638 -0.88936 -0.47348
5   7   3   40000   7.8862 14:49:09 -2.41639936593E+05 -2.41382169074E+05  0.37391  0.22687  0.54070 -0.18085  0.35461 -0.21864 -0.36225 -0.90638 -0.88936 -0.47348
5   7   4   45000   7.1840 16:49:09 -2.42572957032E+05 -2.41373181862E+05  0.36243  0.22789  0.54171 -0.17825  0.49282 -0.21687 -0.35784 -0.90638 -0.88936 -0.88116
5   7   4   50000   6.7981 20:49:09 -2.41847173655E+05 -2.41373181862E+05  0.35583  0.22645  0.54173 -0.17819  0.35607 -0.20417 -0.36495 -0.90638 -0.88936 -0.47348
5   7   4   51200   6.8843 24:49:09 -2.42451726802E+05 -2.41373181862E+05  0.35583  0.22645  0.54173 -0.17819  0.35607 -0.20417 -0.36495 -0.90638 -0.88936 -0.47348
5   7   4   55000   6.7603 27:49:09 -2.42409627785E+05 -2.41373181862E+05  0.38889  0.22231  0.53863 -0.18618  0.35170 -0.22858 -0.33131 -0.90638 -0.88936 -0.47348
5   7   4   60000   6.6227 29:49:09 -2.42309017906E+05 -2.41373181862E+05  0.36367  0.22768  0.54126 -0.17942  0.49231 -0.21400 -0.35258 -0.90638 -0.88936 -0.88116
5   7   5   65000   5.0069 31:49:09 -2.42056827011E+05 -2.41373181862E+05  0.39609  0.22344  0.53810 -0.18753  0.35097 -0.23622 -0.32875 -0.90638 -0.88936 -0.47348
5   7   6   75000   5.2049 35:49:09 -2.41570451042E+05 -2.41373181862E+05  0.39882  0.22152  0.53803 -0.18771  0.35087 -0.23791 -0.32771 -0.90638 -0.88936 -0.47348
5   7   6   80000   5.2449 38:49:09 -2.41617392487E+05 -2.41373181862E+05  0.39360  0.22508  0.49030 -0.18356  0.35313 -0.23598 -0.33924 -0.71872 -0.88936 -0.47348
5   7   6   85000   5.2969 40:49:09 -2.41382169074E+05 -2.41373181862E+05  0.37120  0.22643  0.54071 -0.18083  0.35463 -0.21634 -0.35924 -0.90638 -0.88936 -0.47348
5   7   8   95000   4.2735 43:49:09 -2.41650438642E+05 -2.41373181862E+05  0.37949  0.22568  0.53967 -0.18350  0.35317 -0.22961 -0.34218 -0.90638 -0.88936 -0.47348
5   7   8  100000   4.3953 49:49:09 -2.42236766699E+05 -2.41373181862E+05  0.36217  0.23075  0.54173 -0.17820  0.35606 -0.22600 -0.36416 -0.90638 -0.88936 -0.47348
5   7   8  102400   4.4930 50:49:09 -2.41599440881E+05 -2.41373181862E+05  0.36217  0.23075  0.54173 -0.17820  0.35606 -0.22600 -0.36416 -0.90638 -0.88936 -0.47348
5   7   8  105000   4.2521 52:49:09 -2.41550384938E+05 -2.41373181862E+05  0.38969  0.22218  0.53909 -0.18498  0.35236 -0.22780 -0.34114 -0.90638 -0.88936 -0.47348
5   7   8  110000   4.2574 57:49:09 -2.41642327240E+05 -2.41373181862E+05  0.37334  0.22537  0.54024 -0.18202  0.35397 -0.21208 -0.35380 -0.90638 -0.88936 -0.47348
5   7   9  112680   4.5000 01:50:09 -2.42083780624E+05 -2.41373181862E+05  0.38191  0.22501  0.53965 -0.18356  0.35314 -0.22959 -0.34415 -0.90638 -0.88936 -0.47348
5   7   9  115000   4.2604 01:50:09 -2.41685439567E+05 -2.41373181862E+05  0.38191  0.22501  0.53965 -0.18356  0.35314 -0.22959 -0.34415 -0.90638 -0.88936 -0.47348
