Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  1.4296E-02    0.732796    0.132508  0.2631 -0.2296  0.2111  0.1128  0.1720  0.1198  0.1919  0.1557  0.2001  0.1443  0.1588  0.1493
   2  5.0340E-03    0.614580    0.268342  0.3504 -0.1876  0.2102  0.1634  0.2477  0.1499  0.2291  0.1845  0.2137  0.1088  0.1412  0.1227
   3  5.9357E-03    0.505490    0.258839  0.4079 -0.1741  0.2227  0.2056  0.3589  0.2039  0.2552  0.1804  0.2052  0.0855  0.1372  0.1364
   4  4.3973E-03    0.386077    0.275891  0.4255 -0.1654  0.2342  0.2692  0.4265  0.2564  0.2694  0.1753  0.1904  0.0794  0.1411  0.1445
   5  8.0185E-04    0.325419    0.293824  0.4309 -0.1599  0.2433  0.2836  0.4459  0.2924  0.2798  0.1744  0.1895  0.0690  0.1392  0.1481
   6  2.2555E-04    0.296846    0.297693  0.4331 -0.1559  0.2499  0.2813  0.4504  0.3145  0.2871  0.1739  0.1936  0.0636  0.1355  0.1463
   7  1.0876E-04    0.280537    0.297581  0.4341 -0.1534  0.2540  0.2781  0.4511  0.3266  0.2921  0.1735  0.1977  0.0614  0.1322  0.1432
   8  6.6250E-05    0.269729    0.296799  0.4341 -0.1524  0.2562  0.2788  0.4506  0.3324  0.2955  0.1730  0.2009  0.0609  0.1296  0.1401
   9  4.0318E-05    0.262201    0.296600  0.4339 -0.1521  0.2575  0.2804  0.4500  0.3350  0.2979  0.1727  0.2034  0.0608  0.1278  0.1375
  10  2.6629E-05    0.256454    0.296972  0.4336 -0.1519  0.2584  0.2815  0.4496  0.3364  0.2996  0.1727  0.2051  0.0607  0.1265  0.1354
  11  1.8654E-05    0.251932    0.297796  0.4335 -0.1517  0.2592  0.2822  0.4492  0.3371  0.3012  0.1726  0.2062  0.0607  0.1253  0.1339
  12  1.3313E-05    0.248274    0.298754  0.4334 -0.1516  0.2599  0.2827  0.4489  0.3377  0.3025  0.1726  0.2068  0.0608  0.1245  0.1328
  13  8.7172E-06    0.245304    0.299773  0.4332 -0.1515  0.2605  0.2830  0.4486  0.3381  0.3035  0.1726  0.2072  0.0608  0.1238  0.1320
  14  5.8788E-06    0.242827    0.300798  0.4331 -0.1515  0.2610  0.2833  0.4485  0.3384  0.3042  0.1727  0.2077  0.0608  0.1233  0.1313
  15  3.9647E-06    0.240825    0.301750  0.4329 -0.1515  0.2615  0.2835  0.4483  0.3386  0.3047  0.1727  0.2079  0.0608  0.1229  0.1309
  16  2.8029E-06    0.239219    0.302574  0.4328 -0.1516  0.2619  0.2836  0.4482  0.3387  0.3051  0.1727  0.2081  0.0609  0.1226  0.1306
  17  2.1082E-06    0.237897    0.303295  0.4326 -0.1516  0.2623  0.2837  0.4481  0.3388  0.3054  0.1727  0.2083  0.0609  0.1223  0.1303
  18  1.6938E-06    0.236722    0.303963  0.4325 -0.1517  0.2625  0.2839  0.4480  0.3390  0.3057  0.1727  0.2083  0.0609  0.1221  0.1302
  19  1.3298E-06    0.235567    0.304646  0.4324 -0.1517  0.2628  0.2839  0.4479  0.3391  0.3059  0.1727  0.2084  0.0610  0.1219  0.1300
  20  8.4889E-07    0.234640    0.305201  0.4323 -0.1517  0.2630  0.2840  0.4478  0.3391  0.3061  0.1728  0.2086  0.0610  0.1217  0.1298
  21  5.4501E-07    0.234131    0.305493  0.4322 -0.1518  0.2632  0.2841  0.4477  0.3392  0.3063  0.1728  0.2084  0.0610  0.1216  0.1298
  22  4.5801E-07    0.233676    0.305752  0.4321 -0.1518  0.2634  0.2841  0.4477  0.3392  0.3064  0.1728  0.2084  0.0611  0.1215  0.1298
  23  4.6001E-07    0.233128    0.306078  0.4320 -0.1518  0.2635  0.2842  0.4476  0.3392  0.3065  0.1729  0.2083  0.0611  0.1214  0.1298
  24  2.9170E-07    0.232775    0.306298  0.4319 -0.1519  0.2636  0.2842  0.4476  0.3392  0.3066  0.1729  0.2083  0.0611  0.1213  0.1297
  25  2.4994E-07    0.232457    0.306492  0.4318 -0.1519  0.2637  0.2842  0.4475  0.3392  0.3067  0.1729  0.2083  0.0612  0.1213  0.1297
  26  1.4157E-07    0.232317    0.306574  0.4317 -0.1519  0.2638  0.2843  0.4475  0.3392  0.3067  0.1729  0.2082  0.0612  0.1212  0.1297
  27  1.4083E-07    0.232080    0.306719  0.4316 -0.1520  0.2638  0.2843  0.4475  0.3392  0.3068  0.1730  0.2081  0.0612  0.1212  0.1297
  28  8.8999E-08    0.232003    0.306743  0.4315 -0.1520  0.2639  0.2843  0.4474  0.3391  0.3069  0.1730  0.2080  0.0613  0.1211  0.1297
  29  1.0301E-07    0.231841    0.306827  0.4315 -0.1520  0.2639  0.2843  0.4474  0.3391  0.3069  0.1730  0.2079  0.0613  0.1211  0.1297
  30  1.2977E-07    0.231580    0.306987  0.4314 -0.1520  0.2640  0.2843  0.4474  0.3391  0.3069  0.1731  0.2078  0.0613  0.1211  0.1297
  31  9.7104E-08    0.231449    0.307042  0.4313 -0.1521  0.2640  0.2843  0.4473  0.3390  0.3070  0.1731  0.2078  0.0614  0.1210  0.1297
  32  7.9513E-08    0.231382    0.307061  0.4312 -0.1521  0.2640  0.2843  0.4473  0.3390  0.3070  0.1731  0.2077  0.0614  0.1210  0.1297
  33  9.2450E-08    0.231257    0.307118  0.4311 -0.1521  0.2641  0.2843  0.4473  0.3390  0.3070  0.1731  0.2077  0.0614  0.1210  0.1297
  34  6.9421E-08    0.231233    0.307106  0.4310 -0.1522  0.2641  0.2843  0.4472  0.3390  0.3071  0.1731  0.2077  0.0615  0.1210  0.1297
  35  1.0096E-07    0.231042    0.307217  0.4310 -0.1522  0.2641  0.2843  0.4472  0.3389  0.3071  0.1732  0.2076  0.0615  0.1209  0.1297
  36  8.7632E-08    0.230917    0.307310  0.4309 -0.1522  0.2641  0.2843  0.4472  0.3389  0.3071  0.1732  0.2075  0.0615  0.1209  0.1297
  37  6.3631E-08    0.230900    0.307329  0.4308 -0.1522  0.2641  0.2843  0.4472  0.3389  0.3071  0.1732  0.2075  0.0616  0.1209  0.1297
  38  5.2864E-08    0.230921    0.307327  0.4308 -0.1522  0.2641  0.2842  0.4472  0.3389  0.3071  0.1732  0.2075  0.0616  0.1209  0.1297
  39  6.9670E-08    0.230858    0.307387  0.4307 -0.1523  0.2641  0.2842  0.4472  0.3388  0.3071  0.1732  0.2074  0.0616  0.1209  0.1297
  40  6.4747E-08    0.230821    0.307432  0.4307 -0.1523  0.2641  0.2842  0.4471  0.3388  0.3071  0.1733  0.2074  0.0617  0.1209  0.1297
  41  9.5167E-08    0.230681    0.307552  0.4306 -0.1523  0.2641  0.2842  0.4471  0.3388  0.3071  0.1733  0.2073  0.0617  0.1208  0.1297
  42  1.3146E-07    0.230396    0.307779  0.4306 -0.1523  0.2642  0.2841  0.4471  0.3388  0.3071  0.1734  0.2073  0.0617  0.1209  0.1297
  43  8.4106E-08    0.230348    0.307836  0.4306 -0.1523  0.2642  0.2841  0.4471  0.3388  0.3071  0.1734  0.2073  0.0617  0.1209  0.1297
  44  8.7137E-08    0.230245    0.307933  0.4305 -0.1523  0.2642  0.2841  0.4471  0.3388  0.3071  0.1734  0.2073  0.0617  0.1208  0.1297
  45  5.1993E-08    0.230317    0.307907  0.4305 -0.1524  0.2642  0.2841  0.4471  0.3388  0.3071  0.1734  0.2072  0.0617  0.1208  0.1297
  46  7.6321E-08    0.230223    0.308005  0.4304 -0.1524  0.2642  0.2840  0.4471  0.3387  0.3071  0.1735  0.2072  0.0617  0.1208  0.1297
