K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   6   1       0   1.0000 20:07:10 -3.13245941188E+05 -3.13245941188E+05  0.12151 -0.04967  0.02929 -0.02084  0.00770 -0.11780 -0.15037 -0.16715 -0.13362 -0.15913 -0.16484 -0.18521
6   6   1     100   1.0000 20:07:10 -3.10068422096E+05 -3.10068422096E+05  0.02929 -0.04967 -0.02084  0.00770 -0.11780  0.12151 -0.13362 -0.16715 -0.15913 -0.16484 -0.18521 -0.15037
6   6   1     200  28.8557 20:07:10 -2.65577928501E+05 -2.65123511219E+05  0.02929 -0.04967 -0.11780  0.00770  0.12151 -0.02084 -0.13362 -0.16715 -0.18521 -0.16484 -0.15037 -0.15913
6   6   1     400  28.4289 20:07:10 -2.56874429579E+05 -2.56071619670E+05  0.02929 -0.04967  0.12151  0.00770 -0.02084 -0.11780 -0.13362 -0.16715 -0.15037 -0.16484 -0.15913 -0.18521
6   6   1     800  30.4619 20:07:10 -2.52335218826E+05 -2.51944688540E+05  0.02929 -0.11780 -0.04967  0.12151  0.00770 -0.02084 -0.13362 -0.18521 -0.16715 -0.15037 -0.16484 -0.15913
6   6   1    1600  28.4197 20:07:10 -2.51089419049E+05 -2.48715827063E+05 -0.11780 -0.04967  0.12151  0.00770  0.02929 -0.02084 -0.18521 -0.16715 -0.15037 -0.16484 -0.13362 -0.15913
6   6   1    3200  28.1475 20:07:10 -2.51535349278E+05 -2.47970285797E+05 -0.11780 -0.04967  0.12151  0.02929  0.00770 -0.02084 -0.18521 -0.16715 -0.15037 -0.13362 -0.16484 -0.15913
6   6   1    6400  30.2140 20:07:10 -2.51374482063E+05 -2.47505240926E+05  0.43286  0.46850  0.33774 -0.02478 -0.03088  0.43832 -0.23363 -0.64226 -0.33622 -0.90813 -0.86832 -0.47348
6   6   1   12800  27.1385 21:07:10 -2.48686258634E+05 -2.45208892102E+05  0.42809  0.30929  0.58928 -0.05302 -0.05716  0.54546 -0.22820 -0.33012 -0.90638 -0.86318 -0.90286 -0.88116
6   6   1   15000  26.8115 22:07:10 -2.47669696112E+05 -2.45208892102E+05  0.37583  0.32634  0.59378 -0.04740 -0.04166  0.42924 -0.21722 -0.42097 -0.90422 -0.88349 -0.89444 -0.47348
6   6   2   25600  23.2756 23:07:10 -2.46446895313E+05 -2.44650330618E+05  0.43107  0.30941  0.58965 -0.05255 -0.05657  0.42340 -0.22960 -0.32892 -0.90638 -0.89172 -0.88756 -0.47348
6   6   2   30000  22.7770 24:07:10 -2.48509652468E+05 -2.44650330618E+05  0.39227  0.31336  0.59214 -0.04962 -0.04635  0.42690 -0.21970 -0.35950 -0.90638 -0.89956 -0.86019 -0.47348
6   6   3   45000  13.2647 26:07:10 -2.44559468427E+05 -2.43293830817E+05  0.36935  0.22687  0.38491  0.53741 -0.18930  0.37906 -0.21333 -0.37131 -0.64226 -0.90638 -0.88936 -0.54669
6   6   3   51200  12.2670 28:07:10 -2.44880014799E+05 -2.42951471590E+05  0.34017  0.22384  0.37899  0.53742 -0.18927  0.35001 -0.21291 -0.36293 -0.61021 -0.90638 -0.88936 -0.47348
6   6   3   55000  11.7230 28:07:10 -2.43652126152E+05 -2.42951471590E+05  0.38273  0.22678  0.38296  0.53594 -0.19309  0.34792 -0.22904 -0.33827 -0.64226 -0.90638 -0.88936 -0.47348
6   6   4   65000   8.8845 30:07:10 -2.44493778219E+05 -2.42951471590E+05  0.40481  0.38272  0.23015  0.53576 -0.19354  0.37685 -0.23424 -0.64226 -0.32833 -0.90638 -0.88936 -0.54669
6   6   5   70000   7.7289 32:07:10 -2.44681024801E+05 -2.42951471590E+05  0.37606  0.39493  0.22902  0.53705 -0.19024  0.34948 -0.22771 -0.69816 -0.32577 -0.90638 -0.88936 -0.47348
6   6   5   75000   7.9927 34:07:10 -2.44941397531E+05 -2.42951471590E+05  0.39209  0.22761  0.38286  0.53587 -0.19328  0.34782 -0.23598 -0.34727 -0.64226 -0.90638 -0.88936 -0.47348
6   6   5   80000   7.8005 36:07:10 -2.43342766496E+05 -2.42951471590E+05  0.39266  0.38205  0.23071  0.53525 -0.19485  0.34696 -0.22866 -0.64226 -0.32510 -0.90638 -0.88936 -0.47348
6   6   5   85000   7.3788 40:07:10 -2.45275736770E+05 -2.42951471590E+05  0.38955  0.38287  0.22687  0.53588 -0.19325  0.34784 -0.22495 -0.64226 -0.34949 -0.90638 -0.88936 -0.47348
6   6   6   90000   6.3255 42:07:10 -2.43471328669E+05 -2.42951471590E+05  0.37640  0.38422  0.22862  0.53689 -0.19064  0.38194 -0.22331 -0.64226 -0.35336 -0.90638 -0.88936 -0.55353
6   6   7   95000   5.1282 45:07:10 -2.43309207221E+05 -2.42951471590E+05  0.39553  0.38284  0.22568  0.53585 -0.19332  0.34780 -0.22992 -0.64226 -0.35182 -0.90638 -0.88936 -0.47348
6   6   7  102400   5.0575 47:07:10 -2.42961845212E+05 -2.42951471590E+05  0.40031  0.38253  0.22762  0.53562 -0.19392  0.34747 -0.23248 -0.64226 -0.34756 -0.90638 -0.88936 -0.47348
6   6   7  105000   5.0701 48:07:10 -2.45298696775E+05 -2.42951471590E+05  0.40557  0.22863  0.38222  0.53538 -0.19452  0.34714 -0.24334 -0.33811 -0.64226 -0.90638 -0.88936 -0.47348
6   6   8  114285   3.4000 49:07:10 -2.43473951798E+05 -2.42951471590E+05  0.42046  0.38144  0.22865  0.53480 -0.19602  0.34633 -0.24750 -0.64226 -0.32979 -0.90638 -0.88936 -0.47348
6   6   8  120000   3.5462 50:07:10 -2.43244194590E+05 -2.42951471590E+05  0.41308  0.38178  0.22783  0.53505 -0.19537  0.34668 -0.24273 -0.64226 -0.33418 -0.90638 -0.88936 -0.47348
6   6   9  121906   2.9000 50:07:10 -2.43125919204E+05 -2.42951471590E+05  0.39372  0.38359  0.22912  0.53642 -0.19186  0.38131 -0.23685 -0.64226 -0.34533 -0.90638 -0.88936 -0.55353
6   6   9  130000   3.4160 52:07:10 -2.43335565539E+05 -2.42951471590E+05  0.40601  0.38216  0.22732  0.53534 -0.19462  0.34709 -0.23890 -0.64226 -0.33872 -0.90638 -0.88936 -0.47348
6   6   9  140000   3.6321 54:07:10 -2.43589060432E+05 -2.42951471590E+05  0.39756  0.23055  0.38397  0.53670 -0.19113  0.48727 -0.23656 -0.33609 -0.64226 -0.90638 -0.88936 -0.88116
6   6  10  141225   3.2000 54:07:10 -2.43094644777E+05 -2.42951471590E+05  0.39756  0.38397  0.23055  0.53670 -0.19113  0.48727 -0.23656 -0.64226 -0.33609 -0.90638 -0.88936 -0.88116
6   6  11  149126   3.5000 55:07:10 -2.43102727264E+05 -2.42951471590E+05  0.39778  0.38253  0.22633  0.53562 -0.19392  0.34747 -0.22832 -0.64226 -0.34475 -0.90638 -0.88936 -0.47348
6   6  11  155000   2.5917 56:07:10 -2.42951471590E+05 -2.42951471590E+05  0.39129  0.38315  0.22496  0.53609 -0.19271  0.34814 -0.23322 -0.64226 -0.35525 -0.90638 -0.88936 -0.47348
6   6  12  169006   2.1000 58:07:10 -2.43431397380E+05 -2.42951471590E+05  0.39544  0.38284  0.22697  0.53585 -0.19332  0.34780 -0.23143 -0.64226 -0.35307 -0.90638 -0.88936 -0.47348
6   6  12  170000   2.2102 58:07:10 -2.43019341027E+05 -2.42951471590E+05  0.39544  0.22697  0.38284  0.53585 -0.19332  0.34780 -0.23143 -0.35307 -0.64226 -0.90638 -0.88936 -0.47348
6   6  13  177140   2.6000 00:08:10 -2.42951471590E+05 -2.42951471590E+05  0.41078  0.38212  0.22714  0.53531 -0.19471  0.34704 -0.24392 -0.64226 -0.34105 -0.90638 -0.88936 -0.47348
6   6  13  180000   1.8104 01:08:10 -2.43154124305E+05 -2.42951471590E+05  0.41078  0.38212  0.22714  0.53531 -0.19471  0.34704 -0.24392 -0.64226 -0.34105 -0.90638 -0.88936 -0.47348
6   6  13  190000   1.9698 03:08:10 -2.43345625620E+05 -2.42951471590E+05  0.41078  0.38212  0.22714  0.53531 -0.19471  0.34704 -0.24392 -0.64226 -0.34105 -0.90638 -0.88936 -0.47348
6   6  14  197371   1.4000 05:08:10 -2.42951471590E+05 -2.42951471590E+05  0.39792  0.38280  0.22613  0.53582 -0.19338  0.34777 -0.23835 -0.64226 -0.35060 -0.90638 -0.88936 -0.47348
6   6  14  200000   1.5351 05:08:10 -2.43156649094E+05 -2.42951471590E+05  0.40492  0.38245  0.22645  0.53555 -0.19408  0.34739 -0.24161 -0.64226 -0.34601 -0.90638 -0.88936 -0.47348
6   6 200  204864   0.0000 07:08:10 -2.42951471590E+05 -2.42951471590E+05  0.22712  0.39707  0.38283  0.53584 -0.19333  0.34779 -0.35075 -0.23912 -0.64226 -0.90638 -0.88936 -0.47348
