Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  8.2065E-03    0.788876    0.087707  0.2509 -0.2261  0.2052  0.0881  0.1553  0.1021  0.0410  0.1740  0.1261  0.1777  0.1267  0.1411  0.1326  0.1217
   2  6.2757E-03    0.654756    0.269013  0.3495 -0.1852  0.2126  0.1321  0.2352  0.1445  0.0534  0.2144  0.1719  0.2012  0.0930  0.1278  0.1149  0.0769
   3  4.8733E-03    0.548667    0.269061  0.4135 -0.1649  0.2291  0.1666  0.3543  0.2139  0.0096  0.2489  0.1716  0.1935  0.0732  0.1272  0.1311  0.0546
   4  4.5717E-03    0.419334    0.285035  0.4377 -0.1426  0.2498  0.2598  0.4356  0.2766 -0.0634  0.2647  0.1674  0.1805  0.0717  0.1353  0.1425  0.0380
   5  8.9728E-04    0.346905    0.309407  0.4464 -0.1290  0.2648  0.2923  0.4605  0.3151 -0.0906  0.2721  0.1653  0.1831  0.0668  0.1357  0.1465  0.0305
   6  2.4765E-04    0.314225    0.313893  0.4497 -0.1226  0.2734  0.2991  0.4667  0.3367 -0.0783  0.2781  0.1645  0.1904  0.0618  0.1328  0.1446  0.0278
   7  1.6023E-04    0.295512    0.313491  0.4489 -0.1233  0.2756  0.3072  0.4660  0.3457 -0.0282  0.2820  0.1640  0.1971  0.0586  0.1299  0.1414  0.0269
   8  9.2464E-05    0.283189    0.312384  0.4484 -0.1235  0.2770  0.3170  0.4650  0.3501  0.0161  0.2852  0.1640  0.2022  0.0568  0.1277  0.1383  0.0258
   9  3.9056E-05    0.274547    0.312042  0.4497 -0.1203  0.2800  0.3281  0.4659  0.3540  0.0316  0.2880  0.1640  0.2058  0.0565  0.1261  0.1355  0.0241
  10  2.5688E-05    0.268098    0.311987  0.4509 -0.1175  0.2824  0.3340  0.4666  0.3565  0.0441  0.2906  0.1640  0.2083  0.0562  0.1249  0.1333  0.0228
  11  1.7366E-05    0.263060    0.312492  0.4517 -0.1154  0.2842  0.3368  0.4671  0.3580  0.0543  0.2929  0.1640  0.2098  0.0560  0.1238  0.1315  0.0220
  12  1.2105E-05    0.259286    0.313111  0.4523 -0.1138  0.2856  0.3382  0.4673  0.3592  0.0622  0.2949  0.1639  0.2106  0.0559  0.1230  0.1302  0.0215
  13  8.4784E-06    0.256225    0.313766  0.4528 -0.1127  0.2866  0.3389  0.4675  0.3601  0.0682  0.2965  0.1639  0.2111  0.0558  0.1222  0.1292  0.0212
  14  5.5905E-06    0.253787    0.314380  0.4531 -0.1118  0.2876  0.3393  0.4676  0.3608  0.0725  0.2978  0.1638  0.2114  0.0558  0.1216  0.1286  0.0211
  15  5.2252E-06    0.251614    0.315010  0.4533 -0.1111  0.2884  0.3395  0.4676  0.3614  0.0755  0.2988  0.1638  0.2114  0.0557  0.1212  0.1282  0.0210
  16  3.1904E-06    0.249855    0.315495  0.4535 -0.1104  0.2891  0.3396  0.4676  0.3619  0.0775  0.2996  0.1637  0.2115  0.0556  0.1207  0.1279  0.0208
  17  2.2191E-06    0.248562    0.315952  0.4537 -0.1098  0.2899  0.3396  0.4677  0.3623  0.0786  0.3004  0.1637  0.2118  0.0555  0.1204  0.1276  0.0207
  18  1.4766E-06    0.247339    0.316256  0.4539 -0.1093  0.2905  0.3396  0.4677  0.3626  0.0794  0.3009  0.1637  0.2120  0.0554  0.1200  0.1273  0.0206
  19  1.5695E-06    0.246263    0.316504  0.4540 -0.1088  0.2911  0.3395  0.4677  0.3630  0.0796  0.3015  0.1637  0.2122  0.0553  0.1197  0.1271  0.0205
  20  7.3821E-07    0.245293    0.316559  0.4542 -0.1083  0.2916  0.3395  0.4677  0.3632  0.0796  0.3020  0.1636  0.2125  0.0553  0.1194  0.1269  0.0203
  21  4.5274E-07    0.244577    0.316439  0.4544 -0.1078  0.2921  0.3394  0.4676  0.3633  0.0795  0.3024  0.1636  0.2127  0.0552  0.1191  0.1268  0.0202
  22  8.9681E-07    0.243993    0.316344  0.4545 -0.1074  0.2926  0.3393  0.4676  0.3635  0.0790  0.3029  0.1636  0.2129  0.0551  0.1188  0.1267  0.0201
  23  3.2556E-07    0.243411    0.316084  0.4547 -0.1070  0.2930  0.3392  0.4676  0.3636  0.0784  0.3033  0.1636  0.2131  0.0550  0.1185  0.1266  0.0200
  24  2.7494E-07    0.242880    0.315763  0.4548 -0.1065  0.2933  0.3391  0.4675  0.3637  0.0778  0.3037  0.1636  0.2132  0.0549  0.1182  0.1265  0.0199
  25  8.1667E-07    0.242527    0.315510  0.4550 -0.1061  0.2937  0.3391  0.4675  0.3639  0.0770  0.3042  0.1635  0.2134  0.0548  0.1180  0.1263  0.0198
  26  1.9388E-07    0.242098    0.315082  0.4551 -0.1057  0.2941  0.3390  0.4674  0.3639  0.0762  0.3046  0.1635  0.2135  0.0548  0.1177  0.1263  0.0197
  27  3.6752E-07    0.241720    0.314756  0.4552 -0.1053  0.2945  0.3389  0.4674  0.3640  0.0753  0.3050  0.1635  0.2137  0.0547  0.1175  0.1261  0.0195
  28  3.2685E-07    0.241353    0.314364  0.4554 -0.1049  0.2948  0.3388  0.4674  0.3641  0.0743  0.3054  0.1635  0.2138  0.0546  0.1173  0.1260  0.0194
  29  1.4504E-07    0.240947    0.313961  0.4555 -0.1046  0.2951  0.3387  0.4673  0.3642  0.0736  0.3058  0.1635  0.2140  0.0545  0.1171  0.1258  0.0193
  30  1.0058E-07    0.240496    0.313466  0.4556 -0.1042  0.2954  0.3385  0.4673  0.3642  0.0726  0.3061  0.1634  0.2143  0.0544  0.1168  0.1257  0.0192
  31  1.4876E-07    0.240084    0.312971  0.4557 -0.1038  0.2956  0.3384  0.4672  0.3642  0.0717  0.3065  0.1634  0.2145  0.0543  0.1166  0.1255  0.0191
  32  3.9954E-07    0.239624    0.312621  0.4558 -0.1035  0.2959  0.3383  0.4672  0.3642  0.0706  0.3069  0.1634  0.2147  0.0542  0.1164  0.1253  0.0190
  33  3.4829E-07    0.239276    0.312160  0.4559 -0.1031  0.2962  0.3382  0.4672  0.3642  0.0696  0.3073  0.1634  0.2149  0.0542  0.1162  0.1251  0.0189
  34  1.0780E-07    0.238894    0.311669  0.4560 -0.1027  0.2964  0.3381  0.4671  0.3643  0.0687  0.3077  0.1633  0.2151  0.0541  0.1160  0.1249  0.0188
  35  2.0051E-07    0.238347    0.311260  0.4561 -0.1024  0.2966  0.3380  0.4670  0.3643  0.0677  0.3081  0.1634  0.2153  0.0540  0.1158  0.1248  0.0187
  36  4.0678E-07    0.237941    0.310826  0.4562 -0.1020  0.2969  0.3379  0.4670  0.3643  0.0667  0.3085  0.1633  0.2155  0.0539  0.1156  0.1245  0.0186
  37  6.8979E-08    0.237518    0.310270  0.4563 -0.1017  0.2971  0.3378  0.4669  0.3643  0.0658  0.3089  0.1633  0.2158  0.0538  0.1154  0.1243  0.0185
