K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   5   1       0   1.0000 32:42:10 -3.11323430648E+05 -3.11323430648E+05 -0.02907  0.24650 -0.00118  0.20414 -0.10670 -0.05900 -0.22356 -0.11718 -0.18138 -0.17516 -0.18211 -0.18241 -0.15669 -0.20447
7   5   1     100   2.9412 32:42:10 -3.09268453073E+05 -3.09268453073E+05 -0.02907  0.24650 -0.00118  0.20414 -0.10670 -0.05900 -0.22356 -0.11718 -0.18138 -0.17516 -0.18211 -0.18241 -0.15669 -0.20447
7   5   1     200  27.7228 32:42:10 -2.67657021347E+05 -2.67657021347E+05 -0.00118  0.24650  0.20414 -0.05900 -0.22356 -0.02907 -0.10670 -0.17516 -0.18138 -0.18211 -0.15669 -0.20447 -0.11718 -0.18241
7   5   1     400  33.3333 32:42:10 -2.60130108416E+05 -2.59641877717E+05  0.24650  0.20414 -0.00118 -0.10670 -0.05900 -0.22356 -0.02907 -0.18138 -0.18211 -0.17516 -0.18241 -0.15669 -0.20447 -0.11718
7   5   1     800  35.2868 32:42:10 -2.55354822310E+05 -2.55301771690E+05  0.24650  0.20414 -0.00118 -0.22356 -0.02907 -0.05900 -0.10670 -0.18138 -0.18211 -0.17516 -0.20447 -0.11718 -0.15669 -0.18241
7   5   1    1600  33.0212 32:42:10 -2.55038644862E+05 -2.52275343395E+05 -0.22356  0.20414  0.24650 -0.02907 -0.05900 -0.00118 -0.10670 -0.20447 -0.18211 -0.18138 -0.11718 -0.15669 -0.17516 -0.18241
7   5   1    3200  31.5740 33:42:10 -2.49088846604E+05 -2.47755849192E+05 -0.10670  0.24650 -0.22356  0.20414 -0.02907 -0.05900 -0.00118 -0.18241 -0.18138 -0.20447 -0.18211 -0.11718 -0.15669 -0.17516
7   5   1    5000  29.0684 36:42:10 -2.48074428447E+05 -2.47000558801E+05 -0.10670 -0.22356  0.24650  0.20414 -0.02907 -0.05900 -0.00118 -0.18241 -0.20447 -0.18138 -0.18211 -0.11718 -0.15669 -0.17516
7   5   1    6400  26.9916 37:42:10 -2.48563387078E+05 -2.46947573412E+05  0.44078  0.44542  0.30358  0.58292 -0.06961 -0.07496  0.41394 -0.21996 -0.64226 -0.36039 -0.90638 -0.85208 -0.93251 -0.47348
7   5   1   10000  26.8846 40:42:10 -2.49934856572E+05 -2.46744190111E+05  0.44078  0.44542  0.58292 -0.06961 -0.07496  0.41394  0.30358 -0.21996 -0.64226 -0.90638 -0.85208 -0.93251 -0.47348 -0.36039
7   5   1   12800  26.6911 41:42:10 -2.50945593456E+05 -2.46744190111E+05  0.44397  0.30601  0.30353  0.57926 -0.08034 -0.08269  0.53437 -0.22626 -0.29934 -0.40118 -0.90638 -0.86966 -0.89569 -0.88116
7   5   1   15000  26.7431 42:42:10 -2.50802929462E+05 -2.46744190111E+05  0.44397  0.30601  0.30353  0.57926 -0.08269 -0.08034  0.53437 -0.22626 -0.29934 -0.40118 -0.90638 -0.89569 -0.86966 -0.88116
7   5   2   25000  22.2749 46:42:10 -2.49848323342E+05 -2.46744190111E+05  0.38403  0.19729  0.52410 -0.22036  1.00000  0.47333  0.20408 -0.23775 -0.32764 -0.90638 -0.89199  0.00000 -0.88116 -0.18814
7   5   2   25600  21.8974 46:42:10 -2.48415639481E+05 -2.46744190111E+05  0.38403  0.19729  0.52410 -0.22036  1.00000  0.47333  0.20408 -0.23775 -0.32764 -0.90638 -0.89199  0.00000 -0.88116 -0.18814
7   5   3   35000  27.9330 49:42:10 -2.47730980439E+05 -2.46744190111E+05  0.48022  0.30496  0.44240  0.58064 -0.07515 -0.07841  0.36376 -0.25059 -0.32630 -0.64226 -0.90638 -0.78957 -0.92701 -0.34096
7   5   3   40000  11.7746 51:42:10 -2.46619329774E+05 -2.46197582298E+05  0.35601  0.21033  0.36906  0.52549 -0.21996  0.47486  0.37834 -0.23134 -0.33418 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
7   5   3   45000  10.7874 53:42:10 -2.47478895292E+05 -2.45910211972E+05  0.35601  0.36906  0.21033  0.52549 -0.21996  0.47486  0.37834 -0.23134 -0.64226 -0.33418 -0.90638 -0.88936 -0.88116 -0.56734
7   5   3   50000  10.1812 04:43:10 -2.46112186009E+05 -2.45910211972E+05  0.37488  0.36759  0.21136  0.52438 -0.22281  0.47364  0.37689 -0.23030 -0.64226 -0.31867 -0.90638 -0.88936 -0.88116 -0.56734
7   5   3   51200  10.0553 06:43:10 -2.46784450602E+05 -2.45910211972E+05  0.37544  0.36890  0.20834  0.52537 -0.22026  0.47473  0.37819 -0.23528 -0.64226 -0.35379 -0.90638 -0.88936 -0.88116 -0.56734
7   5   3   55000   9.8939 10:43:10 -2.46672494794E+05 -2.45910211972E+05  0.37544  0.36890  0.20834  0.52537 -0.22026  0.37819  0.47473 -0.23528 -0.64226 -0.35379 -0.90638 -0.88936 -0.56734 -0.88116
7   5   3   60000  10.1304 16:43:10 -2.47537332807E+05 -2.45910211972E+05  0.38857  0.38264  0.22779  0.53570  1.00000 -0.19370  0.34759 -0.22735 -0.64226 -0.34350 -0.90638  0.00000 -0.88936 -0.47348
7   5   4   65000  12.6063 19:43:10 -2.47255546272E+05 -2.45910211972E+05  0.35417  0.36575  0.20303  0.52300  0.23014 -0.22636  0.32974 -0.22209 -0.64226 -0.36519 -0.90638 -0.18494 -0.88936 -0.47348
7   5   5   70000   6.7352 24:43:10 -2.47492899919E+05 -2.45910211972E+05  0.38230  0.22646  0.38345  0.53631 -0.19213  1.00000  0.34845 -0.22409 -0.36116 -0.64226 -0.90638 -0.88936  0.00000 -0.47348
7   5   5   75000   5.8225 26:43:10 -2.46850094232E+05 -2.45910211972E+05  0.39139  0.38325  0.22493  1.00000  0.53616 -0.19252  0.34824 -0.23322 -0.64226 -0.36092  0.00000 -0.90638 -0.88936 -0.47348
7   5   5   85000   6.2020 29:43:10 -2.46294653011E+05 -2.45910211972E+05  0.39014  0.36774  0.20992  0.52449 -0.22252  0.47376  0.37704 -0.24808 -0.64226 -0.33310 -0.90638 -0.88936 -0.88116 -0.56734
7   5   6   90000   4.2405 33:43:10 -2.46296524015E+05 -2.45910211972E+05  0.36494  0.36970  0.20750  0.52597 -0.21872  0.47540  0.37898 -0.22840 -0.64226 -0.36704 -0.90638 -0.88936 -0.88116 -0.56734
7   5   7  100000   6.1252 36:43:10 -2.46802240229E+05 -2.45910211972E+05  0.37685  0.20663  0.36684  0.52382 -0.22425  0.38565  0.33090 -0.22826 -0.33904 -0.64226 -0.90638 -0.88936 -0.88350 -0.47348
7   5   7  102400   5.7751 37:43:10 -2.46719438268E+05 -2.45910211972E+05  0.38987  0.38270  0.22898  0.53575 -0.19358  1.00000  0.34766 -0.24023 -0.64226 -0.33963 -0.90638 -0.88936  0.00000 -0.47348
7   5   7  105000   5.5258 38:43:10 -2.47034399668E+05 -2.45910211972E+05  0.38987  0.38270  0.22898  0.53575 -0.19358  1.00000  0.34766 -0.24023 -0.64226 -0.33963 -0.90638 -0.88936  0.00000 -0.47348
7   5   7  110000   6.2796 42:43:10 -2.46380484566E+05 -2.45898030390E+05  0.39064  0.23056  0.38419  0.53687 -0.19070  1.00000  0.48746 -0.23019 -0.33965 -0.64226 -0.90638 -0.88936  0.00000 -0.88116
7   5   7  115000   6.0941 45:43:10 -2.47889832046E+05 -2.45898030390E+05  0.40294  0.22676  0.38246  0.53557  1.00000 -0.19096  0.34740 -0.23992 -0.34517 -0.64226 -0.90638  0.00000 -0.89199 -0.47348
7   5   7  120000   5.8394 48:43:10 -2.46136064240E+05 -2.45898030390E+05  0.40080  0.36729  0.20993  0.52416 -0.22338  0.47339  0.37660 -0.25210 -0.64226 -0.33161 -0.90638 -0.88936 -0.88116 -0.56734
7   5   8  130000   3.7795 50:43:10 -2.46494694949E+05 -2.45898030390E+05  0.39675  0.21201  0.36693  0.52389 -0.22407  0.47309  0.37625 -0.24488 -0.32439 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
7   5   8  135000   3.3096 04:44:10 -2.46010717559E+05 -2.45898030390E+05  0.40114  0.20984  0.36726  0.52413 -0.22345  0.47336  0.37657 -0.24687 -0.33428 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
7   5   9  140000   0.7812 06:44:10 -2.45920585595E+05 -2.45898030390E+05  0.38903  0.36808  0.20875  0.52475 -0.22186  0.47405  0.37738 -0.23992 -0.64226 -0.34517 -0.90638 -0.88936 -0.88116 -0.56734
7   5   9  140581   1.6000 09:44:10 -2.46477135642E+05 -2.45898030390E+05  0.38903  0.20875  0.36808  0.52475 -0.22186  0.47405  0.37738 -0.23992 -0.34517 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
7   5   9  145000   2.8641 11:44:10 -2.46477184128E+05 -2.45898030390E+05  0.39189  0.36774  0.20911  0.52449 -0.22252  0.37704  0.47376 -0.24803 -0.64226 -0.33356 -0.90638 -0.88936 -0.56734 -0.88116
7   5   9  150000   3.1838 13:44:10 -2.45891680972E+05 -2.45848040681E+05  0.41314  0.38175  0.22785  0.53503 -0.19233  1.00000  0.34665 -0.24405 -0.64226 -0.33375 -0.90638 -0.89199  0.00000 -0.47348
7   5   9  160000   3.3511 15:44:10 -2.45949176787E+05 -2.45848040681E+05  0.39948  0.22675  0.38277  0.53580 -0.19351  1.00000  0.34773 -0.22925 -0.34607 -0.64226 -0.90638 -0.90476  0.00000 -0.47348
7   5  10  170000   3.1588 19:44:10 -2.46320756948E+05 -2.45848040681E+05  0.40219  0.38259  0.22792  0.53566 -0.19380  1.00000  0.34754 -0.24083 -0.64226 -0.35233 -0.90638 -0.88936  0.00000 -0.47348
7   5  10  175000   3.6242 25:44:10 -2.45954820962E+05 -2.45848040681E+05  0.39684  0.38293  0.22655  0.53592 -0.19303  1.00000  0.34790 -0.24119 -0.64226 -0.34788 -0.90638 -0.90158  0.00000 -0.47348
7   5  11  176560   3.6000 27:44:10 -2.46051665970E+05 -2.45848040681E+05  0.40518  0.38271  0.22678  0.53575 -0.19363  1.00000  0.34767 -0.24161 -0.64226 -0.34601 -0.90638 -0.90476  0.00000 -0.47348
7   5  11  180000   2.1427 32:44:10 -2.46472559872E+05 -2.45848040681E+05  0.40518  0.22678  0.38271  0.53575 -0.19363  1.00000  0.34767 -0.24161 -0.34601 -0.64226 -0.90638 -0.90476  0.00000 -0.47348
7   5  11  185000   2.1063 34:44:10 -2.45910211972E+05 -2.45848040681E+05  0.39548  0.36762  0.20897  0.52441 -0.22273  0.47367  0.37693 -0.24167 -0.64226 -0.34058 -0.90638 -0.88936 -0.88116 -0.56734
7   5  11  190000   2.0030 38:44:10 -2.46136537696E+05 -2.45848040681E+05  0.39697  0.36764  0.20903  0.52442 -0.22270  0.47368  0.37695 -0.24392 -0.64226 -0.34105 -0.90638 -0.88936 -0.88116 -0.56734
7   5  11  195000   1.9922 40:44:10 -2.45978081409E+05 -2.45848040681E+05  0.37908  0.21055  0.36854  0.52510 -0.22097  0.47443  0.37783 -0.23622 -0.34991 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
7   5  12  198091   1.5000 41:44:10 -2.46018958299E+05 -2.45848040681E+05  0.37908  0.36854  0.21055  0.52510 -0.22097  0.47443  0.37783 -0.23622 -0.64226 -0.34991 -0.90638 -0.88936 -0.88116 -0.56734
7   5  12  200000   1.6290 42:44:10 -2.45920585595E+05 -2.45848040681E+05  0.40653  0.36687  0.21057  0.52384 -0.22420  0.47304  0.37619 -0.25330 -0.64226 -0.32726 -0.90638 -0.88936 -0.88116 -0.56734
7   5  12  205000   1.5580 45:44:10 -2.45910211972E+05 -2.45848040681E+05  0.38816  0.36810  0.20975  0.52477 -0.22181  0.47406  0.37740 -0.24083 -0.64226 -0.34533 -0.90638 -0.88936 -0.88116 -0.56734
7   5  13  210000   1.2739 48:44:10 -2.45978081409E+05 -2.45848040681E+05  0.40677  0.21043  0.36683  0.52381 -0.22427  0.47301  0.37615 -0.24750 -0.32979 -0.64226 -0.90638 -0.88936 -0.88116 -0.56734
