Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.1005E-03    0.825295    0.053080  0.2493 -0.2139  0.2034  0.0756  0.1508  0.0937  0.0216  0.0225  0.1636  0.1008  0.1666  0.1119  0.1264  0.1180  0.1063  0.1064
   2  7.0079E-03    0.679091    0.262899  0.3630 -0.1665  0.2250  0.1132  0.2445  0.1438  0.0130  0.0146  0.2090  0.1591  0.1930  0.0830  0.1195  0.1038  0.0661  0.0664
   3  4.7469E-03    0.559417    0.269801  0.4332 -0.1290  0.2549  0.1569  0.3818  0.2353 -0.0463 -0.0444  0.2506  0.1595  0.1925  0.0641  0.1236  0.1212  0.0441  0.0443
   4  4.1262E-03    0.421263    0.291965  0.4653 -0.0870  0.2887  0.2838  0.4664  0.3148 -0.1276 -0.1252  0.2674  0.1554  0.1851  0.0649  0.1341  0.1364  0.0283  0.0284
   5  7.4015E-04    0.348217    0.314052  0.4801 -0.0608  0.3109  0.3299  0.4940  0.3601 -0.1540 -0.1527  0.2762  0.1540  0.1904  0.0614  0.1346  0.1418  0.0208  0.0209
   6  1.8259E-04    0.315913    0.318317  0.4886 -0.0441  0.3252  0.3541  0.5045  0.3855 -0.1542 -0.1576  0.2825  0.1537  0.1982  0.0585  0.1321  0.1406  0.0173  0.0172
   7  8.1309E-05    0.299165    0.318724  0.4961 -0.0292  0.3368  0.3717  0.5114  0.4018 -0.1492 -0.1617  0.2874  0.1537  0.2036  0.0572  0.1295  0.1377  0.0157  0.0152
   8  4.8723E-05    0.289030    0.318920  0.5033 -0.0149  0.3473  0.3847  0.5176  0.4136 -0.1413 -0.1689  0.2915  0.1537  0.2069  0.0568  0.1272  0.1349  0.0150  0.0140
   9  3.0295E-05    0.282010    0.319932  0.5086 -0.0042  0.3552  0.3936  0.5222  0.4214 -0.1292 -0.1712  0.2943  0.1538  0.2089  0.0566  0.1257  0.1326  0.0148  0.0134
  10  2.0703E-05    0.276633    0.320815  0.5130  0.0047  0.3618  0.4001  0.5260  0.4273 -0.1148 -0.1721  0.2969  0.1538  0.2103  0.0563  0.1244  0.1307  0.0148  0.0128
  11  1.1741E-05    0.272743    0.321761  0.5162  0.0114  0.3668  0.4054  0.5287  0.4316 -0.1026 -0.1682  0.2988  0.1537  0.2112  0.0561  0.1234  0.1294  0.0147  0.0126
  12  8.6525E-06    0.269418    0.322885  0.5188  0.0167  0.3709  0.4096  0.5309  0.4350 -0.0913 -0.1630  0.3004  0.1538  0.2118  0.0559  0.1226  0.1286  0.0146  0.0124
  13  7.0326E-06    0.266663    0.323579  0.5213  0.0217  0.3746  0.4132  0.5329  0.4382 -0.0817 -0.1581  0.3022  0.1537  0.2120  0.0558  0.1219  0.1280  0.0143  0.0121
  14  5.2305E-06    0.264407    0.324240  0.5233  0.0260  0.3779  0.4161  0.5346  0.4410 -0.0728 -0.1523  0.3037  0.1537  0.2120  0.0557  0.1212  0.1277  0.0141  0.0119
  15  3.2338E-06    0.262564    0.324693  0.5252  0.0299  0.3809  0.4185  0.5361  0.4434 -0.0649 -0.1462  0.3049  0.1537  0.2121  0.0556  0.1207  0.1273  0.0139  0.0118
  16  2.6377E-06    0.260775    0.324908  0.5270  0.0337  0.3837  0.4206  0.5377  0.4458 -0.0589 -0.1397  0.3061  0.1536  0.2123  0.0555  0.1202  0.1271  0.0137  0.0116
