K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8   5   1       0   1.0000 55:15:11 -3.15076949656E+05 -3.15076949656E+05  0.04810 -0.10453  0.26298 -0.12193 -0.05884  0.08292  0.12370 -0.20086 -0.17168 -0.15923 -0.17941 -0.16015 -0.14011 -0.18365 -0.19474 -0.18678
8   5   1     100   3.8095 55:15:11 -3.07170261840E+05 -3.07170261840E+05  0.04810  0.26298 -0.12193 -0.05884  0.08292  0.12370 -0.20086 -0.10453 -0.17168 -0.17941 -0.16015 -0.14011 -0.18365 -0.19474 -0.18678 -0.15923
8   5   1     200  35.2657 55:15:11 -2.78686878038E+05 -2.78686878038E+05  0.12370 -0.12193  0.26298  0.08292 -0.10453 -0.20086 -0.05884  0.04810 -0.19474 -0.16015 -0.17941 -0.18365 -0.15923 -0.18678 -0.14011 -0.17168
8   5   1     400  36.8550 55:15:11 -2.64568866744E+05 -2.64568866744E+05  0.26298  0.12370 -0.12193 -0.20086 -0.10453  0.08292  0.04810 -0.05884 -0.17941 -0.19474 -0.16015 -0.18678 -0.15923 -0.18365 -0.17168 -0.14011
8   5   1     800  40.0248 55:15:11 -2.55054001779E+05 -2.54925981548E+05  0.12370 -0.12193  0.26298  0.08292 -0.10453 -0.20086  0.04810 -0.05884 -0.19474 -0.16015 -0.17941 -0.18365 -0.15923 -0.18678 -0.17168 -0.14011
8   5   1    1600  37.2744 55:15:11 -2.57833045035E+05 -2.54925981548E+05  0.12370 -0.12193  0.26298  0.08292 -0.20086  0.04810 -0.10453 -0.05884 -0.19474 -0.16015 -0.17941 -0.18365 -0.18678 -0.17168 -0.15923 -0.14011
8   5   1    3200  34.4247 56:15:11 -2.56086735674E+05 -2.53082950082E+05  0.12370 -0.12193 -0.10453  0.08292 -0.20086  0.26298  0.04810 -0.05884 -0.19474 -0.16015 -0.15923 -0.18365 -0.18678 -0.17941 -0.17168 -0.14011
8   5   1    6400  31.5436 56:15:11 -2.53441205410E+05 -2.50230628236E+05  0.26298 -0.10453 -0.12193  0.04810 -0.20086  0.12370  0.08292 -0.05884 -0.17941 -0.15923 -0.16015 -0.17168 -0.18678 -0.19474 -0.18365 -0.14011
8   5   1   10000  29.5693 57:15:11 -2.52984698936E+05 -2.50230628236E+05  0.45748  0.34976  0.43292  0.60529 -0.01111 -0.01235 -0.03131  0.38761 -0.22511 -0.31471 -0.54011 -0.90638 -0.94989 -0.87603 -0.83296 -0.30241
8   5   1   12800  28.9373 58:15:11 -2.51888384004E+05 -2.50230628236E+05  0.45748  0.34976  0.43292  0.60529 -0.01235 -0.01111 -0.03131  0.38761 -0.22511 -0.31471 -0.54011 -0.90638 -0.87603 -0.94989 -0.83296 -0.30241
8   5   1   20000  28.9449 59:15:11 -2.53280694986E+05 -2.50177022690E+05  0.28270  0.40917  0.57844 -0.09284  1.00000 -0.08095  0.28989  0.40765 -0.34537 -0.22582 -0.90638 -0.84724  0.00000 -0.90007 -0.30724 -0.47348
8   5   2   25600  18.9474 59:15:11 -2.51986399128E+05 -2.50127540012E+05  0.46393  0.30804  0.44416  0.58197 -0.07171  1.00000 -0.07707  0.41261 -0.23647 -0.32140 -0.64226 -0.90638 -0.93600  0.00000 -0.83403 -0.47348
8   5   2   35000  25.1916 03:16:11 -2.52204244483E+05 -2.49774442406E+05  0.43296  0.30571  0.44636  0.53977 -0.06743 -0.07281  1.00000  0.53920 -0.22132 -0.34999 -0.64226 -0.70798 -0.94299 -0.84221  0.00000 -0.88116
8   5   2   40000  26.0690 05:16:11 -2.52815619567E+05 -2.49774442406E+05  0.43623  0.47651  0.34663  0.60630 -0.00912 -0.00967 -0.02810  0.44679 -0.22116 -0.64226 -0.36325 -0.90638 -0.94429 -0.89288 -0.76896 -0.47348
8   5   2   51200  26.9253 07:16:11 -2.52363629532E+05 -2.49774442406E+05  0.42270  1.00000  0.34675  0.45262 -0.03252  1.00000 -0.03303  0.46406 -0.54091  0.00000 -0.28670 -0.27261 -0.80595  0.00000 -0.91622 -0.55353
8   5   3   55000  20.4184 08:16:11 -2.52388470694E+05 -2.49774442406E+05  0.30621  0.45677  0.41008  0.58393 -0.06730  1.00000  0.53954 -0.07283 -0.31633 -0.69676 -0.21470 -0.90638 -0.87942  0.00000 -0.88116 -0.90221
8   5   3   70000  15.0844 10:16:11 -2.50583306057E+05 -2.49500836527E+05  0.39024 -0.06757  0.44634  0.58361 -0.08238  0.30780  1.00000  0.41491 -0.21384 -0.89671 -0.64226 -0.90638 -0.86041 -0.35879  0.00000 -0.47348
8   5   4   85000  10.1818 12:16:11 -2.50943435428E+05 -2.49425837837E+05  0.40229  0.38265  1.00000  0.53571  0.22467 -0.19367  1.00000  0.34761 -0.23819 -0.64226  0.00000 -0.90638 -0.34634 -0.88936  0.00000 -0.47348
