"site","lat","lon","so_baseline_2000_2019_depthmean","so_ssp245_2020_2100_depthmean","sws_baseline_2000_2019_depthmean","sws_ssp245_2020_2100_depthmean","thetao_baseline_2000_2019_depthmean","thetao_ssp245_2020_2100_depthmean"
"Zar",54.379,-5.5,34.1144,33.55634,0.03806,0.03783,11.29403,11.84113
"Biz",50.136483,-4.98665,35.1114,34.64004,0.02883,0.02803,11.74326,12.26945
"Ger",50.198667,-4.937717,35.04224,34.56445,0.04384,0.04235,11.97262,12.53816
"Swa",50.649958,-1.910432,34.6519,34.11627,0.05645,0.05272,12.19982,12.87429
"Mil1",51.69,-5.13,34.21914,33.70975,0.01011,0.01068,12.25549,12.82588
"Mil2",51.69,-5.13,34.21914,33.70975,0.01011,0.01068,12.25549,12.82588
"Wey",50.615993,-2.319622,34.6653,34.13475,0.06031,0.05723,12.37343,13.0528
"Aus",50.319417,-4.72985,34.88291,34.39615,0.06228,0.06102,12.41938,13.0234
"Maw",50.16575,-5.0311,34.94329,34.46648,0.07249,0.07159,12.47247,13.06088
"MawC",50.16575,-5.0311,34.94329,34.46648,0.07249,0.07159,12.47247,13.06088
"Hel",50.097694,-5.1,34.95638,34.48388,0.08415,0.08285,12.56743,13.15265
"Man",50.039417,-5.0602,34.96272,34.49033,0.03996,0.03804,12.58796,13.17597
"Tre",47.795,-3.887,34.92889,34.57141,0.01326,0.01348,13.05737,13.56613
"Mor",48.711,-3.951,35.06841,34.62531,0.04355,0.04278,13.64575,14.21815
"Ons",42.395,-8.915,35.02154,34.59081,0.02967,0.04033,14.95267,15.35557
"Bor",42.789,-9.02,35.08111,34.64471,0.04297,0.05648,14.98367,15.41967
