 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   4   1       0   1.0000 16:57:10 -4.50093607123E+05 -4.50093607123E+05 -0.13320  0.02490  0.05528  0.03255  0.16171 -0.06164 -0.15676  0.15229  0.04129 -0.13596 -0.15996 -0.11341 -0.11732 -0.13435 -0.15210 -0.07032 -0.12696 -0.11258 -0.14879 -0.13865
10   4   1     100   1.9231 16:57:10 -4.49029625556E+05 -4.49029625556E+05 -0.13320  0.02490  0.05528  0.03255  0.16171 -0.06164 -0.15676  0.15229  0.04129 -0.13596 -0.15996 -0.11341 -0.11732 -0.13435 -0.15210 -0.07032 -0.12696 -0.11258 -0.14879 -0.13865
10   4   1     200  35.2941 16:57:10 -4.13938824404E+05 -4.13938824404E+05  0.15229  0.04129 -0.13596 -0.13320  0.16171  0.02490 -0.15676  0.05528  0.03255 -0.06164 -0.11258 -0.14879 -0.13865 -0.15996 -0.15210 -0.11341 -0.12696 -0.11732 -0.13435 -0.07032
10   4   1     400  35.6436 16:57:10 -3.88282473857E+05 -3.88282473857E+05  0.16171  0.05528  0.15229  0.03255 -0.13596 -0.06164  0.04129 -0.13320  0.02490 -0.15676 -0.15210 -0.11732 -0.11258 -0.13435 -0.13865 -0.07032 -0.14879 -0.15996 -0.11341 -0.12696
10   4   1     800  30.5970 16:57:10 -3.84317757534E+05 -3.82017364338E+05  0.16171  0.04129  0.15229  0.05528 -0.13320 -0.15676 -0.06164  0.02490  0.03255 -0.13596 -0.15210 -0.14879 -0.11258 -0.11732 -0.15996 -0.12696 -0.07032 -0.11341 -0.13435 -0.13865
10   4   1    1600  33.6658 16:57:10 -3.81391616342E+05 -3.78737844060E+05  0.04129  0.15229  0.03255 -0.15676 -0.06164  0.02490  0.16171  0.05528 -0.13320 -0.13596 -0.14879 -0.11258 -0.13435 -0.12696 -0.07032 -0.11341 -0.15210 -0.11732 -0.15996 -0.13865
10   4   1    3200  36.8914 16:57:10 -3.84975163060E+05 -3.77174212883E+05  0.16171 -0.13596  0.04129 -0.06164 -0.13320  0.05528  0.02490 -0.15676  0.15229  0.03255 -0.15210 -0.13865 -0.14879 -0.07032 -0.15996 -0.11732 -0.11341 -0.12696 -0.11258 -0.13435
10   4   2    6400  42.2482 16:57:10 -3.86844461929E+05 -3.77060864744E+05  0.04129  0.16171  0.15229 -0.06164  0.02490  0.03255 -0.13596 -0.13320 -0.15676  0.05528 -0.14879 -0.15210 -0.11258 -0.07032 -0.11341 -0.13435 -0.13865 -0.15996 -0.12696 -0.11732
10   4   3   12800  32.3305 17:57:10 -3.81134440089E+05 -3.75308319782E+05  0.37064  0.01945  0.01742  1.00000 -0.24274  0.02216  0.57759  0.36142  1.00000  0.49995 -0.17786 -0.90585 -0.86442  0.00000  0.01505 -0.93304 -0.88116 -0.16209  0.00000 -0.56734
10   4   3   25600  23.2568 17:57:10 -3.80743655895E+05 -3.75308319782E+05  0.36763  1.00000  1.00000  1.00000  0.03062  1.00000  0.01322  1.00000  1.00000  0.58180 -0.15878  0.00000  0.00000  0.00000 -0.90055  0.00000 -0.76896  0.00000  0.00000 -0.88116
10   4   3   32000  23.5177 18:57:10 -3.85918399052E+05 -3.75308319782E+05  0.38979  1.00000  1.00000  0.07556  1.00000  1.00000  1.00000  0.07111  1.00000  1.00000 -0.14777  0.00000  0.00000 -0.91408  0.00000  0.00000  0.00000 -0.82653  0.00000  0.00000
10   4   4   51200  31.4594 19:57:10 -3.82651536583E+05 -3.73590194885E+05  0.36764  0.58175  1.00000  0.03029  0.03191  1.00000  1.00000  1.00000  1.00000  1.00000 -0.16065 -0.88116  0.00000 -0.88925 -0.89689  0.00000  0.00000  0.00000  0.00000  0.00000
10   4   4   72000  26.7455 20:57:10 -3.82352420587E+05 -3.73590194885E+05  0.38205  1.00000  1.00000  0.04582  1.00000  1.00000  0.03277  1.00000  1.00000  0.40337 -0.23091  0.00000  0.00000 -0.86833  0.00000  0.00000 -0.91518  0.00000  0.00000 -0.15071
10   4   6  102400  26.7553 21:57:10 -3.75480805228E+05 -3.72273764414E+05  0.39310  0.35877  0.00009  1.00000  1.00000  1.00000  0.00252  1.00000  1.00000  0.57037 -0.19694 -0.21202 -0.86552  0.00000  0.00000  0.00000 -0.90129  0.00000  0.00000 -0.88116
10   4   6  112000  28.3027 22:57:10 -3.78003583796E+05 -3.71864372962E+05  0.39369  0.35354  0.00061  1.00000  1.00000  1.00000  0.00318  1.00000  1.00000  0.57037 -0.17888 -0.21637 -0.87675  0.00000  0.00000  0.00000 -0.94732  0.00000  0.00000 -0.88116
10   4   7  120773  17.9000 22:57:10 -3.77860025728E+05 -3.71864372962E+05  0.35354  0.57037  1.00000  0.00061  0.39369  1.00000  1.00000  1.00000  0.00318  1.00000 -0.21637 -0.88116  0.00000 -0.87675 -0.17888  0.00000  0.00000  0.00000 -0.94732  0.00000
10   4   7  148000  24.1340 24:57:10 -3.73999165317E+05 -3.70592849381E+05  0.39068  0.35426  0.00002  0.00468  1.00000  1.00000  1.00000  1.00000  1.00000  0.45500 -0.18335 -0.21830 -0.91245 -0.84188  0.00000  0.00000  0.00000  0.00000  0.00000 -0.47348
10   4   8  161110  19.4000 25:57:10 -3.73687704719E+05 -3.70592849381E+05  0.35621  0.40434 -0.00465  0.00097  1.00000  1.00000  1.00000  1.00000  0.56916  1.00000 -0.21444 -0.20888 -0.91322 -0.84188  0.00000  0.00000  0.00000  0.00000 -0.88116  0.00000
10   4   8  180000  21.2561 26:57:10 -3.76845701363E+05 -3.69723165263E+05  0.31377  0.38386 -0.06941 -0.06527  0.47688  0.45535  1.00000  1.00000  1.00000  0.53991 -0.24909 -0.21179 -0.87600 -0.96366 -0.28861 -0.56734  0.00000  0.00000  0.00000 -0.88116
10   4   8  216000  18.6785 28:57:10 -3.69396640039E+05 -3.65574381742E+05  0.52024  0.37295  0.29983  0.57755 -0.08709 -0.08227  1.00000  1.00000  1.00000  0.40639 -0.67994 -0.17764 -0.24488 -0.90638 -0.88006 -0.92797  0.00000  0.00000  0.00000 -0.47348
10   4   9  217106   8.9000 28:57:10 -3.67821376184E+05 -3.65574381742E+05  0.52024  0.37295  0.29983  0.57755 -0.08709 -0.08227  1.00000  1.00000  1.00000  0.40639 -0.67994 -0.17764 -0.24488 -0.90638 -0.88006 -0.92797  0.00000  0.00000  0.00000 -0.47348
