Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   Fst10   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9  QPop10
   1  1.2485E-02    0.534653    0.188151  0.3165 -0.0918  0.4132  0.2380  0.4166 -0.1527  0.3531  0.3427 -0.1601 -0.1553  0.2784  0.1030  0.1945  0.0596  0.0886  0.0345  0.0906  0.0820  0.0344  0.0344
   2  2.8156E-03    0.344784    0.228666  0.3869  0.0111  0.4811  0.3484  0.5165 -0.2055  0.4443  0.4370 -0.2244 -0.2100  0.3158  0.0970  0.2203  0.0489  0.0943  0.0132  0.0975  0.0867  0.0132  0.0131
   3  4.1983E-04    0.270804    0.249865  0.4192  0.0557  0.5113  0.3771  0.5448 -0.1779  0.4745  0.4659 -0.2101 -0.1847  0.3327  0.0968  0.2363  0.0418  0.0928  0.0050  0.0977  0.0868  0.0052  0.0050
   4  8.9294E-05    0.246402    0.259570  0.4317  0.0711  0.5232  0.3867  0.5516 -0.1609  0.4835  0.4734 -0.1921 -0.1720  0.3380  0.0975  0.2444  0.0382  0.0899  0.0040  0.0955  0.0848  0.0039  0.0039
   5  2.3340E-04    0.229667    0.256449  0.4287  0.0613  0.5211  0.3796  0.5455 -0.1083  0.4780  0.4666 -0.1979 -0.1353  0.3395  0.0984  0.2495  0.0353  0.0865  0.0061  0.0927  0.0820  0.0045  0.0055
   6  1.4579E-04    0.219704    0.254565  0.4269  0.0533  0.5197  0.3765  0.5414 -0.0935  0.4742  0.4621 -0.1776 -0.1091  0.3406  0.0955  0.2538  0.0344  0.0848  0.0073  0.0912  0.0806  0.0050  0.0067
   7  4.7802E-05    0.211878    0.254831  0.4271  0.0503  0.5197  0.3761  0.5393 -0.0932  0.4726  0.4601 -0.1648 -0.1043  0.3416  0.0938  0.2572  0.0339  0.0833  0.0078  0.0899  0.0795  0.0056  0.0075
   8  2.0521E-05    0.206729    0.254492  0.4276  0.0489  0.5199  0.3764  0.5380 -0.0943  0.4718  0.4590 -0.1555 -0.1044  0.3425  0.0927  0.2600  0.0336  0.0821  0.0079  0.0888  0.0783  0.0062  0.0078
   9  1.0624E-05    0.204046    0.253605  0.4283  0.0483  0.5203  0.3769  0.5372 -0.0949  0.4714  0.4583 -0.1504 -0.1048  0.3428  0.0921  0.2621  0.0334  0.0812  0.0079  0.0882  0.0776  0.0067  0.0079
  10  5.1145E-06    0.202166    0.252181  0.4289  0.0481  0.5206  0.3775  0.5365 -0.0951  0.4711  0.4578 -0.1480 -0.1049  0.3432  0.0917  0.2640  0.0333  0.0805  0.0079  0.0876  0.0768  0.0071  0.0079
  11  2.6341E-06    0.200593    0.250864  0.4294  0.0481  0.5209  0.3781  0.5360 -0.0951  0.4709  0.4575 -0.1468 -0.1049  0.3437  0.0914  0.2655  0.0331  0.0798  0.0079  0.0871  0.0762  0.0073  0.0079
  12  1.5020E-06    0.199178    0.249518  0.4298  0.0481  0.5211  0.3786  0.5355 -0.0951  0.4707  0.4571 -0.1463 -0.1049  0.3442  0.0913  0.2669  0.0330  0.0792  0.0079  0.0866  0.0755  0.0075  0.0079
  13  8.9979E-07    0.198157    0.248565  0.4301  0.0482  0.5212  0.3790  0.5352 -0.0950  0.4706  0.4569 -0.1460 -0.1049  0.3445  0.0912  0.2679  0.0329  0.0787  0.0079  0.0863  0.0751  0.0076  0.0079
  14  6.4108E-07    0.197375    0.247811  0.4304  0.0482  0.5214  0.3793  0.5350 -0.0950  0.4705  0.4567 -0.1458 -0.1048  0.3448  0.0911  0.2687  0.0329  0.0783  0.0079  0.0861  0.0747  0.0077  0.0079
  15  4.6690E-07    0.196625    0.246915  0.4306  0.0483  0.5215  0.3795  0.5347 -0.0949  0.4704  0.4566 -0.1456 -0.1047  0.3451  0.0910  0.2695  0.0328  0.0779  0.0079  0.0858  0.0743  0.0078  0.0079
  16  2.4885E-07    0.196217    0.246397  0.4308  0.0483  0.5215  0.3798  0.5346 -0.0948  0.4703  0.4564 -0.1456 -0.1047  0.3453  0.0909  0.2700  0.0327  0.0777  0.0079  0.0856  0.0741  0.0078  0.0079
  17  1.6140E-07    0.195948    0.245952  0.4309  0.0484  0.5216  0.3800  0.5344 -0.0948  0.4703  0.4564 -0.1455 -0.1046  0.3455  0.0909  0.2705  0.0327  0.0775  0.0079  0.0855  0.0739  0.0078  0.0079
