K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   8   1       0   1.0000 17:18:10 -4.27344046137E+05 -4.27344046137E+05 -0.01120  0.01049 -0.11371 -0.14614
2   8   1     100   0.0000 17:18:10 -4.27344046137E+05 -4.27344046137E+05 -0.01120  0.01049 -0.11371 -0.14614
2   8   1     200  25.0000 17:18:10 -3.74685837604E+05 -3.74685837604E+05  0.01049 -0.01120 -0.14614 -0.11371
2   8   1     400  13.0000 17:18:10 -3.62334060158E+05 -3.62334060158E+05  0.01049 -0.01120 -0.14614 -0.11371
2   8   1     800   6.7500 17:18:10 -3.64277890821E+05 -3.62334060158E+05  0.01049 -0.01120 -0.14614 -0.11371
2   8   1    1600  34.5000 17:18:10 -4.10729723017E+05 -3.62334060158E+05 -0.13902  0.16942 -0.12944 -0.17028
2   8   2    3200  47.2057 17:18:10 -3.62334060158E+05 -3.62334060158E+05  0.08253 -0.07380 -0.15666 -0.11180
2   8   4    6400  37.5821 17:18:10 -4.10515543780E+05 -3.62334060158E+05  0.18358 -0.14689 -0.16818 -0.13749
2   8   5   12800   8.4764 17:18:10 -3.72060617298E+05 -3.62334060158E+05  0.36912  0.04111 -0.14901 -0.88936
2   8 200   24684   0.0000 17:18:10 -3.62334060158E+05 -3.62334060158E+05  0.04111  0.36912 -0.88936 -0.14901
