Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3   QPop1   QPop2   QPop3
   1  2.8568E-02    0.239881    0.115062  0.3245 -0.0823  0.4023  0.5023  0.1356  0.3621
   2  1.4306E-03    0.191355    0.149474  0.3384 -0.0583  0.4362  0.5039  0.1211  0.3750
   3  3.8390E-04    0.189395    0.170744  0.3431 -0.0569  0.4477  0.4985  0.1209  0.3806
   4  1.4124E-04    0.193795    0.181649  0.3466 -0.0566  0.4534  0.4927  0.1211  0.3862
   5  6.9533E-05    0.197891    0.187767  0.3493 -0.0562  0.4564  0.4877  0.1212  0.3911
   6  3.7624E-05    0.200965    0.191639  0.3515 -0.0560  0.4582  0.4836  0.1213  0.3952
   7  2.2495E-05    0.203440    0.194208  0.3532 -0.0558  0.4592  0.4801  0.1214  0.3985
   8  1.3869E-05    0.205517    0.195925  0.3546 -0.0557  0.4599  0.4773  0.1214  0.4013
   9  8.6859E-06    0.207072    0.197246  0.3557 -0.0555  0.4604  0.4750  0.1214  0.4035
  10  5.1810E-06    0.208195    0.198236  0.3567 -0.0554  0.4606  0.4733  0.1214  0.4053
  11  3.0239E-06    0.209121    0.198926  0.3574 -0.0554  0.4608  0.4719  0.1215  0.4066
  12  1.7580E-06    0.209854    0.199410  0.3579 -0.0553  0.4609  0.4709  0.1215  0.4076
  13  9.7125E-07    0.210398    0.199755  0.3584 -0.0552  0.4610  0.4701  0.1215  0.4084
  14  5.3866E-07    0.210810    0.200005  0.3587 -0.0552  0.4610  0.4696  0.1215  0.4090
  15  3.3472E-07    0.211134    0.200171  0.3590 -0.0552  0.4610  0.4691  0.1215  0.4094
  16  2.0372E-07    0.211375    0.200292  0.3592 -0.0551  0.4610  0.4687  0.1215  0.4098
  17  1.3694E-07    0.211559    0.200396  0.3593 -0.0551  0.4610  0.4684  0.1215  0.4101
  18  9.6941E-08    0.211698    0.200492  0.3594 -0.0551  0.4609  0.4682  0.1215  0.4103
  19  7.5940E-08    0.211806    0.200583  0.3595 -0.0551  0.4609  0.4679  0.1215  0.4106
  20  6.1854E-08    0.211883    0.200673  0.3596 -0.0551  0.4609  0.4677  0.1215  0.4108
  21  5.0149E-08    0.211949    0.200746  0.3596 -0.0551  0.4608  0.4676  0.1215  0.4110
  22  4.2663E-08    0.211994    0.200816  0.3597 -0.0551  0.4608  0.4674  0.1215  0.4111
  23  3.6426E-08    0.212028    0.200877  0.3597 -0.0550  0.4607  0.4673  0.1215  0.4113
  24  3.2212E-08    0.212046    0.200936  0.3598 -0.0550  0.4607  0.4671  0.1215  0.4114
  25  2.8318E-08    0.212060    0.200985  0.3598 -0.0550  0.4606  0.4670  0.1215  0.4115
