K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fis1     Fis2     Fis3
3   4   1       0   1.0000 59:18:10 -4.31523083730E+05 -4.31523083730E+05  0.02766 -0.01528 -0.01676 -0.14817 -0.12581 -0.11163
3   4   1     100   0.9901 59:18:10 -4.29531012305E+05 -4.29531012305E+05  0.02766 -0.01528 -0.01676 -0.14817 -0.12581 -0.11163
3   4   1     200  21.8905 59:18:10 -4.00624370371E+05 -4.00624370371E+05  0.02766 -0.01676 -0.01528 -0.14817 -0.11163 -0.12581
3   4   1     400  29.4264 59:18:10 -3.74678064454E+05 -3.74678064454E+05  0.02766 -0.01676 -0.01528 -0.14817 -0.11163 -0.12581
3   4   1     800  27.7154 59:18:10 -3.67132122719E+05 -3.62607844146E+05  0.02766 -0.01676 -0.01528 -0.14817 -0.11163 -0.12581
3   4   1    1600  31.1056 59:18:10 -3.67726616387E+05 -3.62607844146E+05 -0.01676  0.02766 -0.01528 -0.11163 -0.14817 -0.12581
3   4   1    3200  36.5511 59:18:10 -3.68781022947E+05 -3.62607844146E+05  0.32065  0.33165 -0.04026 -0.19693 -0.13519 -0.88936
3   4   1    6400  35.5726 59:18:10 -3.69490736652E+05 -3.56353613899E+05  0.35534  0.31964 -0.04308 -0.13994 -0.18901 -0.88936
3   4   3   12800  35.2601 00:19:10 -3.61813208410E+05 -3.56353613899E+05  0.34234  0.32457 -0.04060 -0.16881 -0.18703 -0.88936
3   4   4   25600  22.3946 00:19:10 -3.56551089587E+05 -3.53704475079E+05  0.32371  0.38941 -0.04373 -0.21994 -0.18828 -0.88936
3   4   5   32000  20.8577 01:19:10 -3.56942655958E+05 -3.53033424764E+05  0.36744  0.31835 -0.04445 -0.13904 -0.18904 -0.88936
3   4   7   51200  12.3944 02:19:10 -3.58168809286E+05 -3.53033424764E+05  0.32671  0.37057 -0.04166 -0.21981 -0.18011 -0.88936
3   4   9   72000   6.3294 03:19:10 -3.53071291944E+05 -3.52215300086E+05  0.32755  0.38853 -0.04276 -0.22546 -0.20012 -0.88936
3   4  12  102400   4.0791 04:19:10 -3.51943615721E+05 -3.51740150559E+05  0.32351  0.40412 -0.04490 -0.22564 -0.20049 -0.88936
3   4  13  106915   3.0000 04:19:10 -3.52452556403E+05 -3.51740150559E+05  0.32683  0.39924 -0.04377 -0.23205 -0.20353 -0.88936
3   4  13  112000   3.3806 05:19:10 -3.52023703131E+05 -3.51740150559E+05  0.32279  0.40868 -0.04526 -0.22307 -0.20905 -0.88936
3   4  14  114925   3.7000 05:19:10 -3.51998986185E+05 -3.51740150559E+05  0.32523  0.40091 -0.04406 -0.22971 -0.20266 -0.88936
3   4  15  124420   2.1000 05:19:10 -3.52362920241E+05 -3.51740150559E+05  0.32209  0.40812 -0.04548 -0.22065 -0.20647 -0.88936
3   4  16  132440   2.5000 06:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32561  0.40479 -0.04433 -0.23144 -0.20500 -0.88936
3   4  16  140000   2.4325 07:19:10 -3.52028890738E+05 -3.51740150559E+05  0.32543  0.40653 -0.04447 -0.23084 -0.20954 -0.88936
3   4  17  141779   1.4000 07:19:10 -3.52039147513E+05 -3.51740150559E+05  0.32557  0.40682 -0.04448 -0.23000 -0.21241 -0.88936
3   4  18  149686   1.7000 07:19:10 -3.51839445981E+05 -3.51740150559E+05  0.32623  0.40404 -0.04411 -0.23190 -0.20842 -0.88936
3   4  19  158938   1.4000 08:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32363  0.41022 -0.04516 -0.22641 -0.21270 -0.88936
3   4  20  168000   0.7492 09:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32618  0.40404 -0.04412 -0.23212 -0.20786 -0.88936
3   4  21  175997   1.4000 09:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32487  0.40817 -0.04478 -0.22860 -0.21195 -0.88936
3   4 200  183087   0.0000 10:19:10 -3.51740150559E+05 -3.51740150559E+05  0.32557  0.40682 -0.04448 -0.23000 -0.21241 -0.88936
