K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fis1     Fis2     Fis3     Fis4
4  10   1       0   1.0000 11:24:10 -4.33843528562E+05 -4.33843528562E+05  0.01491  0.08265 -0.05917 -0.04189 -0.14881 -0.14353 -0.10249 -0.12370
4  10   1     100   0.9804 11:24:10 -4.21139964358E+05 -4.21139964358E+05  0.01491  0.08265 -0.05917 -0.04189 -0.14881 -0.14353 -0.10249 -0.12370
4  10   1     200  27.5862 11:24:10 -4.08357147858E+05 -4.07816008171E+05  0.01491  0.08265 -0.04189 -0.05917 -0.14881 -0.14353 -0.12370 -0.10249
4  10   1     400  42.6799 11:24:10 -3.84705262113E+05 -3.84705262113E+05  0.01491  0.08265 -0.04189 -0.05917 -0.14881 -0.14353 -0.12370 -0.10249
4  10   1     800  40.9714 11:24:10 -3.65684067172E+05 -3.64766221611E+05  0.08265  0.01491 -0.04189 -0.05917 -0.14353 -0.14881 -0.12370 -0.10249
4  10   1    1600  33.3749 11:24:10 -3.61562519465E+05 -3.59516777708E+05  0.01491  0.08265 -0.05917 -0.04189 -0.14881 -0.14353 -0.10249 -0.12370
4  10   1    3200  30.5027 11:24:10 -3.65707281041E+05 -3.59516777708E+05  0.38466  0.39107  0.03717  0.04404 -0.22424 -0.15681 -0.86895 -0.90267
4  10   1    6400  28.9708 11:24:10 -3.68391378890E+05 -3.58626446735E+05  0.37426  0.40756  0.03749  0.04226 -0.19618 -0.14133 -0.83403 -0.93974
4  10   2   12800  29.4940 12:24:10 -3.62617689690E+05 -3.58626446735E+05  0.37539  0.40781  0.04110  0.03880 -0.21280 -0.15424 -0.78315 -0.91580
4  10   3   25600  30.8901 12:24:10 -3.62446019062E+05 -3.57090273472E+05  0.27750  0.32865 -0.11219  0.34576 -0.20908 -0.28248 -0.88936 -0.18524
4  10   4   32000  27.0454 13:24:10 -3.61815731123E+05 -3.55811208883E+05  0.34267  0.28632 -0.10152  0.36379 -0.19091 -0.21325 -0.88936 -0.33219
4  10   6   51200  22.6172 14:24:10 -3.58674324480E+05 -3.53409064544E+05  0.33760  0.40211  0.29885 -0.09394 -0.19524 -0.47348 -0.22537 -0.88936
4  10   6   60000  19.0133 15:24:10 -3.56475821053E+05 -3.52994158772E+05  0.28605  0.35084 -0.10237  0.52548 -0.21582 -0.19038 -0.88936 -0.88116
4  10   8   84000  11.0701 17:24:10 -3.54211342304E+05 -3.50891974048E+05  0.29200  0.36793 -0.09954  0.39905 -0.24233 -0.19762 -0.88936 -0.47348
4  10   9  102400  10.2740 18:24:10 -3.52282525637E+05 -3.50891974048E+05  0.29101  0.37644 -0.10127  0.39811 -0.23526 -0.21522 -0.88936 -0.47348
4  10  10  104642   5.2000 18:24:10 -3.52834128082E+05 -3.50891974048E+05  0.37887  0.29066 -0.10192  0.39775 -0.22708 -0.22957 -0.88936 -0.47348
4  10  10  112000   6.1038 19:24:10 -3.52516673794E+05 -3.50829472214E+05  0.29144  0.37245 -0.10060  0.39848 -0.23061 -0.21899 -0.88936 -0.47348
4  10  12  136000   3.3939 21:24:10 -3.50958871415E+05 -3.50792654911E+05  0.28827  0.38645 -0.10332  0.39699 -0.23456 -0.21924 -0.88936 -0.47348
4  10  13  148028   3.1000 22:24:10 -3.51619115069E+05 -3.50792654911E+05  0.28938  0.39036 -0.10351  0.39689 -0.23680 -0.22707 -0.88936 -0.47348
4  10  14  156147   1.5000 22:24:10 -3.50891974048E+05 -3.50792654911E+05  0.28625  0.39903 -0.10568  0.39570 -0.23032 -0.23778 -0.88936 -0.47348
4  10  14  164000   1.9011 23:24:10 -3.50792654911E+05 -3.50792654911E+05  0.28730  0.39497 -0.10494  0.39610 -0.23078 -0.23570 -0.88936 -0.47348
4  10  15  172337   1.4000 24:24:10 -3.50902647888E+05 -3.50792654911E+05  0.28938  0.39036 -0.10351  0.39689 -0.23680 -0.22707 -0.88936 -0.47348
4  10  16  184000   1.3425 25:24:10 -3.50792654911E+05 -3.50792654911E+05  0.28599  0.40039 -0.10579  0.39564 -0.23000 -0.24071 -0.88936 -0.47348
4  10  18  204000   0.8734 27:24:10 -3.50829472214E+05 -3.50792654911E+05  0.28704  0.39626 -0.10505  0.39605 -0.23146 -0.23620 -0.88936 -0.47348
4  10  18  204629   1.4000 27:24:10 -3.50907173976E+05 -3.50792654911E+05  0.28704  0.39626 -0.10505  0.39605 -0.23146 -0.23620 -0.88936 -0.47348
4  10  20  228000   2.4590 29:24:10 -3.50891974048E+05 -3.50792654911E+05  0.28599  0.40039 -0.10579  0.39564 -0.23000 -0.24071 -0.88936 -0.47348
4  10  20  228721   1.2000 29:24:10 -3.50792654911E+05 -3.50792654911E+05  0.28835  0.39401 -0.10431  0.39645 -0.23399 -0.23395 -0.88936 -0.47348
4  10  21  244875   0.8000 30:24:10 -3.50792654911E+05 -3.50792654911E+05  0.28728  0.39726 -0.10503  0.39606 -0.23261 -0.23646 -0.88936 -0.47348
4  10  21  252000   0.8934 31:24:10 -3.50829472214E+05 -3.50792654911E+05  0.28728  0.39726 -0.10503  0.39606 -0.23261 -0.23646 -0.88936 -0.47348
4  10 200  252037   0.0000 31:24:10 -3.50792654911E+05 -3.50792654911E+05  0.28728  0.39726 -0.10503  0.39606 -0.23261 -0.23646 -0.88936 -0.47348
