Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4   QPop1   QPop2   QPop3   QPop4
   1  1.4708E-02    0.673993    0.098106  0.1932 -0.2768  0.2120  0.1022  0.3015  0.2115  0.2635  0.2235
   2  1.8044E-02    0.475051    0.201662  0.2865 -0.1502  0.3566  0.2460  0.3869  0.1271  0.3159  0.1701
   3  3.0421E-03    0.389139    0.221050  0.3055 -0.1293  0.3971  0.2657  0.4067  0.1251  0.3282  0.1399
   4  9.0402E-04    0.342598    0.234414  0.3129 -0.1254  0.4110  0.2855  0.4200  0.1242  0.3313  0.1245
   5  4.5070E-04    0.318328    0.241693  0.3148 -0.1261  0.4154  0.3207  0.4318  0.1238  0.3282  0.1162
   6  9.3235E-04    0.295223    0.238980  0.3161 -0.1257  0.4180  0.3692  0.4403  0.1212  0.3259  0.1126
   7  4.3811E-04    0.274241    0.234724  0.3168 -0.1246  0.4194  0.3947  0.4509  0.1197  0.3238  0.1056
   8  2.5519E-04    0.257050    0.227634  0.3193 -0.1195  0.4226  0.3881  0.4607  0.1185  0.3250  0.0958
   9  3.3557E-04    0.237010    0.220254  0.3236 -0.1103  0.4278  0.3624  0.4703  0.1163  0.3305  0.0828
  10  2.7962E-04    0.218967    0.212412  0.3271 -0.1015  0.4325  0.3385  0.4784  0.1155  0.3392  0.0669
  11  1.9064E-04    0.206470    0.205695  0.3298 -0.0944  0.4362  0.3178  0.4828  0.1152  0.3477  0.0544
  12  1.1365E-04    0.199656    0.202416  0.3326 -0.0889  0.4391  0.3000  0.4839  0.1150  0.3552  0.0459
  13  6.6742E-05    0.196409    0.201148  0.3350 -0.0855  0.4410  0.2893  0.4827  0.1145  0.3614  0.0414
  14  3.8055E-05    0.195664    0.201602  0.3366 -0.0841  0.4418  0.2871  0.4805  0.1143  0.3664  0.0387
  15  2.3031E-05    0.196363    0.202724  0.3381 -0.0833  0.4423  0.2871  0.4779  0.1143  0.3706  0.0373
  16  1.4787E-05    0.197544    0.203973  0.3395 -0.0827  0.4427  0.2878  0.4753  0.1143  0.3740  0.0364
  17  9.4944E-06    0.198792    0.205127  0.3408 -0.0822  0.4429  0.2886  0.4730  0.1143  0.3768  0.0359
  18  6.3964E-06    0.199970    0.206114  0.3419 -0.0818  0.4431  0.2894  0.4710  0.1143  0.3791  0.0356
  19  4.2277E-06    0.200960    0.206962  0.3429 -0.0814  0.4433  0.2902  0.4694  0.1143  0.3810  0.0353
  20  2.7947E-06    0.201772    0.207673  0.3438 -0.0811  0.4434  0.2909  0.4680  0.1143  0.3825  0.0351
  21  1.8420E-06    0.202474    0.208202  0.3445 -0.0808  0.4435  0.2916  0.4669  0.1143  0.3838  0.0350
  22  1.2430E-06    0.203035    0.208643  0.3451 -0.0806  0.4436  0.2922  0.4660  0.1143  0.3848  0.0349
  23  8.2059E-07    0.203537    0.208959  0.3456 -0.0804  0.4437  0.2928  0.4653  0.1143  0.3856  0.0348
  24  5.7214E-07    0.203967    0.209202  0.3460 -0.0802  0.4437  0.2933  0.4647  0.1143  0.3863  0.0347
  25  4.1000E-07    0.204318    0.209408  0.3464 -0.0800  0.4438  0.2938  0.4643  0.1143  0.3868  0.0346
  26  3.0574E-07    0.204606    0.209590  0.3467 -0.0799  0.4438  0.2942  0.4639  0.1143  0.3873  0.0346
  27  2.2077E-07    0.204863    0.209729  0.3469 -0.0798  0.4438  0.2946  0.4636  0.1143  0.3877  0.0345
  28  1.8804E-07    0.205092    0.209845  0.3471 -0.0796  0.4438  0.2950  0.4633  0.1143  0.3880  0.0345
  29  1.5458E-07    0.205300    0.209937  0.3473 -0.0795  0.4439  0.2953  0.4630  0.1143  0.3883  0.0344
  30  2.2871E-07    0.205509    0.210003  0.3474 -0.0794  0.4439  0.2956  0.4627  0.1143  0.3886  0.0344
  31  1.0895E-06    0.205839    0.209950  0.3476 -0.0793  0.4439  0.2959  0.4624  0.1143  0.3890  0.0343
  32  1.0878E-06    0.206224    0.209860  0.3477 -0.0792  0.4439  0.2961  0.4621  0.1143  0.3894  0.0343
  33  7.3125E-07    0.206508    0.209853  0.3479 -0.0792  0.4439  0.2964  0.4618  0.1143  0.3897  0.0342
  34  1.2853E-07    0.206656    0.209914  0.3480 -0.0791  0.4439  0.2966  0.4616  0.1143  0.3899  0.0342
  35  9.3352E-08    0.206768    0.209982  0.3481 -0.0790  0.4439  0.2968  0.4614  0.1143  0.3901  0.0342
  36  7.5522E-08    0.206863    0.210046  0.3482 -0.0790  0.4439  0.2969  0.4612  0.1143  0.3903  0.0342
  37  5.4860E-08    0.206949    0.210103  0.3482 -0.0789  0.4439  0.2971  0.4611  0.1143  0.3904  0.0341
  38  5.0304E-08    0.207022    0.210157  0.3483 -0.0789  0.4439  0.2973  0.4610  0.1143  0.3906  0.0341
  39  7.3198E-08    0.207014    0.210275  0.3484 -0.0788  0.4439  0.2974  0.4609  0.1143  0.3907  0.0341
  40  4.4648E-08    0.207061    0.210329  0.3484 -0.0788  0.4439  0.2975  0.4608  0.1143  0.3908  0.0341
  41  3.8275E-08    0.207115    0.210365  0.3485 -0.0788  0.4439  0.2976  0.4607  0.1143  0.3909  0.0340
  42  6.6868E-08    0.207085    0.210473  0.3485 -0.0787  0.4439  0.2977  0.4606  0.1144  0.3910  0.0340
  43  2.9050E-08    0.207147    0.210485  0.3486 -0.0787  0.4439  0.2978  0.4605  0.1144  0.3911  0.0340
