Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
   1  1.3711E-02    0.714884    0.110062  0.1951 -0.3051  0.2307  0.1113  0.1379  0.2542  0.1698  0.2218  0.1721  0.1822
   2  1.0196E-02    0.548829    0.223346  0.2658 -0.1855  0.3479  0.2071  0.2227  0.3158  0.1274  0.2708  0.1301  0.1559
   3  3.2579E-03    0.450845    0.244615  0.2888 -0.1664  0.3848  0.2270  0.2563  0.3376  0.1233  0.2938  0.1074  0.1379
   4  2.7096E-03    0.373978    0.259570  0.2979 -0.1630  0.3942  0.2596  0.3096  0.3483  0.1228  0.2989  0.0928  0.1372
   5  1.3316E-03    0.326005    0.266054  0.3023 -0.1614  0.3971  0.3213  0.3441  0.3534  0.1210  0.3037  0.0921  0.1299
   6  5.2677E-04    0.294453    0.266790  0.3062 -0.1573  0.3992  0.3475  0.3615  0.3605  0.1196  0.3058  0.0902  0.1239
   7  3.3330E-04    0.268571    0.264380  0.3110 -0.1491  0.4034  0.3388  0.3708  0.3697  0.1173  0.3115  0.0829  0.1186
   8  2.2709E-04    0.248153    0.258236  0.3146 -0.1410  0.4076  0.3239  0.3757  0.3787  0.1161  0.3208  0.0701  0.1143
   9  1.5688E-04    0.233629    0.250951  0.3174 -0.1340  0.4113  0.3044  0.3789  0.3849  0.1158  0.3304  0.0585  0.1105
  10  1.0237E-04    0.223441    0.245327  0.3202 -0.1283  0.4145  0.2845  0.3810  0.3881  0.1155  0.3392  0.0501  0.1072
  11  6.5942E-05    0.216831    0.241794  0.3223 -0.1254  0.4162  0.2754  0.3818  0.3889  0.1151  0.3467  0.0450  0.1043
  12  3.6699E-05    0.213464    0.240097  0.3241 -0.1240  0.4171  0.2728  0.3819  0.3882  0.1150  0.3529  0.0421  0.1019
  13  2.2413E-05    0.211956    0.239108  0.3258 -0.1232  0.4177  0.2724  0.3818  0.3870  0.1149  0.3578  0.0404  0.0998
  14  1.3733E-05    0.211298    0.238365  0.3274 -0.1226  0.4181  0.2728  0.3817  0.3854  0.1150  0.3619  0.0395  0.0982
  15  8.5725E-06    0.211165    0.237752  0.3287 -0.1221  0.4183  0.2734  0.3816  0.3840  0.1150  0.3653  0.0389  0.0969
  16  5.3597E-06    0.211243    0.237230  0.3298 -0.1218  0.4185  0.2741  0.3815  0.3828  0.1150  0.3679  0.0385  0.0959
  17  3.4674E-06    0.211433    0.236784  0.3308 -0.1215  0.4186  0.2748  0.3815  0.3817  0.1150  0.3700  0.0383  0.0951
  18  2.2404E-06    0.211650    0.236435  0.3316 -0.1213  0.4186  0.2755  0.3815  0.3808  0.1150  0.3716  0.0381  0.0944
  19  1.3875E-06    0.211832    0.236188  0.3322 -0.1211  0.4187  0.2760  0.3815  0.3802  0.1150  0.3729  0.0380  0.0940
  20  8.4496E-07    0.211972    0.236015  0.3327 -0.1209  0.4187  0.2766  0.3815  0.3796  0.1150  0.3739  0.0379  0.0936
  21  5.5098E-07    0.212082    0.235913  0.3331 -0.1207  0.4187  0.2771  0.3816  0.3792  0.1150  0.3747  0.0378  0.0933
  22  3.2211E-07    0.212223    0.235841  0.3334 -0.1206  0.4187  0.2776  0.3816  0.3789  0.1150  0.3753  0.0377  0.0931
  23  2.1529E-07    0.212345    0.235807  0.3337 -0.1205  0.4187  0.2780  0.3817  0.3787  0.1150  0.3757  0.0377  0.0929
  24  1.5666E-07    0.212446    0.235800  0.3339 -0.1204  0.4187  0.2784  0.3817  0.3785  0.1150  0.3761  0.0376  0.0928
  25  1.1754E-07    0.212535    0.235807  0.3340 -0.1204  0.4187  0.2788  0.3817  0.3783  0.1150  0.3764  0.0376  0.0927
  26  9.8205E-08    0.212602    0.235824  0.3342 -0.1203  0.4186  0.2791  0.3818  0.3782  0.1150  0.3767  0.0376  0.0926
  27  8.2686E-08    0.212663    0.235832  0.3343 -0.1202  0.4186  0.2794  0.3818  0.3780  0.1150  0.3769  0.0375  0.0926
