K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6
6   1   1       0   1.0000 57:28:10 -4.40028902398E+05 -4.40028902398E+05 -0.09439 -0.02928  0.08869 -0.03042 -0.04845  0.10290 -0.13419 -0.10083 -0.14738 -0.11998 -0.19733 -0.06050
6   1   1     100   1.0000 57:28:10 -4.40008659591E+05 -4.40008659591E+05 -0.09439 -0.02928  0.08869 -0.03042 -0.04845  0.10290 -0.13419 -0.10083 -0.14738 -0.11998 -0.19733 -0.06050
6   1   1     200  35.5000 57:28:10 -4.04561230553E+05 -4.04143366949E+05  0.10290 -0.09439 -0.04845 -0.02928  0.08869 -0.03042 -0.06050 -0.13419 -0.19733 -0.10083 -0.14738 -0.11998
6   1   1     400  42.5000 57:28:10 -3.82850405627E+05 -3.82649456741E+05  0.10290  0.08869 -0.02928 -0.03042 -0.09439 -0.04845 -0.06050 -0.14738 -0.10083 -0.11998 -0.13419 -0.19733
6   1   1     800  41.1250 57:28:10 -3.72262311441E+05 -3.71967075980E+05 -0.04845  0.10290  0.08869 -0.02928 -0.03042 -0.09439 -0.19733 -0.06050 -0.14738 -0.10083 -0.11998 -0.13419
6   1   1    1600  37.1875 58:28:10 -3.64355425204E+05 -3.64345149533E+05 -0.04845  0.10290 -0.09439 -0.02928 -0.03042  0.08869 -0.19733 -0.06050 -0.13419 -0.10083 -0.11998 -0.14738
6   1   1    3200  29.7500 58:28:10 -3.62917325867E+05 -3.60395694824E+05  0.10290 -0.04845 -0.02928 -0.03042 -0.09439  0.08869 -0.06050 -0.19733 -0.10083 -0.11998 -0.13419 -0.14738
6   1   1    6400  30.1406 58:28:10 -3.67321235958E+05 -3.60395694824E+05  0.33311  0.37594  0.39926 -0.04188 -0.03402  0.45875 -0.23223 -0.18729 -0.28695 -0.90057 -0.88384 -0.54669
6   1   1   12800  33.0781 58:28:10 -3.69769692271E+05 -3.60395694824E+05  0.32798  0.37465  0.32558 -0.04841 -0.03424  0.40213 -0.17057 -0.24930 -0.18494 -0.90447 -0.88507 -0.23702
6   1   2   24000  34.3911 59:28:10 -3.66633843544E+05 -3.60395694824E+05  0.32437  0.36702  0.33970 -0.03558 -0.03958  0.46147 -0.20529 -0.15308 -0.22395 -0.88281 -0.89412 -0.55353
