Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
   1  9.9292E-03    0.759228    0.080000  0.1955 -0.3104  0.2160  0.1014  0.1392  0.1331  0.2355  0.1316  0.1864  0.1419  0.1518  0.1527
   2  8.4254E-03    0.594214    0.236588  0.2500 -0.2131  0.3352  0.1793  0.2251  0.2000  0.2927  0.1235  0.2191  0.1058  0.1291  0.1298
   3  3.3191E-03    0.488829    0.256718  0.2702 -0.2009  0.3797  0.2056  0.2959  0.2492  0.3247  0.1216  0.2340  0.0851  0.1161  0.1184
   4  2.9921E-03    0.393940    0.264843  0.2778 -0.1979  0.3940  0.2521  0.3794  0.3064  0.3423  0.1207  0.2306  0.0733  0.1139  0.1192
   5  1.5267E-03    0.322244    0.274396  0.2846 -0.1887  0.4037  0.2844  0.4243  0.3376  0.3570  0.1175  0.2304  0.0692  0.1094  0.1165
   6  4.1290E-04    0.279031    0.275400  0.2885 -0.1789  0.4109  0.2847  0.4406  0.3507  0.3725  0.1156  0.2372  0.0569  0.1046  0.1133
   7  1.5561E-04    0.255337    0.268626  0.2912 -0.1710  0.4163  0.2652  0.4448  0.3560  0.3833  0.1153  0.2461  0.0459  0.1002  0.1092
   8  7.4696E-05    0.241261    0.262620  0.2934 -0.1655  0.4200  0.2478  0.4448  0.3580  0.3897  0.1150  0.2541  0.0396  0.0964  0.1053
   9  4.0716E-05    0.232738    0.258159  0.2951 -0.1627  0.4222  0.2395  0.4434  0.3585  0.3931  0.1145  0.2606  0.0366  0.0933  0.1020
  10  2.1501E-05    0.227771    0.255174  0.2962 -0.1615  0.4234  0.2391  0.4415  0.3580  0.3949  0.1143  0.2657  0.0351  0.0907  0.0992
  11  1.3033E-05    0.224725    0.253093  0.2974 -0.1608  0.4243  0.2395  0.4400  0.3576  0.3958  0.1143  0.2698  0.0343  0.0887  0.0971
  12  8.5940E-06    0.222860    0.251422  0.2986 -0.1601  0.4250  0.2401  0.4388  0.3574  0.3962  0.1143  0.2732  0.0339  0.0871  0.0954
  13  5.7723E-06    0.221703    0.249948  0.2997 -0.1596  0.4255  0.2407  0.4378  0.3572  0.3963  0.1143  0.2759  0.0336  0.0857  0.0941
  14  3.9807E-06    0.220912    0.248664  0.3007 -0.1592  0.4260  0.2412  0.4371  0.3571  0.3963  0.1143  0.2782  0.0334  0.0847  0.0931
  15  2.7571E-06    0.220282    0.247627  0.3016 -0.1588  0.4264  0.2417  0.4365  0.3571  0.3962  0.1143  0.2801  0.0333  0.0838  0.0923
  16  1.9273E-06    0.219775    0.246808  0.3023 -0.1585  0.4267  0.2421  0.4361  0.3570  0.3961  0.1143  0.2816  0.0332  0.0831  0.0916
  17  1.3530E-06    0.219417    0.246144  0.3030 -0.1582  0.4269  0.2424  0.4358  0.3570  0.3960  0.1143  0.2829  0.0332  0.0825  0.0911
  18  9.6222E-07    0.219134    0.245624  0.3035 -0.1580  0.4271  0.2427  0.4355  0.3570  0.3959  0.1143  0.2840  0.0331  0.0820  0.0907
  19  6.5142E-07    0.218991    0.245158  0.3040 -0.1578  0.4272  0.2430  0.4353  0.3570  0.3958  0.1143  0.2848  0.0330  0.0816  0.0904
  20  4.6381E-07    0.218833    0.244872  0.3044 -0.1576  0.4273  0.2433  0.4351  0.3570  0.3957  0.1143  0.2855  0.0330  0.0813  0.0901
  21  3.0812E-07    0.218810    0.244589  0.3047 -0.1575  0.4274  0.2435  0.4350  0.3570  0.3956  0.1143  0.2861  0.0330  0.0811  0.0899
  22  2.3760E-07    0.218729    0.244442  0.3050 -0.1574  0.4275  0.2436  0.4349  0.3571  0.3954  0.1143  0.2866  0.0330  0.0809  0.0898
  23  1.6231E-07    0.218678    0.244372  0.3052 -0.1573  0.4275  0.2438  0.4349  0.3571  0.3953  0.1143  0.2869  0.0329  0.0808  0.0897
  24  1.1140E-07    0.218683    0.244305  0.3054 -0.1572  0.4275  0.2439  0.4348  0.3571  0.3952  0.1143  0.2872  0.0329  0.0807  0.0896
  25  7.5926E-08    0.218749    0.244218  0.3056 -0.1572  0.4275  0.2440  0.4348  0.3571  0.3951  0.1143  0.2875  0.0329  0.0806  0.0895
  26  8.3022E-08    0.218723    0.244216  0.3057 -0.1571  0.4275  0.2441  0.4347  0.3571  0.3951  0.1143  0.2877  0.0329  0.0806  0.0894
  27  6.5778E-08    0.218747    0.244172  0.3058 -0.1571  0.4275  0.2442  0.4347  0.3571  0.3950  0.1143  0.2879  0.0329  0.0805  0.0894
  28  8.4048E-08    0.218672    0.244204  0.3059 -0.1570  0.4275  0.2443  0.4347  0.3571  0.3950  0.1144  0.2880  0.0329  0.0804  0.0893
  29  7.6497E-08    0.218612    0.244221  0.3060 -0.1570  0.4275  0.2444  0.4346  0.3571  0.3949  0.1144  0.2882  0.0329  0.0804  0.0893
  30  7.4707E-08    0.218559    0.244223  0.3060 -0.1570  0.4275  0.2445  0.4346  0.3571  0.3949  0.1144  0.2883  0.0329  0.0803  0.0892
  31  6.1521E-08    0.218553    0.244179  0.3061 -0.1569  0.4275  0.2445  0.4346  0.3571  0.3948  0.1144  0.2884  0.0329  0.0803  0.0892
  32  5.7391E-08    0.218551    0.244125  0.3061 -0.1569  0.4275  0.2446  0.4345  0.3570  0.3948  0.1144  0.2885  0.0329  0.0802  0.0891
  33  4.9955E-08    0.218572    0.244048  0.3062 -0.1569  0.4275  0.2446  0.4345  0.3570  0.3948  0.1144  0.2886  0.0329  0.0802  0.0891
  34  7.3392E-08    0.218498    0.244055  0.3062 -0.1569  0.4274  0.2447  0.4345  0.3570  0.3948  0.1144  0.2887  0.0329  0.0801  0.0890
  35  7.4484E-08    0.218394    0.244080  0.3063 -0.1568  0.4274  0.2447  0.4344  0.3570  0.3948  0.1144  0.2888  0.0329  0.0801  0.0890
  36  7.5018E-08    0.218285    0.244111  0.3063 -0.1568  0.4274  0.2447  0.4344  0.3570  0.3948  0.1144  0.2889  0.0329  0.0800  0.0889
  37  5.6657E-08    0.218264    0.244065  0.3063 -0.1568  0.4274  0.2448  0.4344  0.3570  0.3948  0.1144  0.2890  0.0329  0.0800  0.0889
  38  3.8306E-08    0.218332    0.243941  0.3063 -0.1568  0.4274  0.2448  0.4343  0.3570  0.3948  0.1144  0.2891  0.0329  0.0800  0.0889
  39  6.1343E-08    0.218270    0.243930  0.3064 -0.1568  0.4274  0.2448  0.4343  0.3569  0.3948  0.1144  0.2891  0.0329  0.0799  0.0889
