K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7   2   1       0   1.0000 09:34:10 -4.41261717766E+05 -4.41261717766E+05  0.07392 -0.05726  0.14624 -0.06297  0.06599 -0.05703 -0.08775 -0.13528 -0.10806 -0.11313 -0.16368 -0.14073 -0.15567 -0.11338
7   2   1     100   1.9802 09:34:10 -4.40817864585E+05 -4.40817864585E+05  0.07392 -0.05726  0.14624 -0.06297  0.06599 -0.05703 -0.08775 -0.13528 -0.10806 -0.11313 -0.16368 -0.14073 -0.15567 -0.11338
7   2   1     200  28.3582 09:34:10 -4.03560849501E+05 -4.03553472894E+05 -0.05726  0.14624  0.06599  0.07392 -0.06297 -0.08775 -0.05703 -0.10806 -0.11313 -0.14073 -0.13528 -0.16368 -0.11338 -0.15567
7   2   1     400  34.6633 09:34:10 -3.91697133115E+05 -3.89774495652E+05 -0.05726  0.14624 -0.08775  0.06599 -0.05703 -0.06297  0.07392 -0.10806 -0.11313 -0.11338 -0.14073 -0.15567 -0.16368 -0.13528
7   2   1     800  34.7066 09:34:10 -3.70301613380E+05 -3.68249372018E+05 -0.05726  0.14624  0.06599  0.07392 -0.05703 -0.06297 -0.08775 -0.10806 -0.11313 -0.14073 -0.13528 -0.15567 -0.16368 -0.11338
7   2   1    1600  36.6021 09:34:10 -3.70263759122E+05 -3.68249372018E+05 -0.05726  0.14624 -0.08775  0.07392  0.06599 -0.06297 -0.05703 -0.10806 -0.11313 -0.11338 -0.13528 -0.14073 -0.16368 -0.15567
7   2   1    3200  32.8335 09:34:10 -3.72079659574E+05 -3.66263961385E+05 -0.05726 -0.08775  0.14624  0.06599  0.07392 -0.05703 -0.06297 -0.10806 -0.11338 -0.11313 -0.14073 -0.13528 -0.15567 -0.16368
7   2   1    6400  36.3537 09:34:10 -3.77391801806E+05 -3.66263961385E+05  0.35216  0.36770  0.42256  0.00929  0.00667  0.01262  0.57363 -0.19895 -0.14371 -0.22669 -0.91637 -0.83547 -0.79317 -0.88116
7   2   1   12800  39.8016 09:34:10 -3.75027209693E+05 -3.66263961385E+05  0.39188  0.41903  0.34697  0.06475  0.04484  0.06311  0.06302 -0.19104 -0.19132 -0.11623 -0.94856 -0.85937 -0.78957 -0.93291
7   2   2   25600  39.1574 10:34:10 -3.73980018496E+05 -3.66263961385E+05  0.38520  0.47699  0.39931  0.03372  0.04447  0.04534  1.00000 -0.21437 -0.47348 -0.17306 -0.89050 -0.89295 -0.88322  0.00000
7   2   4   40000  17.7091 11:34:10 -3.71454050346E+05 -3.65961178288E+05  0.38101  0.42778  1.00000  0.03872  0.04260  1.00000  1.00000 -0.24244 -0.17542  0.00000 -0.90479 -0.84632  0.00000  0.00000
7   2   4   51200  24.3297 11:34:10 -3.64505735099E+05 -3.61461202063E+05  0.29450  0.33228 -0.09668  1.00000  1.00000  1.00000  0.40122 -0.21297 -0.18910 -0.87922  0.00000  0.00000  0.00000 -0.47348
7   2   5   76000  18.6168 13:34:10 -3.65416295290E+05 -3.60765242071E+05  0.36650  0.28616 -0.09973  1.00000  1.00000  1.00000  0.39733 -0.22161 -0.20442 -0.90137  0.00000  0.00000  0.00000 -0.47348
7   2   6  102400  17.6882 14:34:10 -3.66651973598E+05 -3.60706969175E+05  0.33134  0.29062  1.00000 -0.09478  1.00000  0.52752  1.00000 -0.20063 -0.19995  0.00000 -0.89199  0.00000 -0.88116  0.00000
7   2   6  104000  17.9279 15:34:10 -3.65002787618E+05 -3.60706969175E+05  0.29062  0.33134 -0.09478  1.00000  1.00000  0.52752  1.00000 -0.19995 -0.20063 -0.89199  0.00000  0.00000 -0.88116  0.00000
7   2   7  113524  24.8000 15:34:10 -3.63917112143E+05 -3.60706969175E+05  0.30962  0.32663 -0.08744  1.00000  1.00000  0.40403  1.00000 -0.26504 -0.17321 -0.88996  0.00000  0.00000 -0.47348  0.00000
7   2   7  136000  13.5238 17:34:10 -3.63432047339E+05 -3.60477402356E+05  0.29376  0.36829 -0.09702  1.00000  1.00000  1.00000  0.39888 -0.23074 -0.23043 -0.89199  0.00000  0.00000  0.00000 -0.47348
7   2   8  148517  13.7000 17:34:10 -3.61202167027E+05 -3.60276065181E+05  0.29631  0.34239 -0.09316  1.00000  1.00000  1.00000  0.40246 -0.23740 -0.18427 -0.91929  0.00000  0.00000  0.00000 -0.47348
7   2   8  172000   8.5702 19:34:10 -3.57341254186E+05 -3.54590960498E+05  0.22429  0.30635  0.53183 -0.20372  1.00000  0.39467  0.34215 -0.24720 -0.19461 -0.90638 -0.90476  0.00000 -0.39850 -0.47348
7   2   9  190001   4.2000 20:34:10 -3.56059300920E+05 -3.54590960498E+05  0.22656  0.32537  0.53107  1.00000 -0.20565  0.39369  0.34109 -0.25672 -0.21037 -0.90638  0.00000 -0.88728 -0.39850 -0.47348
7   2  10  208000   4.3279 21:34:10 -3.55540942243E+05 -3.54590960498E+05  0.22421  0.34560  0.53138 -0.20482  0.37694  1.00000  0.37458 -0.25694 -0.21994 -0.90638 -0.88936 -0.37515  0.00000 -0.55353
7   2  10  240000   4.9586 23:34:10 -3.53171825827E+05 -3.52134144303E+05  0.20509  0.35903  0.52243  0.24903 -0.22782  0.38252  0.32894 -0.26332 -0.22771 -0.90638 -0.27485 -0.88936 -0.39850 -0.47348
7   2  12  268000   4.9911 25:34:10 -3.55571098280E+05 -3.52134144303E+05  0.20362  0.33403  0.51930 -0.23586  0.37847  0.54671  0.32455 -0.26013 -0.21909 -0.90638 -0.88936 -0.39850 -0.83914 -0.47348
7   2  13  274500   2.4000 25:34:10 -3.53243366406E+05 -3.52134144303E+05  0.51600  0.32389  0.19781  0.51569 -0.24516  0.37380  0.31947 -0.67141 -0.21351 -0.26406 -0.90638 -0.88936 -0.39850 -0.47348
7   2  14  290636   3.3000 26:34:10 -3.53120732350E+05 -3.52134144303E+05  0.38169  0.31709  0.20551  0.51779 -0.23975  0.37652  0.32242 -0.43677 -0.20829 -0.28680 -0.90638 -0.88936 -0.39850 -0.47348
7   2  14  300000   1.9703 27:34:10 -3.52932991621E+05 -3.52134144303E+05  0.38196  0.31233  0.20727  0.51800 -0.23921  0.37679  0.32272 -0.43677 -0.20507 -0.29066 -0.90638 -0.88936 -0.39850 -0.47348
7   2  15  304266   2.2000 27:34:10 -3.52922182098E+05 -3.52134144303E+05  0.38196  0.31233  0.20727  0.51800 -0.23921  0.37679  0.32272 -0.43677 -0.20507 -0.29066 -0.90638 -0.88936 -0.39850 -0.47348
7   2  16  320414   1.7000 28:34:10 -3.52907935422E+05 -3.52134144303E+05  0.38050  0.33749  0.19895  0.51687 -0.24213  0.37532  0.32113 -0.43677 -0.22581 -0.27069 -0.90638 -0.88936 -0.39850 -0.47348
7   2  16  324000   1.8080 29:34:10 -3.52866887528E+05 -3.52134144303E+05  0.38081  0.33229  0.20076  0.51711 -0.24150  0.37564  0.32147 -0.43677 -0.22075 -0.27524 -0.90638 -0.88936 -0.39850 -0.47348
7   2  18  351014   0.9000 30:34:10 -3.52845151152E+05 -3.52134144303E+05  0.38050  0.33749  0.19895  0.51687 -0.24213  0.37532  0.32113 -0.43677 -0.22581 -0.27069 -0.90638 -0.88936 -0.39850 -0.47348
7   2  18  356000   1.4919 31:34:10 -3.52932991621E+05 -3.52134144303E+05  0.38168  0.31632  0.20559  0.51779 -0.23976  0.37651  0.32242 -0.43677 -0.20872 -0.28598 -0.90638 -0.88936 -0.39850 -0.47348
7   2  19  366217   1.5000 31:34:10 -3.52907935422E+05 -3.52134144303E+05  0.38111  0.32614  0.20227  0.51734 -0.24090  0.37594  0.32179 -0.43677 -0.21592 -0.27840 -0.90638 -0.88936 -0.39850 -0.47348
7   2  20  382411   0.9000 32:34:10 -3.52845151152E+05 -3.52134144303E+05  0.38081  0.33229  0.20076  0.51711 -0.24150  0.37564  0.32147 -0.43677 -0.22075 -0.27524 -0.90638 -0.88936 -0.39850 -0.47348
7   2  20  384000   1.0332 33:34:10 -3.52845151152E+05 -3.52134144303E+05  0.38140  0.32207  0.20379  0.51757 -0.24033  0.37623  0.32211 -0.43677 -0.21303 -0.28239 -0.90638 -0.88936 -0.39850 -0.47348
