Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
   1  6.8349E-03    0.797938    0.067044  0.1875 -0.3121  0.2124  0.0875  0.1284  0.1213  0.1185  0.2003  0.1111  0.1651  0.1235  0.1335  0.1341  0.1324
   2  7.2179E-03    0.645694    0.248892  0.2376 -0.2336  0.3219  0.1504  0.1968  0.1720  0.1686  0.2538  0.1241  0.1952  0.0920  0.1124  0.1132  0.1093
   3  2.7775E-03    0.544361    0.276766  0.2618 -0.2215  0.3691  0.1530  0.2571  0.2090  0.1909  0.2926  0.1212  0.2157  0.0735  0.1014  0.1018  0.0938
   4  3.2792E-03    0.442651    0.283033  0.2710 -0.2154  0.3852  0.1369  0.3552  0.2805  0.2525  0.3130  0.1209  0.2174  0.0569  0.1001  0.1045  0.0871
   5  2.2489E-03    0.354073    0.286943  0.2694 -0.2171  0.3888  0.2246  0.4042  0.3151  0.3031  0.3189  0.1213  0.2155  0.0524  0.0991  0.1039  0.0890
   6  1.0634E-03    0.298465    0.286160  0.2694 -0.2155  0.3918  0.3067  0.4175  0.3265  0.3188  0.3226  0.1196  0.2175  0.0563  0.0944  0.1011  0.0885
   7  3.4813E-04    0.264031    0.283588  0.2751 -0.2041  0.3985  0.2844  0.4244  0.3354  0.3264  0.3280  0.1171  0.2226  0.0542  0.0910  0.0993  0.0879
   8  1.4284E-04    0.241271    0.280368  0.2791 -0.1957  0.4033  0.2583  0.4271  0.3399  0.3291  0.3331  0.1155  0.2313  0.0464  0.0890  0.0976  0.0870
   9  6.1197E-05    0.228467    0.276384  0.2820 -0.1906  0.4061  0.2426  0.4277  0.3421  0.3298  0.3360  0.1151  0.2397  0.0403  0.0873  0.0959  0.0858
  10  3.0781E-05    0.221198    0.272947  0.2847 -0.1870  0.4080  0.2312  0.4279  0.3434  0.3301  0.3374  0.1149  0.2461  0.0371  0.0858  0.0943  0.0844
  11  1.8446E-05    0.216223    0.269887  0.2865 -0.1855  0.4088  0.2285  0.4272  0.3438  0.3296  0.3381  0.1144  0.2511  0.0358  0.0846  0.0929  0.0831
  12  9.3976E-06    0.213318    0.267432  0.2879 -0.1847  0.4090  0.2291  0.4264  0.3437  0.3289  0.3384  0.1143  0.2550  0.0351  0.0835  0.0917  0.0819
