K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8
8  10   1       0   1.0000 03:46:10 -4.46133544218E+05 -4.46133544218E+05 -0.09407  0.01540  0.07798 -0.03054  0.05569 -0.16738  0.06777  0.05427 -0.12701 -0.12947 -0.18841 -0.09523 -0.09676 -0.13713 -0.14211 -0.10297
8  10   1     100   1.9608 03:46:10 -4.46135116379E+05 -4.46130228810E+05 -0.09407  0.01540  0.07798 -0.03054  0.05569 -0.16738  0.06777  0.05427 -0.12701 -0.12947 -0.18841 -0.09523 -0.09676 -0.13713 -0.14211 -0.10297
8  10   1     200  32.5123 03:46:10 -4.24518475705E+05 -4.24518475705E+05 -0.16738  0.01540  0.07798 -0.09407  0.06777  0.05427 -0.03054  0.05569 -0.13713 -0.12947 -0.18841 -0.12701 -0.14211 -0.10297 -0.09523 -0.09676
8  10   1     400  42.4318 03:46:10 -3.92974775880E+05 -3.92974775880E+05  0.05427 -0.03054 -0.16738 -0.09407  0.07798  0.01540  0.05569  0.06777 -0.10297 -0.09523 -0.13713 -0.12701 -0.18841 -0.12947 -0.09676 -0.14211
8  10   1     800  34.4956 03:46:10 -3.76180487014E+05 -3.75920284347E+05  0.05427 -0.03054  0.05569 -0.16738 -0.09407  0.06777  0.01540  0.07798 -0.10297 -0.09523 -0.09676 -0.13713 -0.12701 -0.14211 -0.12947 -0.18841
8  10   1    1600  29.6319 03:46:10 -3.72930596038E+05 -3.70180741687E+05 -0.03054  0.05427 -0.16738  0.01540 -0.09407  0.07798  0.05569  0.06777 -0.09523 -0.10297 -0.13713 -0.12947 -0.12701 -0.18841 -0.09676 -0.14211
8  10   1    3200  34.1867 03:46:10 -3.77545321519E+05 -3.70180741687E+05  0.07798  0.05427  0.01540 -0.09407 -0.03054  0.06777  0.05569 -0.16738 -0.18841 -0.10297 -0.12947 -0.12701 -0.09523 -0.14211 -0.09676 -0.13713
8  10   1    6400  37.7792 03:46:10 -3.74939564719E+05 -3.70180741687E+05  0.05427  0.05569 -0.09407  0.01540  0.07798 -0.16738 -0.03054  0.06777 -0.10297 -0.09676 -0.12701 -0.12947 -0.18841 -0.13713 -0.09523 -0.14211
8  10   1   12800  39.1158 03:46:10 -3.77300686048E+05 -3.70124281926E+05  0.57421  0.37758  0.37905  0.34977  0.00671  0.01328  1.00000  0.01458 -0.88116 -0.17889 -0.11084 -0.17191 -0.93414 -0.81520  0.00000 -0.93629
8  10   2   25600  37.4356 04:46:10 -3.72705158375E+05 -3.67152198725E+05  0.37755  0.42026  0.37619  0.04672  0.04676  0.02914  0.04749  0.47744 -0.21227 -0.16680 -0.17532 -0.95676 -0.80896 -0.90425 -0.92017 -0.47348
8  10   3   44000  37.7674 05:46:10 -3.74343255178E+05 -3.63958576436E+05  0.36660  0.36043  0.00643  0.00410  1.00000  1.00000  1.00000  0.57177 -0.28510 -0.15209 -0.88476 -0.88162  0.00000  0.00000  0.00000 -0.88116
8  10   3   51200  29.3977 05:46:10 -3.69932324176E+05 -3.63958576436E+05  0.32424  0.36966 -0.04248  1.00000  1.00000  1.00000  1.00000  1.00000 -0.20915 -0.17370 -0.88936  0.00000  0.00000  0.00000  0.00000  0.00000
