Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  5.3171E-03    0.823806    0.075423  0.1659 -0.3177  0.1850  0.0786  0.1220  0.1140  0.1109  0.1558  0.1542  0.1050  0.1351  0.1082  0.1180  0.1187  0.1169  0.1440
   2  5.2820E-03    0.696993    0.256555  0.2332 -0.2507  0.3032  0.1315  0.1874  0.1561  0.1512  0.1792  0.1995  0.1237  0.1516  0.0827  0.1034  0.1036  0.0995  0.1359
   3  2.9040E-03    0.600781    0.286122  0.2629 -0.2418  0.3659  0.1350  0.2576  0.1975  0.1736  0.1776  0.2414  0.1244  0.1728  0.0678  0.0970  0.0960  0.0871  0.1134
   4  3.0876E-03    0.497629    0.305816  0.2706 -0.2375  0.3877  0.1302  0.3505  0.2709  0.2372  0.1711  0.2553  0.1244  0.1785  0.0552  0.1019  0.1054  0.0849  0.0945
   5  1.5659E-03    0.414154    0.331421  0.2715 -0.2338  0.3952  0.1434  0.4008  0.3105  0.2937  0.1741  0.2560  0.1244  0.1796  0.0478  0.1050  0.1101  0.0934  0.0837
   6  5.9174E-04    0.369349    0.345331  0.2708 -0.2339  0.3981  0.1952  0.4193  0.3241  0.3142  0.1872  0.2546  0.1242  0.1821  0.0472  0.1034  0.1092  0.0967  0.0826
   7  8.0726E-04    0.338254    0.341706  0.2677 -0.2388  0.3959  0.3032  0.4202  0.3243  0.3150  0.1989  0.2537  0.1245  0.1813  0.0555  0.0990  0.1052  0.0946  0.0862
   8  3.4925E-04    0.314835    0.335794  0.2683 -0.2371  0.3956  0.3279  0.4217  0.3266  0.3166  0.2108  0.2534  0.1233  0.1787  0.0596  0.0957  0.1033  0.0932  0.0927
   9  1.4186E-04    0.297971    0.331728  0.2710 -0.2314  0.3978  0.2972  0.4242  0.3301  0.3191  0.2191  0.2529  0.1217  0.1784  0.0599  0.0940  0.1019  0.0922  0.0990
  10  1.1459E-04    0.283222    0.329591  0.2727 -0.2267  0.3997  0.2706  0.4258  0.3324  0.3206  0.2230  0.2523  0.1193  0.1801  0.0587  0.0929  0.1009  0.0913  0.1046
  11  4.5466E-05    0.274011    0.326099  0.2728 -0.2250  0.4003  0.2606  0.4258  0.3330  0.3204  0.2230  0.2513  0.1186  0.1826  0.0559  0.0920  0.0999  0.0904  0.1092
  12  3.0923E-05    0.267179    0.322906  0.2726 -0.2244  0.4003  0.2577  0.4254  0.3329  0.3199  0.2216  0.2500  0.1182  0.1846  0.0543  0.0912  0.0992  0.0896  0.1130
  13  2.1637E-05    0.262222    0.320112  0.2726 -0.2240  0.4004  0.2566  0.4249  0.3328  0.3194  0.2200  0.2487  0.1180  0.1861  0.0532  0.0905  0.0986  0.0888  0.1161
  14  1.6690E-05    0.258141    0.317880  0.2727 -0.2236  0.4006  0.2558  0.4246  0.3326  0.3191  0.2186  0.2475  0.1178  0.1875  0.0525  0.0899  0.0980  0.0882  0.1187
  15  1.3039E-05    0.254638    0.316012  0.2729 -0.2232  0.4008  0.2549  0.4242  0.3325  0.3188  0.2174  0.2464  0.1177  0.1886  0.0519  0.0894  0.0975  0.0875  0.1210
  16  1.0077E-05    0.251617    0.314536  0.2732 -0.2229  0.4010  0.2542  0.4240  0.3324  0.3186  0.2165  0.2455  0.1175  0.1895  0.0516  0.0889  0.0970  0.0870  0.1230
  17  7.7708E-06    0.248893    0.313349  0.2734 -0.2225  0.4012  0.2535  0.4237  0.3322  0.3185  0.2159  0.2447  0.1174  0.1903  0.0512  0.0885  0.0966  0.0866  0.1247
  18  5.9574E-06    0.246524    0.312370  0.2737 -0.2222  0.4014  0.2528  0.4234  0.3321  0.3183  0.2155  0.2442  0.1173  0.1910  0.0509  0.0881  0.0962  0.0861  0.1261
  19  1.4731E-05    0.244018    0.310987  0.2740 -0.2217  0.4017  0.2509  0.4230  0.3317  0.3181  0.2156  0.2442  0.1172  0.1915  0.0503  0.0877  0.0956  0.0857  0.1279
