Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
   1  1.4479E-02    0.505589    0.183614  0.2961 -0.1251  0.3941  0.2124  0.3892  0.3285 -0.1056 -0.1128  0.3269  0.1119  0.2077  0.0680  0.0981  0.1011  0.0431  0.0432
   2  2.8865E-03    0.339286    0.218581  0.3503 -0.0457  0.4524  0.3140  0.4878  0.4127 -0.1997 -0.2106  0.3669  0.1033  0.2291  0.0536  0.1005  0.1055  0.0210  0.0200
   3  4.7168E-04    0.270009    0.235234  0.3868  0.0081  0.4881  0.3471  0.5231  0.4494 -0.2192 -0.2259  0.3877  0.1031  0.2443  0.0442  0.0977  0.1044  0.0100  0.0086
   4  1.2888E-04    0.241859    0.240586  0.4065  0.0363  0.5076  0.3641  0.5362  0.4657 -0.2126 -0.2114  0.3977  0.1031  0.2552  0.0396  0.0942  0.1015  0.0047  0.0042
   5  4.3112E-05    0.231219    0.245231  0.4175  0.0511  0.5184  0.3742  0.5417  0.4736 -0.2007 -0.1930  0.4012  0.1031  0.2620  0.0374  0.0909  0.0984  0.0035  0.0035
   6  1.1237E-04    0.224950    0.244188  0.4185  0.0499  0.5201  0.3732  0.5395  0.4723 -0.2135 -0.1422  0.4022  0.1035  0.2664  0.0357  0.0881  0.0956  0.0030  0.0055
   7  7.2699E-05    0.220931    0.244524  0.4195  0.0482  0.5214  0.3733  0.5379  0.4714 -0.2138 -0.1096  0.4030  0.1024  0.2702  0.0351  0.0861  0.0936  0.0027  0.0070
   8  1.7047E-04    0.216238    0.240826  0.4113  0.0318  0.5148  0.3630  0.5292  0.4622 -0.1460 -0.1241  0.4028  0.1014  0.2728  0.0341  0.0843  0.0917  0.0052  0.0077
   9  5.7395E-05    0.213794    0.239792  0.4098  0.0270  0.5138  0.3610  0.5265  0.4597 -0.1267 -0.1292  0.4027  0.1000  0.2752  0.0338  0.0832  0.0907  0.0066  0.0079
  10  2.4004E-05    0.211970    0.239669  0.4104  0.0263  0.5142  0.3613  0.5257  0.4593 -0.1210 -0.1300  0.4025  0.0991  0.2773  0.0336  0.0822  0.0899  0.0074  0.0079
  11  5.2170E-06    0.211174    0.239543  0.4113  0.0264  0.5149  0.3620  0.5253  0.4592 -0.1200 -0.1299  0.4024  0.0987  0.2791  0.0333  0.0814  0.0893  0.0078  0.0080
  12  2.5959E-06    0.210856    0.239101  0.4120  0.0266  0.5154  0.3627  0.5249  0.4591 -0.1196 -0.1296  0.4024  0.0985  0.2807  0.0332  0.0807  0.0887  0.0079  0.0080
  13  1.4430E-06    0.210883    0.238530  0.4126  0.0267  0.5158  0.3633  0.5246  0.4591 -0.1193 -0.1294  0.4023  0.0983  0.2820  0.0330  0.0801  0.0883  0.0080  0.0081
  14  1.0595E-06    0.210933    0.238074  0.4131  0.0269  0.5161  0.3638  0.5244  0.4591 -0.1191 -0.1291  0.4021  0.0983  0.2831  0.0328  0.0796  0.0879  0.0081  0.0081
  15  7.1470E-07    0.211061    0.237672  0.4136  0.0270  0.5164  0.3642  0.5243  0.4590 -0.1189 -0.1289  0.4020  0.0981  0.2840  0.0327  0.0792  0.0876  0.0081  0.0082
  16  4.9680E-07    0.211120    0.237349  0.4139  0.0271  0.5166  0.3646  0.5242  0.4590 -0.1187 -0.1287  0.4020  0.0980  0.2847  0.0326  0.0789  0.0874  0.0082  0.0082
  17  3.6627E-07    0.211142    0.237104  0.4142  0.0272  0.5168  0.3649  0.5241  0.4590 -0.1185 -0.1285  0.4019  0.0980  0.2853  0.0325  0.0786  0.0872  0.0082  0.0083
  18  2.6931E-07    0.211180    0.236877  0.4145  0.0273  0.5169  0.3652  0.5240  0.4590 -0.1184 -0.1284  0.4019  0.0979  0.2858  0.0324  0.0784  0.0870  0.0082  0.0083
  19  2.0166E-07    0.211172    0.236731  0.4147  0.0274  0.5170  0.3654  0.5239  0.4590 -0.1183 -0.1283  0.4018  0.0979  0.2862  0.0324  0.0782  0.0869  0.0083  0.0083
  20  1.5601E-07    0.211183    0.236583  0.4148  0.0274  0.5170  0.3656  0.5238  0.4590 -0.1182 -0.1281  0.4018  0.0978  0.2865  0.0323  0.0781  0.0868  0.0083  0.0084
  21  1.2249E-07    0.211216    0.236394  0.4150  0.0275  0.5171  0.3658  0.5238  0.4590 -0.1181 -0.1280  0.4018  0.0978  0.2868  0.0322  0.0779  0.0867  0.0083  0.0084
  22  1.0729E-07    0.211195    0.236236  0.4151  0.0275  0.5171  0.3659  0.5237  0.4590 -0.1180 -0.1280  0.4018  0.0978  0.2871  0.0322  0.0778  0.0866  0.0083  0.0084
  23  9.6918E-08    0.211146    0.236092  0.4152  0.0276  0.5172  0.3661  0.5237  0.4590 -0.1179 -0.1279  0.4019  0.0977  0.2873  0.0322  0.0777  0.0865  0.0084  0.0084
