K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   5   1       0   1.0000 19:50:10 -4.48278623149E+05 -4.48278623149E+05 -0.02846  0.07516 -0.10190  0.18275 -0.06958 -0.09784  0.03558  0.05606 -0.06792 -0.07947 -0.09405 -0.12990 -0.13822 -0.15966 -0.15759 -0.11531 -0.11711 -0.15178
9   5   1     100   1.9802 19:50:10 -4.46279888710E+05 -4.46279888710E+05 -0.02846  0.07516 -0.10190  0.18275 -0.06958 -0.09784  0.03558  0.05606 -0.06792 -0.07947 -0.09405 -0.12990 -0.13822 -0.15966 -0.15759 -0.11531 -0.11711 -0.15178
9   5   1     200  36.4532 19:50:10 -4.18210295212E+05 -4.18210295212E+05  0.18275  0.07516 -0.09784 -0.10190 -0.02846  0.05606 -0.06958  0.03558 -0.06792 -0.13822 -0.09405 -0.15759 -0.12990 -0.07947 -0.11711 -0.15966 -0.11531 -0.15178
9   5   1     400  43.9206 19:50:10 -3.91344297589E+05 -3.91344297589E+05  0.18275  0.05606  0.07516 -0.09784 -0.06792 -0.06958 -0.02846  0.03558 -0.10190 -0.13822 -0.11711 -0.09405 -0.15759 -0.15178 -0.15966 -0.07947 -0.11531 -0.12990
9   5   1     800  38.6052 19:50:10 -3.84001688498E+05 -3.81594552424E+05  0.18275  0.07516 -0.06958  0.05606 -0.06792 -0.09784  0.03558 -0.02846 -0.10190 -0.13822 -0.09405 -0.15966 -0.11711 -0.15178 -0.15759 -0.11531 -0.07947 -0.12990
9   5   1    1600  39.8004 19:50:10 -3.77831146836E+05 -3.75433073276E+05  0.07516  0.18275 -0.06792 -0.06958  0.05606 -0.10190 -0.02846 -0.09784  0.03558 -0.09405 -0.13822 -0.15178 -0.15966 -0.11711 -0.12990 -0.07947 -0.15759 -0.11531
9   5   1    3200  37.6522 19:50:10 -3.78008493823E+05 -3.73907140550E+05 -0.02846  0.18275 -0.06958 -0.06792 -0.10190  0.05606  0.07516 -0.09784  0.03558 -0.07947 -0.13822 -0.15966 -0.15178 -0.12990 -0.11711 -0.09405 -0.15759 -0.11531
9   5   1    6400  39.4659 19:50:10 -3.79439931282E+05 -3.73907140550E+05 -0.02846  0.07516 -0.09784  0.05606 -0.06792  0.18275  0.03558 -0.06958 -0.10190 -0.07947 -0.09405 -0.15759 -0.11711 -0.15178 -0.13822 -0.11531 -0.15966 -0.12990
9   5   3   12800  36.0925 20:50:10 -3.78041438121E+05 -3.72529705545E+05  0.36022 -0.10535  0.56737  0.28016 -0.11230  1.00000  0.44503  0.26752  0.31147 -0.12222 -0.92467 -0.91554 -0.25242 -0.87328  0.00000 -0.22296 -0.22682 -0.26198
9   5   3   25600  28.1723 20:50:10 -3.89682564446E+05 -3.72529705545E+05  0.38050  0.29949  1.00000  1.00000  1.00000  0.05004  0.05203  1.00000  1.00000 -0.17305 -0.13505  0.00000  0.00000  0.00000 -0.87316 -0.93342  0.00000  0.00000
9   5   3   32000  23.7598 21:50:10 -3.81399270491E+05 -3.72529705545E+05  0.05203  0.38050  1.00000  1.00000  0.29949  1.00000  0.05004  1.00000  1.00000 -0.93342 -0.17305  0.00000  0.00000 -0.13505  0.00000 -0.87316  0.00000  0.00000
9   5   4   51200  34.3221 22:50:10 -3.79938706830E+05 -3.68632309568E+05  0.41700  0.39473  0.07259  0.07242  0.07544  0.06278  1.00000  1.00000  1.00000 -0.17705 -0.18380 -0.88302 -0.81079 -0.88763 -0.92069  0.00000  0.00000  0.00000
9   5   4   68000  32.5735 23:50:10 -3.76929273048E+05 -3.68632309568E+05  0.39214  0.41517  0.06429  1.00000  1.00000  0.06797  1.00000  1.00000  0.07587 -0.16908 -0.19431 -0.89577  0.00000  0.00000 -0.87922  0.00000  0.00000 -0.96029
9   5   6  102400  21.4760 25:50:10 -3.73764409549E+05 -3.67754464594E+05  0.35566  0.40430  1.00000  1.00000  0.00424  1.00000 -0.01327  1.00000  0.57030 -0.24746 -0.17724  0.00000  0.00000 -0.88419  0.00000 -0.88468  0.00000 -0.88116
