Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.3648E-03    0.841911    0.070598  0.1601 -0.3109  0.1975  0.0686  0.1165  0.1473  0.1046  0.0779  0.1082  0.1368  0.0942  0.1280  0.0965  0.1058  0.1291  0.1048  0.0981  0.1066
   2  4.8828E-03    0.715606    0.258224  0.2276 -0.2536  0.3114  0.1018  0.1729  0.1608  0.1359  0.1098  0.1429  0.1764  0.1227  0.1550  0.0731  0.0925  0.1221  0.0888  0.0765  0.0929
   3  2.7330E-03    0.614497    0.290670  0.2624 -0.2416  0.3675  0.0913  0.2496  0.1606  0.1589  0.0990  0.1908  0.2176  0.1238  0.1836  0.0589  0.0870  0.1037  0.0770  0.0622  0.0861
   4  2.8777E-03    0.507037    0.310029  0.2736 -0.2327  0.3850  0.0700  0.3555  0.1642  0.2341  0.0751  0.2757  0.2355  0.1239  0.1889  0.0470  0.0927  0.0909  0.0751  0.0500  0.0960
   5  1.6099E-03    0.414284    0.330097  0.2767 -0.2247  0.3901  0.0642  0.4061  0.1818  0.2984  0.0631  0.3168  0.2392  0.1240  0.1885  0.0389  0.0955  0.0869  0.0833  0.0417  0.1020
   6  4.7775E-04    0.362686    0.342517  0.2775 -0.2195  0.3926  0.0735  0.4236  0.2014  0.3211  0.0659  0.3314  0.2386  0.1240  0.1880  0.0344  0.0948  0.0907  0.0889  0.0371  0.1035
   7  1.8510E-04    0.333611    0.346786  0.2778 -0.2157  0.3944  0.0877  0.4296  0.2141  0.3284  0.0762  0.3367  0.2376  0.1240  0.1884  0.0317  0.0934  0.0965  0.0909  0.0344  0.1032
   8  9.7715E-05    0.315162    0.347687  0.2784 -0.2123  0.3959  0.1004  0.4319  0.2221  0.3314  0.0891  0.3392  0.2369  0.1240  0.1890  0.0296  0.0921  0.1021  0.0913  0.0326  0.1023
   9  5.3815E-05    0.302566    0.347693  0.2787 -0.2101  0.3971  0.1139  0.4329  0.2262  0.3327  0.1056  0.3404  0.2359  0.1240  0.1899  0.0280  0.0912  0.1066  0.0912  0.0316  0.1015
  10  4.4450E-05    0.293137    0.347115  0.2785 -0.2095  0.3977  0.1307  0.4327  0.2277  0.3325  0.1254  0.3403  0.2346  0.1240  0.1912  0.0270  0.0905  0.1103  0.0907  0.0313  0.1005
  11  3.0086E-04    0.283382    0.342315  0.2737 -0.2172  0.3938  0.2242  0.4271  0.2224  0.3261  0.1278  0.3349  0.2325  0.1244  0.1918  0.0313  0.0890  0.1121  0.0890  0.0314  0.0984
  12  3.9190E-04    0.271207    0.335038  0.2750 -0.2159  0.3943  0.2703  0.4266  0.2232  0.3258  0.1204  0.3354  0.2310  0.1236  0.1917  0.0379  0.0875  0.1138  0.0876  0.0299  0.0970
  13  2.1338E-04    0.258143    0.333738  0.2788 -0.2104  0.3972  0.2678  0.4286  0.2271  0.3284  0.1361  0.3389  0.2306  0.1207  0.1920  0.0413  0.0865  0.1161  0.0868  0.0293  0.0966
  14  2.1403E-05    0.252912    0.333551  0.2793 -0.2099  0.3977  0.2774  0.4283  0.2277  0.3281  0.1545  0.3390  0.2301  0.1202  0.1929  0.0404  0.0860  0.1179  0.0862  0.0300  0.0962
  15  1.0927E-05    0.250271    0.332603  0.2792 -0.2104  0.3977  0.2835  0.4276  0.2277  0.3275  0.1694  0.3386  0.2295  0.1200  0.1937  0.0396  0.0856  0.1193  0.0857  0.0307  0.0958
  16  4.3689E-06    0.248384    0.331927  0.2795 -0.2103  0.3981  0.2863  0.4272  0.2283  0.3272  0.1775  0.3385  0.2291  0.1198  0.1944  0.0392  0.0852  0.1206  0.0853  0.0309  0.0955
  17  2.5920E-06    0.246867    0.331493  0.2801 -0.2099  0.3986  0.2876  0.4270  0.2291  0.3271  0.1821  0.3386  0.2289  0.1196  0.1951  0.0389  0.0849  0.1218  0.0849  0.0308  0.0952
  18  1.8314E-06    0.245648    0.330945  0.2806 -0.2094  0.3991  0.2878  0.4268  0.2298  0.3271  0.1858  0.3386  0.2287  0.1195  0.1956  0.0387  0.0846  0.1228  0.0846  0.0306  0.0949
  19  1.2994E-06    0.244613    0.330384  0.2810 -0.2090  0.3995  0.2875  0.4267  0.2304  0.3271  0.1889  0.3386  0.2287  0.1193  0.1961  0.0385  0.0843  0.1238  0.0843  0.0304  0.0946
  20  4.2682E-06    0.243560    0.329569  0.2815 -0.2084  0.3999  0.2854  0.4263  0.2312  0.3270  0.1923  0.3388  0.2288  0.1192  0.1964  0.0380  0.0839  0.1249  0.0840  0.0303  0.0945
  21  1.5043E-06    0.242415    0.328631  0.2817 -0.2082  0.4002  0.2841  0.4258  0.2317  0.3267  0.1954  0.3388  0.2288  0.1190  0.1967  0.0377  0.0835  0.1259  0.0837  0.0304  0.0943
  22  9.6224E-07    0.241370    0.327795  0.2819 -0.2080  0.4004  0.2832  0.4253  0.2321  0.3264  0.1977  0.3388  0.2288  0.1188  0.1970  0.0375  0.0831  0.1268  0.0834  0.0304  0.0941
