Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.3448E-03    0.840839    0.052448  0.1897 -0.2994  0.2202  0.0661  0.1164  0.1090  0.0789  0.1040  0.0411  0.1680  0.0839  0.1391  0.0969  0.1063  0.1069  0.0998  0.1049  0.0943
   2  6.1411E-03    0.691590    0.252190  0.2356 -0.2417  0.3262  0.1069  0.1678  0.1510  0.1102  0.1403  0.0718  0.2234  0.1172  0.1756  0.0718  0.0889  0.0918  0.0780  0.0871  0.0662
   3  2.2696E-03    0.586336    0.291954  0.2642 -0.2243  0.3726  0.1028  0.2391  0.2086  0.1018  0.1678  0.0564  0.2629  0.1148  0.2053  0.0570  0.0822  0.0862  0.0640  0.0757  0.0520
   4  2.5414E-03    0.484189    0.303111  0.2805 -0.2054  0.3911  0.0743  0.3602  0.2961  0.0775  0.2504  0.0164  0.2830  0.1146  0.2130  0.0437  0.0874  0.0933  0.0522  0.0728  0.0402
   5  1.6609E-03    0.394395    0.313522  0.2928 -0.1845  0.4030  0.0557  0.4222  0.3398  0.0683  0.3229 -0.0145  0.2897  0.1144  0.2134  0.0335  0.0932  0.0999  0.0441  0.0802  0.0316
   6  8.6380E-04    0.340564    0.317791  0.2964 -0.1793  0.4071  0.2307  0.4360  0.3492  0.0534  0.3385 -0.0510  0.2921  0.1142  0.2176  0.0374  0.0916  0.0987  0.0392  0.0821  0.0270
   7  7.1736E-04    0.302650    0.310805  0.3147 -0.1527  0.4211  0.2720  0.4511  0.3663  0.1103  0.3548 -0.1606  0.2948  0.1112  0.2224  0.0428  0.0896  0.0983  0.0376  0.0833  0.0199
   8  3.7227E-04    0.279913    0.306117  0.3257 -0.1416  0.4272  0.2631  0.4544  0.3717  0.2084  0.3587 -0.1986  0.2970  0.1085  0.2299  0.0397  0.0876  0.0971  0.0412  0.0831  0.0160
   9  1.3663E-04    0.268932    0.300621  0.3348 -0.1327  0.4320  0.2610  0.4575  0.3756  0.2624  0.3618 -0.2248  0.2959  0.1080  0.2382  0.0378  0.0864  0.0953  0.0427  0.0822  0.0135
  10  8.6833E-05    0.262377    0.295563  0.3419 -0.1256  0.4357  0.2647  0.4597  0.3787  0.2961  0.3646 -0.2461  0.2939  0.1079  0.2451  0.0367  0.0854  0.0936  0.0444  0.0812  0.0117
  11  5.7170E-05    0.257417    0.291220  0.3486 -0.1179  0.4397  0.2700  0.4621  0.3824  0.3173  0.3681 -0.2674  0.2922  0.1079  0.2506  0.0361  0.0844  0.0923  0.0460  0.0803  0.0102
